,Station,Year,Month,Day,Rainfall,Sunshine,Humidity,Temperature
0,Ambaganctg,2008,1,1,0.0,9.1,78.0,20.1
1,Ambaganctg,2008,1,2,0.0,5.6,79.0,21.0
2,Ambaganctg,2008,1,3,0.0,8.6,82.0,20.1
3,Ambaganctg,2008,1,4,0.0,9.1,73.0,21.0
4,Ambaganctg,2008,1,5,0.0,9.4,67.0,20.3
5,Ambaganctg,2008,1,6,0.0,9.6,69.0,20.1
6,Ambaganctg,2008,1,7,0.0,9.2,76.0,20.8
7,Ambaganctg,2008,1,8,0.0,9.3,74.0,21.1
8,Ambaganctg,2008,1,9,0.0,8.4,77.0,20.6
9,Ambaganctg,2008,1,10,0.0,9.1,77.0,21.1
10,Ambaganctg,2008,1,11,0.0,7.8,80.0,21.0
11,Ambaganctg,2008,1,12,0.0,8.4,70.0,21.1
12,Ambaganctg,2008,1,13,0.0,8.9,69.0,20.3
13,Ambaganctg,2008,1,14,0.0,9.3,64.0,19.5
14,Ambaganctg,2008,1,15,0.0,8.7,67.0,18.7
15,Ambaganctg,2008,1,16,0.0,7.6,68.0,19.3
16,Ambaganctg,2008,1,17,0.0,6.5,80.0,19.6
17,Ambaganctg,2008,1,18,0.0,6.1,79.0,20.4
18,Ambaganctg,2008,1,19,0.0,6.5,81.0,20.2
19,Ambaganctg,2008,1,20,0.0,9.1,78.0,20.6
20,Ambaganctg,2008,1,21,0.0,8.4,81.0,21.6
21,Ambaganctg,2008,1,22,0.0,7.4,77.0,21.8
22,Ambaganctg,2008,1,23,0.0,9.3,71.0,21.4
23,Ambaganctg,2008,1,24,0.0,8.7,75.0,20.8
24,Ambaganctg,2008,1,25,0.0,1.0,79.0,20.0
25,Ambaganctg,2008,1,26,0.0,0.0,96.0,17.4
26,Ambaganctg,2008,1,27,55.0,0.8,93.0,16.8
27,Ambaganctg,2008,1,28,1.0,7.7,77.0,17.5
28,Ambaganctg,2008,1,29,0.0,9.0,67.0,17.4
29,Ambaganctg,2008,1,30,0.0,9.3,65.0,19.5
30,Ambaganctg,2008,1,31,0.0,1.3,88.0,17.4
31,Ambaganctg,2008,2,1,0.0,6.8,76.0,18.6
32,Ambaganctg,2008,2,2,0.0,9.2,64.0,17.0
33,Ambaganctg,2008,2,3,0.0,9.6,68.0,17.7
34,Ambaganctg,2008,2,4,0.0,9.4,65.0,19.2
35,Ambaganctg,2008,2,5,0.0,9.5,62.0,20.8
36,Ambaganctg,2008,2,6,0.0,8.1,66.0,22.0
37,Ambaganctg,2008,2,7,0.0,8.0,72.0,22.7
38,Ambaganctg,2008,2,8,0.0,5.7,76.0,23.6
39,Ambaganctg,2008,2,9,0.0,0.9,79.0,22.3
40,Ambaganctg,2008,2,10,9.0,0.0,96.0,20.0
41,Ambaganctg,2008,2,11,4.0,7.1,71.0,20.7
42,Ambaganctg,2008,2,12,0.0,9.6,60.0,19.9
43,Ambaganctg,2008,2,13,0.0,10.1,56.0,19.3
44,Ambaganctg,2008,2,14,0.0,9.9,50.0,18.9
45,Ambaganctg,2008,2,15,0.0,9.9,67.0,18.0
46,Ambaganctg,2008,2,16,0.0,9.2,68.0,18.9
47,Ambaganctg,2008,2,17,0.0,8.9,76.0,20.1
48,Ambaganctg,2008,2,18,0.0,9.0,80.0,21.8
49,Ambaganctg,2008,2,19,0.0,7.9,81.0,21.6
50,Ambaganctg,2008,2,20,0.0,5.3,70.0,20.8
51,Ambaganctg,2008,2,21,0.0,10.0,63.0,21.9
52,Ambaganctg,2008,2,22,0.0,10.3,67.0,22.1
53,Ambaganctg,2008,2,23,0.0,10.5,67.0,22.4
54,Ambaganctg,2008,2,24,0.0,10.2,68.0,22.8
55,Ambaganctg,2008,2,25,0.0,4.0,79.0,22.4
56,Ambaganctg,2008,2,26,0.0,8.1,77.0,23.4
57,Ambaganctg,2008,2,27,0.0,8.7,62.0,23.6
58,Ambaganctg,2008,2,28,0.0,9.6,52.0,22.5
59,Ambaganctg,2008,2,29,0.0,10.0,63.0,23.8
60,Ambaganctg,2008,3,1,0.0,7.6,78.0,23.0
61,Ambaganctg,2008,3,2,0.0,8.1,84.0,23.8
62,Ambaganctg,2008,3,3,0.0,6.9,85.0,24.2
63,Ambaganctg,2008,3,4,0.0,8.4,76.0,24.4
64,Ambaganctg,2008,3,5,0.0,7.3,69.0,23.8
65,Ambaganctg,2008,3,6,0.0,8.7,76.0,24.0
66,Ambaganctg,2008,3,7,0.0,7.6,80.0,25.2
