,Station,Year,Month,Day,Rainfall,Sunshine,Humidity,Temperature
5844,Barisal,1967,1,1,0.0,8.59,73.0,21.9
5845,Barisal,1967,1,2,0.0,8.54,76.0,20.8
5846,Barisal,1967,1,3,0.0,8.49,71.0,21.4
5847,Barisal,1967,1,4,0.0,8.43,80.0,21.6
5848,Barisal,1967,1,5,0.0,8.38,80.0,20.4
5849,Barisal,1967,1,6,0.0,8.33,75.0,21.5
5850,Barisal,1967,1,7,4.0,8.27,85.0,20.6
5851,Barisal,1967,1,8,12.0,8.22,89.0,20.1
5852,Barisal,1967,1,9,17.0,8.17,84.0,20.5
5853,Barisal,1967,1,10,9.0,8.11,91.0,21.0
5854,Barisal,1967,1,11,0.0,8.06,82.0,20.8
5855,Barisal,1967,1,12,0.0,8.0,85.0,21.0
5856,Barisal,1967,1,13,0.0,7.95,81.0,20.9
5857,Barisal,1967,1,14,0.0,7.9,79.0,19.8
5858,Barisal,1967,1,15,0.0,7.84,71.0,19.9
5859,Barisal,1967,1,16,0.0,7.79,76.0,20.2
5860,Barisal,1967,1,17,0.0,7.74,77.0,20.1
5861,Barisal,1967,1,18,0.0,7.68,81.0,19.2
5862,Barisal,1967,1,19,0.0,7.63,74.0,21.1
5863,Barisal,1967,1,20,0.0,7.58,70.0,21.5
5864,Barisal,1967,1,21,0.0,7.52,79.0,21.1
5865,Barisal,1967,1,22,0.0,7.47,74.0,21.5
5866,Barisal,1967,1,23,0.0,7.42,76.0,21.1
5867,Barisal,1967,1,24,0.0,7.36,77.0,20.5
5868,Barisal,1967,1,25,0.0,7.31,68.0,21.5
5869,Barisal,1967,1,26,0.0,7.26,81.0,21.3
5870,Barisal,1967,1,27,0.0,7.2,75.0,22.5
5871,Barisal,1967,1,28,0.0,7.15,82.0,23.1
5872,Barisal,1967,1,29,0.0,7.1,73.0,21.6
5873,Barisal,1967,1,30,0.0,7.04,80.0,19.6
5874,Barisal,1967,1,31,0.0,6.99,64.0,20.7
5875,Barisal,1967,2,1,0.0,6.93,76.0,20.6
5876,Barisal,1967,2,2,0.0,6.88,64.0,20.3
5877,Barisal,1967,2,3,0.0,6.83,65.0,20.5
5878,Barisal,1967,2,4,0.0,6.77,76.0,20.9
5879,Barisal,1967,2,5,0.0,6.72,83.0,22.2
5880,Barisal,1967,2,6,0.0,6.67,75.0,24.2
5881,Barisal,1967,2,7,0.0,6.61,79.0,23.8
5882,Barisal,1967,2,8,0.0,6.56,78.0,24.3
5883,Barisal,1967,2,9,0.0,6.51,80.0,25.4
5884,Barisal,1967,2,10,0.0,6.45,75.0,24.1
5885,Barisal,1967,2,11,0.0,6.4,82.0,23.2
5886,Barisal,1967,2,12,0.0,7.6,79.0,24.5
5887,Barisal,1967,2,13,0.0,2.9,86.0,22.9
5888,Barisal,1967,2,14,0.0,5.3,80.0,23.1
5889,Barisal,1967,2,15,0.0,7.7,78.0,23.3
5890,Barisal,1967,2,16,0.0,7.6,78.0,24.0
5891,Barisal,1967,2,17,0.0,8.4,89.0,24.3
5892,Barisal,1967,2,18,0.0,7.4,82.0,23.3
5893,Barisal,1967,2,19,0.0,8.2,82.0,24.2
5894,Barisal,1967,2,20,0.0,8.9,80.0,25.8
5895,Barisal,1967,2,21,0.0,8.7,80.0,26.1
5896,Barisal,1967,2,22,0.0,9.4,77.0,26.9
5897,Barisal,1967,2,23,0.0,9.6,63.0,21.4
5898,Barisal,1967,2,24,0.0,9.4,60.0,21.1
5899,Barisal,1967,2,25,0.0,9.5,58.0,20.4
5900,Barisal,1967,2,26,0.0,9.4,62.0,20.3
5901,Barisal,1967,2,27,0.0,9.2,61.0,20.4
5902,Barisal,1967,2,28,0.0,9.1,63.0,21.5
5903,Barisal,1967,3,1,0.0,3.7,58.0,23.2
5904,Barisal,1967,3,2,0.0,8.5,67.0,24.5
5905,Barisal,1967,3,3,0.0,8.5,77.0,25.9
5906,Barisal,1967,3,4,0.0,7.8,67.0,25.8
5907,Barisal,1967,3,5,0.0,8.5,79.0,25.3
