,Station,Year,Month,Day,Rainfall,Sunshine,Humidity,Temperature
26663,Bhola,1981,1,1,0.0,7.9,76.0,17.2
26664,Bhola,1981,1,2,0.0,7.8,75.0,17.4
26665,Bhola,1981,1,3,0.0,7.7,72.0,17.6
26666,Bhola,1981,1,4,0.0,7.4,72.0,19.9
26667,Bhola,1981,1,5,0.0,4.5,83.0,20.0
26668,Bhola,1981,1,6,12.0,3.3,91.0,19.7
26669,Bhola,1981,1,7,18.0,0.0,93.0,18.6
26670,Bhola,1981,1,8,21.0,7.6,85.0,16.5
26671,Bhola,1981,1,9,0.0,8.6,81.0,16.4
26672,Bhola,1981,1,10,0.0,8.8,77.0,16.7
26673,Bhola,1981,1,11,0.0,2.5,80.0,19.0
26674,Bhola,1981,1,12,0.0,5.9,79.0,19.5
26675,Bhola,1981,1,13,0.0,3.1,78.0,19.7
26676,Bhola,1981,1,14,0.0,8.4,80.0,18.1
26677,Bhola,1981,1,15,0.0,8.9,78.0,18.7
26678,Bhola,1981,1,16,0.0,8.5,78.0,19.0
26679,Bhola,1981,1,17,0.0,8.8,73.0,19.8
26680,Bhola,1981,1,18,0.0,3.0,76.0,19.6
26681,Bhola,1981,1,19,0.0,8.3,78.0,19.5
26682,Bhola,1981,1,20,0.0,8.0,79.0,18.5
26683,Bhola,1981,1,21,0.0,8.4,76.0,18.5
26684,Bhola,1981,1,22,0.0,8.4,73.0,18.6
26685,Bhola,1981,1,23,0.0,8.1,76.0,19.4
26686,Bhola,1981,1,24,0.0,8.2,76.0,20.0
26687,Bhola,1981,1,25,0.0,8.2,78.0,19.7
26688,Bhola,1981,1,26,0.0,6.3,74.0,20.8
26689,Bhola,1981,1,27,0.0,9.1,72.0,20.2
26690,Bhola,1981,1,28,0.0,8.8,72.0,19.8
26691,Bhola,1981,1,29,0.0,8.6,74.0,18.7
26692,Bhola,1981,1,30,0.0,7.6,79.0,20.6
26693,Bhola,1981,1,31,0.0,5.0,85.0,22.3
26694,Bhola,1981,2,1,10.0,2.5,88.0,19.9
26695,Bhola,1981,2,2,3.0,6.6,80.0,20.4
26696,Bhola,1981,2,3,0.0,9.1,73.0,19.5
26697,Bhola,1981,2,4,0.0,8.5,73.0,19.1
26698,Bhola,1981,2,5,0.0,8.7,79.0,20.1
26699,Bhola,1981,2,6,0.0,9.0,73.0,20.9
26700,Bhola,1981,2,7,0.0,8.0,72.0,22.3
26701,Bhola,1981,2,8,0.0,8.1,71.0,23.3
26702,Bhola,1981,2,9,0.0,3.9,74.0,19.7
26703,Bhola,1981,2,10,0.0,0.6,88.0,16.9
26704,Bhola,1981,2,11,3.0,8.5,78.0,16.5
26705,Bhola,1981,2,12,0.0,8.9,78.0,17.9
26706,Bhola,1981,2,13,0.0,7.8,72.0,20.2
26707,Bhola,1981,2,14,0.0,7.5,74.0,21.3
26708,Bhola,1981,2,15,0.0,8.7,77.0,23.9
26709,Bhola,1981,2,16,0.0,5.2,85.0,23.6
26710,Bhola,1981,2,17,0.0,6.9,82.0,24.0
26711,Bhola,1981,2,18,0.0,8.2,68.0,22.8
26712,Bhola,1981,2,19,0.0,8.8,67.0,21.6
26713,Bhola,1981,2,20,0.0,8.9,70.0,21.5
26714,Bhola,1981,2,21,0.0,9.1,69.0,22.2
26715,Bhola,1981,2,22,0.0,8.3,69.0,22.6
26716,Bhola,1981,2,23,0.0,4.1,64.0,22.3
26717,Bhola,1981,2,24,0.0,6.6,64.0,23.4
26718,Bhola,1981,2,25,0.0,4.4,75.0,24.5
26719,Bhola,1981,2,26,0.0,5.25,77.0,26.1
26720,Bhola,1981,2,27,0.0,6.7,81.0,25.8
26721,Bhola,1981,2,28,0.0,3.85,73.0,26.8
26722,Bhola,1981,3,1,1.0,9.8,79.0,26.7
26723,Bhola,1981,3,2,0.0,9.8,74.0,26.5
26724,Bhola,1981,3,3,0.0,9.8,62.0,24.0
26725,Bhola,1981,3,4,0.0,8.9,60.0,23.3
26726,Bhola,1981,3,5,0.0,8.7,63.0,23.5
