,Station,Year,Month,Day,Rainfall,Sunshine,Humidity,Temperature
42368,Bogra,1961,1,1,0.0,5.3,85.0,21.5
42369,Bogra,1961,1,2,0.0,8.4,78.0,21.3
42370,Bogra,1961,1,3,0.0,6.7,83.0,21.1
42371,Bogra,1961,1,4,21.0,8.1,78.0,18.8
42372,Bogra,1961,1,5,0.0,9.3,76.0,16.5
42373,Bogra,1961,1,6,0.0,9.4,78.0,17.8
42374,Bogra,1961,1,7,0.0,9.3,77.0,17.2
42375,Bogra,1961,1,8,0.0,9.4,77.0,17.2
42376,Bogra,1961,1,9,0.0,9.3,74.0,16.9
42377,Bogra,1961,1,10,0.0,9.2,72.0,16.9
42378,Bogra,1961,1,11,0.0,9.2,76.0,17.2
42379,Bogra,1961,1,12,0.0,9.1,77.0,17.3
42380,Bogra,1961,1,13,0.0,9.1,69.0,15.6
42381,Bogra,1961,1,14,0.0,9.3,74.0,15.6
42382,Bogra,1961,1,15,0.0,9.3,73.0,15.8
42383,Bogra,1961,1,16,0.0,9.4,81.0,17.2
42384,Bogra,1961,1,17,0.0,9.0,77.0,18.2
42385,Bogra,1961,1,18,0.0,6.4,83.0,17.7
42386,Bogra,1961,1,19,0.0,9.2,80.0,18.6
42387,Bogra,1961,1,20,0.0,8.6,74.0,19.4
42388,Bogra,1961,1,21,0.0,9.4,84.0,18.4
42389,Bogra,1961,1,22,3.0,9.2,73.0,19.8
42390,Bogra,1961,1,23,0.0,8.2,82.0,17.9
42391,Bogra,1961,1,24,0.0,9.4,80.0,18.3
42392,Bogra,1961,1,25,0.0,8.9,80.0,18.5
42393,Bogra,1961,1,26,0.0,8.0,76.0,19.3
42394,Bogra,1961,1,27,0.0,8.5,76.0,18.7
42395,Bogra,1961,1,28,0.0,9.1,74.0,20.1
42396,Bogra,1961,1,29,0.0,9.4,75.0,20.2
42397,Bogra,1961,1,30,0.0,9.3,67.0,20.8
42398,Bogra,1961,1,31,0.0,9.0,71.0,21.2
42399,Bogra,1961,2,1,1.0,0.9,93.0,19.2
42400,Bogra,1961,2,2,2.0,5.8,88.0,19.6
42401,Bogra,1961,2,3,12.0,8.6,81.0,18.4
42402,Bogra,1961,2,4,0.0,9.5,74.0,16.9
42403,Bogra,1961,2,5,0.0,2.7,89.0,16.1
42404,Bogra,1961,2,6,1.0,1.0,90.0,18.1
42405,Bogra,1961,2,7,1.0,0.0,96.0,17.6
42406,Bogra,1961,2,8,10.0,4.8,85.0,17.8
42407,Bogra,1961,2,9,0.0,10.0,60.0,14.7
42408,Bogra,1961,2,10,0.0,9.8,70.0,14.7
42409,Bogra,1961,2,11,0.0,9.6,65.0,17.1
42410,Bogra,1961,2,12,0.0,4.3,64.0,17.8
42411,Bogra,1961,2,13,0.0,1.7,73.0,16.0
42412,Bogra,1961,2,14,0.0,8.0,67.0,17.0
42413,Bogra,1961,2,15,0.0,10.1,62.0,14.7
42414,Bogra,1961,2,16,0.0,10.0,62.0,15.9
42415,Bogra,1961,2,17,0.0,10.3,63.0,17.4
42416,Bogra,1961,2,18,0.0,10.4,66.0,17.8
42417,Bogra,1961,2,19,0.0,10.2,58.0,20.2
42418,Bogra,1961,2,20,0.0,9.7,65.0,19.1
42419,Bogra,1961,2,21,0.0,10.4,59.0,19.7
42420,Bogra,1961,2,22,0.0,10.4,56.0,19.4
42421,Bogra,1961,2,23,0.0,10.5,53.0,20.0
42422,Bogra,1961,2,24,0.0,10.4,52.0,21.6
42423,Bogra,1961,2,25,0.0,10.4,47.0,21.1
42424,Bogra,1961,2,26,0.0,10.4,54.0,20.0
42425,Bogra,1961,2,27,0.0,10.4,55.0,20.2
42426,Bogra,1961,2,28,0.0,9.6,64.0,20.8
42427,Bogra,1961,3,1,0.0,9.2,53.0,23.3
42428,Bogra,1961,3,2,0.0,9.3,61.0,23.8
42429,Bogra,1961,3,3,0.0,9.2,59.0,23.7
42430,Bogra,1961,3,4,0.0,8.9,48.0,22.8
42431,Bogra,1961,3,5,0.0,6.2,78.0,25.2
42432,Bogra,1961,3,6,0.0,4.6,81.0,25.3
42433,Bogra,1961,3,7,1.0,8.6,74.0,24.0
42434,Bogra,1961,3,8,0.0,9.8,52.0,23.3
42435,Bogra,1961,3,9,0.0,10.4,51.0,24.2
42436,Bogra,1961,3,10,0.0,8.6,57.0,23.5
42437,Bogra,1961,3,11,0.0,8.7,68.0,24.9
42438,Bogra,1961,3,12,0.0,8.0,68.0,26.5
42439,Bogra,1961,3,13,0.0,9.3,72.0,26.7
42440,Bogra,1961,3,14,0.0,7.6,72.0,27.3
42441,Bogra,1961,3,15,0.0,6.3,72.0,27.3
42442,Bogra,1961,3,16,0.0,9.4,66.0,26.6
42443,Bogra,1961,3,17,0.0,8.7,74.0,26.6
42444,Bogra,1961,3,18,0.0,6.2,69.0,25.6
42445,Bogra,1961,3,19,0.0,8.3,76.0,26.0
42446,Bogra,1961,3,20,0.0,8.2,54.0,27.5
42447,Bogra,1961,3,21,0.0,8.5,55.0,26.5
42448,Bogra,1961,3,22,0.0,9.5,49.0,25.7
42449,Bogra,1961,3,23,0.0,9.3,36.0,27.4
42450,Bogra,1961,3,24,0.0,10.1,36.0,30.1
42451,Bogra,1961,3,25,0.0,9.2,40.0,30.6
42452,Bogra,1961,3,26,0.0,8.6,48.0,27.5
42453,Bogra,1961,3,27,0.0,9.5,41.0,26.6
42454,Bogra,1961,3,28,0.0,9.6,48.0,26.2
42455,Bogra,1961,3,29,0.0,10.0,52.0,25.6
42456,Bogra,1961,3,30,0.0,4.8,60.0,26.6
42457,Bogra,1961,3,31,0.0,7.5,61.0,27.3
42458,Bogra,1961,4,1,0.0,7.2,63.0,27.7
42459,Bogra,1961,4,2,2.0,4.5,82.0,22.2
42460,Bogra,1961,4,3,0.0,10.0,64.0,25.5
42461,Bogra,1961,4,4,0.0,9.0,61.0,27.9
42462,Bogra,1961,4,5,0.0,6.7,65.0,27.8
42463,Bogra,1961,4,6,0.0,9.6,46.0,30.3
42464,Bogra,1961,4,7,0.0,1.5,44.0,29.2
42465,Bogra,1961,4,8,0.0,2.9,78.0,21.9
42466,Bogra,1961,4,9,2.0,9.4,57.0,27.5
42467,Bogra,1961,4,10,0.0,10.1,55.0,28.7
42468,Bogra,1961,4,11,0.0,9.7,56.0,28.9
42469,Bogra,1961,4,12,0.0,9.8,57.0,30.7
42470,Bogra,1961,4,13,0.0,10.0,56.0,31.9
42471,Bogra,1961,4,14,0.0,10.9,41.0,33.0
42472,Bogra,1961,4,15,0.0,11.4,32.0,33.0
42473,Bogra,1961,4,16,0.0,10.6,45.0,30.7
42474,Bogra,1961,4,17,0.0,11.6,40.0,30.9
42475,Bogra,1961,4,18,0.0,11.3,70.0,28.7
42476,Bogra,1961,4,19,0.0,6.1,74.0,28.0
42477,Bogra,1961,4,20,0.0,8.0,72.0,28.8
42478,Bogra,1961,4,21,0.0,7.9,82.0,30.4
