,Station,Year,Month,Day,Rainfall,Sunshine,Humidity,Temperature
65378,Chandpur,1977,1,1,0.0,9.2,73.0,22.3
65379,Chandpur,1977,1,2,0.0,9.0,84.0,16.9
65380,Chandpur,1977,1,3,0.0,7.0,80.0,18.2
65381,Chandpur,1977,1,4,0.0,9.1,65.0,20.6
65382,Chandpur,1977,1,5,0.0,9.1,73.0,18.0
65383,Chandpur,1977,1,6,0.0,9.3,72.0,18.0
65384,Chandpur,1977,1,7,0.0,8.7,86.0,16.3
65385,Chandpur,1977,1,8,0.0,8.2,72.0,19.2
65386,Chandpur,1977,1,9,0.0,9.1,44.0,23.6
65387,Chandpur,1977,1,10,0.0,8.9,85.0,18.5
65388,Chandpur,1977,1,11,0.0,8.3,82.0,18.3
65389,Chandpur,1977,1,12,0.0,9.0,76.0,17.8
65390,Chandpur,1977,1,13,0.0,8.4,70.0,19.6
65391,Chandpur,1977,1,14,0.0,8.8,72.0,19.6
65392,Chandpur,1977,1,15,0.0,5.9,76.0,19.5
65393,Chandpur,1977,1,16,0.0,2.9,79.0,15.6
65394,Chandpur,1977,1,17,0.0,6.9,84.0,19.2
65395,Chandpur,1977,1,18,0.0,7.9,72.0,19.5
65396,Chandpur,1977,1,19,0.0,7.4,81.0,20.4
65397,Chandpur,1977,1,20,0.0,8.0,87.0,18.5
65398,Chandpur,1977,1,21,0.0,8.8,67.0,18.5
65399,Chandpur,1977,1,22,0.0,6.7,73.0,22.2
65400,Chandpur,1977,1,23,0.0,7.6,83.0,21.1
65401,Chandpur,1977,1,24,0.0,9.3,82.0,21.4
65402,Chandpur,1977,1,25,0.0,9.6,70.0,19.3
65403,Chandpur,1977,1,26,0.0,8.4,82.0,20.4
65404,Chandpur,1977,1,27,0.0,8.1,71.0,20.8
65405,Chandpur,1977,1,28,0.0,9.3,61.0,20.6
65406,Chandpur,1977,1,29,0.0,7.4,67.0,16.2
65407,Chandpur,1977,1,30,0.0,4.2,84.0,19.6
65408,Chandpur,1977,1,31,0.0,6.5,70.0,18.0
65409,Chandpur,1977,2,1,0.0,7.5,68.0,18.0
65410,Chandpur,1977,2,2,0.0,0.1,74.0,17.4
65411,Chandpur,1977,2,3,0.0,7.9,78.0,16.4
65412,Chandpur,1977,2,4,0.0,9.4,76.0,21.0
65413,Chandpur,1977,2,5,0.0,10.1,77.0,21.4
65414,Chandpur,1977,2,6,0.0,9.4,75.0,20.9
65415,Chandpur,1977,2,7,0.0,9.2,80.0,19.8
65416,Chandpur,1977,2,8,0.0,8.4,62.0,18.5
65417,Chandpur,1977,2,9,0.0,8.1,70.0,18.7
65418,Chandpur,1977,2,10,0.0,9.7,71.0,18.3
65419,Chandpur,1977,2,11,0.0,9.7,63.0,20.4
65420,Chandpur,1977,2,12,0.0,9.8,65.0,20.4
65421,Chandpur,1977,2,13,0.0,9.0,70.0,20.5
65422,Chandpur,1977,2,14,0.0,9.3,69.0,20.4
65423,Chandpur,1977,2,15,0.0,9.9,62.0,21.8
65424,Chandpur,1977,2,16,0.0,8.9,52.0,26.1
65425,Chandpur,1977,2,17,0.0,10.2,68.0,22.2
65426,Chandpur,1977,2,18,0.0,9.5,59.0,25.2
65427,Chandpur,1977,2,19,0.0,9.3,72.0,23.5
65428,Chandpur,1977,2,20,0.0,8.6,67.0,27.5
65429,Chandpur,1977,2,21,0.0,9.4,78.0,24.6
65430,Chandpur,1977,2,22,0.0,9.6,78.0,23.3
65431,Chandpur,1977,2,23,0.0,9.6,90.0,23.6
65432,Chandpur,1977,2,24,2.0,9.3,92.0,23.5
65433,Chandpur,1977,2,25,4.0,3.8,86.0,24.8
65434,Chandpur,1977,2,26,0.0,10.3,80.0,25.9
65435,Chandpur,1977,2,27,0.0,9.8,74.0,26.7
65436,Chandpur,1977,2,28,0.0,9.8,67.0,27.0
65437,Chandpur,1977,3,1,39.0,10.0,75.0,25.2
65438,Chandpur,1977,3,2,0.0,10.2,65.0,26.7
65439,Chandpur,1977,3,3,0.0,9.8,60.0,26.3
65440,Chandpur,1977,3,4,0.0,9.8,68.0,24.6
65441,Chandpur,1977,3,5,0.0,9.7,63.0,25.0
65442,Chandpur,1977,3,6,0.0,9.3,81.0,25.5
65443,Chandpur,1977,3,7,0.0,9.6,77.0,25.7
65444,Chandpur,1977,3,8,25.0,9.2,71.0,24.6
65445,Chandpur,1977,3,9,0.0,9.2,69.0,26.5
65446,Chandpur,1977,3,10,0.0,9.6,72.0,26.6
65447,Chandpur,1977,3,11,0.0,8.8,71.0,27.0
65448,Chandpur,1977,3,12,0.0,9.5,83.0,26.5
65449,Chandpur,1977,3,13,0.0,9.7,67.0,28.3
65450,Chandpur,1977,3,14,0.0,9.6,63.0,26.7
65451,Chandpur,1977,3,15,0.0,9.7,86.0,26.3
65452,Chandpur,1977,3,16,46.0,8.0,87.0,26.1
65453,Chandpur,1977,3,17,0.0,6.1,72.0,28.1
65454,Chandpur,1977,3,18,0.0,8.0,77.0,26.22
65455,Chandpur,1977,3,19,0.0,8.8,73.0,26.22
65456,Chandpur,1977,3,20,0.0,6.9,64.0,26.22
65457,Chandpur,1977,3,21,0.0,8.0,83.0,26.22
65458,Chandpur,1977,3,22,5.0,7.6,71.0,26.22
65459,Chandpur,1977,3,23,0.0,6.9,65.0,26.22
