,Station,Year,Month,Day,Rainfall,Sunshine,Humidity,Temperature
105554,Chuadanga,1999,1,1,0.0,7.7,81.0,16.4
105555,Chuadanga,1999,1,2,0.0,7.8,81.0,16.6
105556,Chuadanga,1999,1,3,0.0,8.6,78.0,17.8
105557,Chuadanga,1999,1,4,0.0,8.6,75.0,18.5
105558,Chuadanga,1999,1,5,0.0,8.7,74.0,19.1
105559,Chuadanga,1999,1,6,0.0,2.6,77.0,18.8
105560,Chuadanga,1999,1,7,0.0,4.8,77.0,19.0
105561,Chuadanga,1999,1,8,0.0,7.2,80.0,18.4
105562,Chuadanga,1999,1,9,0.0,0.6,86.0,17.2
105563,Chuadanga,1999,1,10,0.0,7.4,81.0,14.8
105564,Chuadanga,1999,1,11,0.0,7.8,83.0,13.0
105565,Chuadanga,1999,1,12,0.0,7.6,82.0,14.8
105566,Chuadanga,1999,1,13,0.0,7.4,79.0,15.9
105567,Chuadanga,1999,1,14,0.0,8.3,79.0,16.0
105568,Chuadanga,1999,1,15,0.0,7.8,76.0,16.6
105569,Chuadanga,1999,1,16,0.0,8.4,78.0,16.0
105570,Chuadanga,1999,1,17,0.0,8.6,78.0,15.1
105571,Chuadanga,1999,1,18,0.0,8.6,78.0,14.3
105572,Chuadanga,1999,1,19,0.0,7.7,79.0,13.9
105573,Chuadanga,1999,1,20,0.0,8.5,78.0,16.0
105574,Chuadanga,1999,1,21,0.0,9.0,73.0,16.7
105575,Chuadanga,1999,1,22,0.0,9.2,72.0,16.9
105576,Chuadanga,1999,1,23,0.0,9.1,72.0,17.6
105577,Chuadanga,1999,1,24,0.0,7.8,72.0,19.9
105578,Chuadanga,1999,1,25,0.0,7.3,74.0,19.2
105579,Chuadanga,1999,1,26,0.0,9.9,65.0,17.4
105580,Chuadanga,1999,1,27,0.0,9.1,74.0,16.6
105581,Chuadanga,1999,1,28,0.0,8.9,79.0,17.5
105582,Chuadanga,1999,1,29,0.0,8.3,78.0,19.0
105583,Chuadanga,1999,1,30,0.0,9.2,73.0,16.9
105584,Chuadanga,1999,1,31,0.0,9.2,71.0,15.9
105585,Chuadanga,1999,2,1,0.0,9.8,70.0,16.1
105586,Chuadanga,1999,2,2,0.0,8.9,68.0,18.3
105587,Chuadanga,1999,2,3,0.0,9.3,69.0,19.2
105588,Chuadanga,1999,2,4,0.0,9.5,74.0,19.9
105589,Chuadanga,1999,2,5,0.0,8.9,76.0,19.4
105590,Chuadanga,1999,2,6,0.0,9.7,69.0,18.7
105591,Chuadanga,1999,2,7,0.0,9.6,68.0,17.9
105592,Chuadanga,1999,2,8,0.0,9.4,71.0,19.6
105593,Chuadanga,1999,2,9,0.0,3.1,79.0,21.2
105594,Chuadanga,1999,2,10,0.0,5.5,75.0,21.6
105595,Chuadanga,1999,2,11,0.0,8.9,75.0,22.3
105596,Chuadanga,1999,2,12,0.0,9.3,70.0,22.0
105597,Chuadanga,1999,2,13,0.0,9.4,74.0,21.9
105598,Chuadanga,1999,2,14,0.0,9.2,72.0,21.6
105599,Chuadanga,1999,2,15,0.0,9.3,72.0,20.6
105600,Chuadanga,1999,2,16,0.0,9.8,71.0,20.8
105601,Chuadanga,1999,2,17,0.0,9.7,67.0,21.5
105602,Chuadanga,1999,2,18,0.0,9.7,62.0,22.5
105603,Chuadanga,1999,2,19,0.0,9.8,62.0,22.9
105604,Chuadanga,1999,2,20,0.0,8.7,66.0,23.0
105605,Chuadanga,1999,2,21,0.0,9.2,64.0,22.1
105606,Chuadanga,1999,2,22,0.0,9.6,63.0,21.4
105607,Chuadanga,1999,2,23,0.0,8.9,66.0,22.3
105608,Chuadanga,1999,2,24,0.0,8.4,68.0,23.5
105609,Chuadanga,1999,2,25,0.0,8.6,68.0,25.7
105610,Chuadanga,1999,2,26,0.0,5.5,75.0,26.5
105611,Chuadanga,1999,2,27,0.0,7.7,60.0,23.9
105612,Chuadanga,1999,2,28,0.0,9.9,58.0,22.8
105613,Chuadanga,1999,3,1,0.0,9.5,58.0,21.9
105614,Chuadanga,1999,3,2,0.0,9.5,57.0,22.2
105615,Chuadanga,1999,3,3,0.0,9.1,60.0,22.2
105616,Chuadanga,1999,3,4,0.0,9.2,55.0,22.8
105617,Chuadanga,1999,3,5,0.0,9.4,58.0,24.6
105618,Chuadanga,1999,3,6,0.0,9.0,66.0,25.0
105619,Chuadanga,1999,3,7,0.0,8.9,57.0,25.9
105620,Chuadanga,1999,3,8,0.0,9.2,55.0,26.7
105621,Chuadanga,1999,3,9,0.0,9.5,51.0,28.2
105622,Chuadanga,1999,3,10,0.0,9.3,56.0,28.1
105623,Chuadanga,1999,3,11,0.0,8.2,57.0,28.0
105624,Chuadanga,1999,3,12,0.0,7.7,59.0,27.3
105625,Chuadanga,1999,3,13,0.0,8.9,50.0,26.1
105626,Chuadanga,1999,3,14,0.0,9.4,47.0,23.6
105627,Chuadanga,1999,3,15,0.0,9.5,46.0,24.2
105628,Chuadanga,1999,3,16,0.0,9.0,44.0,25.4
105629,Chuadanga,1999,3,17,0.0,8.1,66.0,28.3
105630,Chuadanga,1999,3,18,0.0,8.2,67.0,29.6
105631,Chuadanga,1999,3,19,0.0,9.0,50.0,27.6
105632,Chuadanga,1999,3,20,0.0,9.5,42.0,26.0
105633,Chuadanga,1999,3,21,0.0,9.1,39.0,26.3
105634,Chuadanga,1999,3,22,0.0,9.0,46.0,26.5
105635,Chuadanga,1999,3,23,0.0,8.6,61.0,27.0
105636,Chuadanga,1999,3,24,0.0,8.6,51.0,26.9
105637,Chuadanga,1999,3,25,0.0,8.1,70.0,28.8
105638,Chuadanga,1999,3,26,0.0,5.6,71.0,28.9
105639,Chuadanga,1999,3,27,0.0,8.3,47.0,28.2
105640,Chuadanga,1999,3,28,0.0,9.2,41.0,26.7
105641,Chuadanga,1999,3,29,0.0,7.8,64.0,27.2
105642,Chuadanga,1999,3,30,0.0,7.6,67.0,28.3
105643,Chuadanga,1999,3,31,0.0,5.5,75.0,28.9
105644,Chuadanga,1999,4,1,0.0,8.2,68.0,30.0
105645,Chuadanga,1999,4,2,0.0,8.9,64.0,30.4
105646,Chuadanga,1999,4,3,0.0,8.6,62.0,29.9
105647,Chuadanga,1999,4,4,0.0,8.6,69.0,29.1
105648,Chuadanga,1999,4,5,0.0,7.5,71.0,29.3
105649,Chuadanga,1999,4,6,0.0,7.4,72.0,29.7
105650,Chuadanga,1999,4,7,0.0,8.7,68.0,30.2
105651,Chuadanga,1999,4,8,0.0,8.8,70.0,28.7
105652,Chuadanga,1999,4,9,5.0,5.7,78.0,23.3
105653,Chuadanga,1999,4,10,12.0,8.3,79.0,27.6
105654,Chuadanga,1999,4,11,0.0,7.3,77.0,29.2
105655,Chuadanga,1999,4,12,0.0,8.8,75.0,29.8
105656,Chuadanga,1999,4,13,0.0,9.8,72.0,30.4
105657,Chuadanga,1999,4,14,0.0,9.8,70.0,30.7
105658,Chuadanga,1999,4,15,0.0,9.7,68.0,31.4
105659,Chuadanga,1999,4,16,0.0,9.3,59.0,31.2
105660,Chuadanga,1999,4,17,0.0,8.3,68.0,30.5
105661,Chuadanga,1999,4,18,0.0,9.6,70.0,30.5
105662,Chuadanga,1999,4,19,0.0,9.6,68.0,30.7
105663,Chuadanga,1999,4,20,0.0,9.7,64.0,31.4
105664,Chuadanga,1999,4,21,0.0,9.4,66.0,31.0
105665,Chuadanga,1999,4,22,0.0,7.6,70.0,30.3
105666,Chuadanga,1999,4,23,0.0,8.8,74.0,30.8
105667,Chuadanga,1999,4,24,0.0,8.9,70.0,31.7
105668,Chuadanga,1999,4,25,0.0,10.2,67.0,32.4
105669,Chuadanga,1999,4,26,0.0,8.8,68.0,32.5
105670,Chuadanga,1999,4,27,0.0,9.9,68.0,32.5
105671,Chuadanga,1999,4,28,0.0,8.5,70.0,32.2
105672,Chuadanga,1999,4,29,0.0,0.0,70.0,31.8
105673,Chuadanga,1999,4,30,0.0,9.9,67.0,31.9
105674,Chuadanga,1999,5,1,0.0,7.7,68.0,31.3
105675,Chuadanga,1999,5,2,0.0,8.0,68.0,31.5
105676,Chuadanga,1999,5,3,0.0,9.8,64.0,31.6
105677,Chuadanga,1999,5,4,0.0,10.1,62.0,31.9
105678,Chuadanga,1999,5,5,0.0,9.8,68.0,30.8
105679,Chuadanga,1999,5,6,0.0,6.7,68.0,31.0
105680,Chuadanga,1999,5,7,0.0,7.3,66.0,32.8
105681,Chuadanga,1999,5,8,1.0,6.7,70.0,30.3
105682,Chuadanga,1999,5,9,19.0,1.6,89.0,23.5
105683,Chuadanga,1999,5,10,3.0,9.3,70.0,29.1
105684,Chuadanga,1999,5,11,0.0,4.2,81.0,26.3
105685,Chuadanga,1999,5,12,9.0,9.9,73.0,29.2
105686,Chuadanga,1999,5,13,0.0,6.5,79.0,27.4
105687,Chuadanga,1999,5,14,0.0,4.2,88.0,24.5
105688,Chuadanga,1999,5,15,61.0,8.4,80.0,26.3
105689,Chuadanga,1999,5,16,3.0,9.5,74.0,28.0
105690,Chuadanga,1999,5,17,0.0,7.1,75.0,28.4
105691,Chuadanga,1999,5,18,0.0,10.6,74.0,28.9
105692,Chuadanga,1999,5,19,0.0,11.4,73.0,29.4
105693,Chuadanga,1999,5,20,0.0,11.1,76.0,29.2
105694,Chuadanga,1999,5,21,2.0,6.7,77.0,28.9
105695,Chuadanga,1999,5,22,0.0,9.4,71.0,30.8
105696,Chuadanga,1999,5,23,0.0,6.2,84.0,28.4
105697,Chuadanga,1999,5,24,4.0,7.6,73.0,30.5
105698,Chuadanga,1999,5,25,0.0,3.4,82.0,29.1
105699,Chuadanga,1999,5,26,0.0,9.6,77.0,30.4
105700,Chuadanga,1999,5,27,0.0,1.1,87.0,28.1
105701,Chuadanga,1999,5,28,13.0,3.0,90.0,27.7
105702,Chuadanga,1999,5,29,24.0,0.0,95.0,26.5
105703,Chuadanga,1999,5,30,19.0,6.9,83.0,31.4
105704,Chuadanga,1999,5,31,0.0,9.2,73.0,33.1
105705,Chuadanga,1999,6,1,0.0,10.0,72.0,33.2
105706,Chuadanga,1999,6,2,14.0,2.3,82.0,27.9
105707,Chuadanga,1999,6,3,2.0,4.4,83.0,28.1
105708,Chuadanga,1999,6,4,0.0,7.3,78.0,29.4
105709,Chuadanga,1999,6,5,0.0,10.5,69.0,31.2
105710,Chuadanga,1999,6,6,0.0,6.6,75.0,30.5
105711,Chuadanga,1999,6,7,0.0,9.0,70.0,31.6
105712,Chuadanga,1999,6,8,0.0,9.9,69.0,32.6
105713,Chuadanga,1999,6,9,0.0,3.8,84.0,28.7
105714,Chuadanga,1999,6,10,12.0,5.0,79.0,29.3
105715,Chuadanga,1999,6,11,10.0,0.0,92.0,26.6
105716,Chuadanga,1999,6,12,11.0,8.2,84.0,28.8
105717,Chuadanga,1999,6,13,0.0,8.2,81.0,29.4
105718,Chuadanga,1999,6,14,1.0,7.1,84.0,29.6
105719,Chuadanga,1999,6,15,1.0,7.3,77.0,30.4
105720,Chuadanga,1999,6,16,0.0,8.7,78.0,29.5
105721,Chuadanga,1999,6,17,5.0,7.6,81.0,29.1
105722,Chuadanga,1999,6,18,7.0,8.4,81.0,28.9
105723,Chuadanga,1999,6,19,9.0,8.3,81.0,29.2
105724,Chuadanga,1999,6,20,0.0,5.0,83.0,29.2
105725,Chuadanga,1999,6,21,0.0,4.0,85.0,29.7
105726,Chuadanga,1999,6,22,1.0,1.8,86.0,28.4
105727,Chuadanga,1999,6,23,114.0,0.3,88.0,27.7
105728,Chuadanga,1999,6,24,7.0,0.0,94.0,26.3
105729,Chuadanga,1999,6,25,24.0,1.0,88.0,28.2
105730,Chuadanga,1999,6,26,21.0,0.0,90.0,26.9
105731,Chuadanga,1999,6,27,21.0,0.0,90.0,27.1
105732,Chuadanga,1999,6,28,34.0,2.9,86.0,28.4
105733,Chuadanga,1999,6,29,3.0,2.2,85.0,29.3
105734,Chuadanga,1999,6,30,0.0,0.3,85.0,28.7
105735,Chuadanga,1999,7,1,30.0,0.0,92.0,26.5
105736,Chuadanga,1999,7,2,93.0,0.0,93.0,26.5
105737,Chuadanga,1999,7,3,10.0,4.1,90.0,27.2
105738,Chuadanga,1999,7,4,23.0,6.1,83.0,28.9
105739,Chuadanga,1999,7,5,0.0,9.7,80.0,29.4
