,Station,Year,Month,Day,Rainfall,Sunshine,Humidity,Temperature
130390,Coxsbazar,1961,1,1,0.0,1.3,74.0,22.9
130391,Coxsbazar,1961,1,2,0.0,6.6,70.0,24.2
130392,Coxsbazar,1961,1,3,0.0,1.6,79.0,23.5
130393,Coxsbazar,1961,1,4,0.0,7.3,79.0,23.3
130394,Coxsbazar,1961,1,5,0.0,10.2,59.0,21.4
130395,Coxsbazar,1961,1,6,0.0,10.4,69.0,19.9
130396,Coxsbazar,1961,1,7,0.0,10.4,77.0,19.5
130397,Coxsbazar,1961,1,8,0.0,10.2,74.0,19.1
130398,Coxsbazar,1961,1,9,0.0,9.3,78.0,19.0
130399,Coxsbazar,1961,1,10,0.0,9.2,73.0,19.7
130400,Coxsbazar,1961,1,11,0.0,10.0,73.0,19.6
130401,Coxsbazar,1961,1,12,0.0,10.1,76.0,21.3
130402,Coxsbazar,1961,1,13,0.0,10.1,73.0,21.9
130403,Coxsbazar,1961,1,14,0.0,7.9,69.0,19.7
130404,Coxsbazar,1961,1,15,0.0,10.5,71.0,18.4
130405,Coxsbazar,1961,1,16,0.0,10.0,69.0,19.1
130406,Coxsbazar,1961,1,17,0.0,9.3,73.0,20.3
130407,Coxsbazar,1961,1,18,0.0,8.4,73.0,21.6
130408,Coxsbazar,1961,1,19,0.0,4.8,77.0,20.6
130409,Coxsbazar,1961,1,20,0.0,10.2,78.0,20.5
130410,Coxsbazar,1961,1,21,0.0,9.0,73.0,21.1
130411,Coxsbazar,1961,1,22,0.0,3.5,77.0,18.5
130412,Coxsbazar,1961,1,23,0.0,10.5,76.0,19.8
130413,Coxsbazar,1961,1,24,0.0,10.6,78.0,20.1
130414,Coxsbazar,1961,1,25,0.0,10.6,77.0,20.2
130415,Coxsbazar,1961,1,26,0.0,10.7,75.0,20.2
130416,Coxsbazar,1961,1,27,0.0,10.7,77.0,21.7
130417,Coxsbazar,1961,1,28,0.0,10.1,74.0,23.0
130418,Coxsbazar,1961,1,29,0.0,10.6,79.0,22.6
130419,Coxsbazar,1961,1,30,0.0,10.5,84.0,22.0
130420,Coxsbazar,1961,1,31,0.0,10.3,87.0,21.8
130421,Coxsbazar,1961,2,1,0.0,9.3,84.0,22.4
130422,Coxsbazar,1961,2,2,0.0,10.3,86.0,23.5
130423,Coxsbazar,1961,2,3,0.0,1.7,92.0,22.1
130424,Coxsbazar,1961,2,4,3.0,6.0,93.0,21.7
130425,Coxsbazar,1961,2,5,0.0,10.2,88.0,22.4
130426,Coxsbazar,1961,2,6,0.0,1.5,88.0,21.3
130427,Coxsbazar,1961,2,7,0.0,8.5,78.0,22.9
130428,Coxsbazar,1961,2,8,0.0,4.1,64.0,23.4
130429,Coxsbazar,1961,2,9,0.0,7.8,70.0,21.1
130430,Coxsbazar,1961,2,10,0.0,11.0,58.0,18.0
130431,Coxsbazar,1961,2,11,0.0,10.8,65.0,18.3
130432,Coxsbazar,1961,2,12,0.0,8.4,60.0,21.5
130433,Coxsbazar,1961,2,13,0.0,10.6,60.0,21.8
130434,Coxsbazar,1961,2,14,0.0,10.0,68.0,20.1
130435,Coxsbazar,1961,2,15,0.0,11.0,65.0,20.0
130436,Coxsbazar,1961,2,16,0.0,8.7,65.0,18.2
130437,Coxsbazar,1961,2,17,0.0,10.8,65.0,19.2
130438,Coxsbazar,1961,2,18,0.0,10.7,62.0,19.5
130439,Coxsbazar,1961,2,19,0.0,10.8,67.0,20.6
130440,Coxsbazar,1961,2,20,0.0,10.4,74.0,21.4
130441,Coxsbazar,1961,2,21,0.0,10.6,81.0,22.2
130442,Coxsbazar,1961,2,22,0.0,10.6,73.0,21.2
130443,Coxsbazar,1961,2,23,0.0,10.7,61.0,20.6
130444,Coxsbazar,1961,2,24,0.0,10.8,66.0,20.9
130445,Coxsbazar,1961,2,25,0.0,10.8,73.0,22.1
130446,Coxsbazar,1961,2,26,0.0,10.7,69.0,22.1
130447,Coxsbazar,1961,2,27,0.0,10.8,78.0,22.3
130448,Coxsbazar,1961,2,28,0.0,10.4,86.0,23.7
130449,Coxsbazar,1961,3,1,0.0,9.5,78.0,22.6
130450,Coxsbazar,1961,3,2,0.0,9.6,80.0,23.7
130451,Coxsbazar,1961,3,3,0.0,5.5,81.0,23.9
130452,Coxsbazar,1961,3,4,3.0,7.8,86.0,24.8
130453,Coxsbazar,1961,3,5,0.0,9.7,83.0,24.9
130454,Coxsbazar,1961,3,6,0.0,9.4,83.0,25.2
130455,Coxsbazar,1961,3,7,0.0,8.2,86.0,25.2
130456,Coxsbazar,1961,3,8,0.0,9.8,88.0,24.9
130457,Coxsbazar,1961,3,9,0.0,9.8,84.0,24.1
130458,Coxsbazar,1961,3,10,0.0,9.9,70.0,25.3
130459,Coxsbazar,1961,3,11,0.0,9.7,86.0,24.1
130460,Coxsbazar,1961,3,12,0.0,9.7,83.0,23.8
130461,Coxsbazar,1961,3,13,0.0,9.5,88.0,24.9
130462,Coxsbazar,1961,3,14,0.0,9.1,88.0,25.1
130463,Coxsbazar,1961,3,15,0.0,9.4,91.0,25.5
130464,Coxsbazar,1961,3,16,0.0,9.3,87.0,25.5
130465,Coxsbazar,1961,3,17,0.0,9.5,85.0,26.2
130466,Coxsbazar,1961,3,18,0.0,6.3,82.0,26.4
130467,Coxsbazar,1961,3,19,0.0,9.0,76.0,27.0
130468,Coxsbazar,1961,3,20,0.0,8.8,80.0,27.1
130469,Coxsbazar,1961,3,21,0.0,8.2,85.0,27.0
130470,Coxsbazar,1961,3,22,0.0,9.2,86.0,27.1
130471,Coxsbazar,1961,3,23,0.0,8.7,83.0,27.2
130472,Coxsbazar,1961,3,24,0.0,9.2,83.0,27.7
130473,Coxsbazar,1961,3,25,0.0,8.3,84.0,27.7
130474,Coxsbazar,1961,3,26,0.0,8.9,83.0,27.4
130475,Coxsbazar,1961,3,27,0.0,7.5,83.0,27.5
130476,Coxsbazar,1961,3,28,0.0,8.0,80.0,27.3
130477,Coxsbazar,1961,3,29,0.0,9.8,77.0,27.6
130478,Coxsbazar,1961,3,30,0.0,9.8,80.0,27.0
130479,Coxsbazar,1961,3,31,0.0,9.9,77.0,26.8
130480,Coxsbazar,1961,4,1,0.0,9.7,75.0,27.6
130481,Coxsbazar,1961,4,2,0.0,7.9,78.0,27.2
130482,Coxsbazar,1961,4,3,0.0,10.2,80.0,26.6
130483,Coxsbazar,1961,4,4,0.0,10.1,81.0,26.8
130484,Coxsbazar,1961,4,5,0.0,10.3,80.0,27.1
130485,Coxsbazar,1961,4,6,0.0,10.0,72.0,28.5
130486,Coxsbazar,1961,4,7,0.0,9.2,83.0,27.8
