,Station,Year,Month,Day,Rainfall,Sunshine,Humidity,Temperature
153400,Dhaka,1961,1,1,0.5,0.4,80.0,21.5
153401,Dhaka,1961,1,2,1.0,5.9,76.0,22.2
153402,Dhaka,1961,1,3,0.0,4.2,75.0,23.1
153403,Dhaka,1961,1,4,0.0,6.8,74.0,19.8
153404,Dhaka,1961,1,5,0.0,10.0,68.0,16.6
153405,Dhaka,1961,1,6,0.0,9.9,75.0,16.9
153406,Dhaka,1961,1,7,0.0,9.9,73.0,16.9
153407,Dhaka,1961,1,8,0.0,9.4,76.0,17.1
153408,Dhaka,1961,1,9,0.0,9.7,71.0,16.6
153409,Dhaka,1961,1,10,0.0,9.6,68.0,16.1
153410,Dhaka,1961,1,11,0.0,9.7,70.0,17.3
153411,Dhaka,1961,1,12,0.0,9.7,65.0,18.4
153412,Dhaka,1961,1,13,0.0,10.0,59.0,17.7
153413,Dhaka,1961,1,14,0.0,9.9,64.0,15.4
153414,Dhaka,1961,1,15,0.0,9.4,69.0,15.9
153415,Dhaka,1961,1,16,0.0,9.5,67.0,16.8
153416,Dhaka,1961,1,17,0.0,8.7,67.0,18.3
153417,Dhaka,1961,1,18,0.0,6.3,72.0,19.1
153418,Dhaka,1961,1,19,0.0,7.7,72.0,19.4
153419,Dhaka,1961,1,20,0.0,8.6,75.0,20.1
153420,Dhaka,1961,1,21,0.0,7.0,69.0,19.3
153421,Dhaka,1961,1,22,0.0,7.1,84.0,18.6
153422,Dhaka,1961,1,23,0.0,9.5,74.0,18.2
153423,Dhaka,1961,1,24,0.0,10.0,71.0,18.2
153424,Dhaka,1961,1,25,0.0,10.0,67.0,19.0
153425,Dhaka,1961,1,26,0.0,9.4,68.0,19.6
153426,Dhaka,1961,1,27,0.0,7.3,68.0,20.2
153427,Dhaka,1961,1,28,0.0,10.0,69.0,21.0
153428,Dhaka,1961,1,29,0.0,9.0,69.0,21.5
153429,Dhaka,1961,1,30,0.0,10.0,67.0,21.2
153430,Dhaka,1961,1,31,0.0,8.7,66.0,22.3
153431,Dhaka,1961,2,1,0.0,1.6,72.0,21.5
153432,Dhaka,1961,2,2,0.0,7.0,76.0,22.0
153433,Dhaka,1961,2,3,11.0,5.5,83.0,19.8
153434,Dhaka,1961,2,4,0.0,10.5,65.0,19.1
153435,Dhaka,1961,2,5,0.0,7.3,72.0,19.0
153436,Dhaka,1961,2,6,0.0,0.1,91.0,18.4
153437,Dhaka,1961,2,7,1.0,1.2,88.0,18.9
153438,Dhaka,1961,2,8,0.0,6.5,84.0,18.2
153439,Dhaka,1961,2,9,0.0,10.6,71.0,15.1
153440,Dhaka,1961,2,10,0.0,9.9,68.0,14.5
153441,Dhaka,1961,2,11,0.0,10.3,66.0,16.9
153442,Dhaka,1961,2,12,0.0,10.5,78.0,16.8
153443,Dhaka,1961,2,13,0.0,0.0,84.0,16.2
153444,Dhaka,1961,2,14,0.0,0.0,82.0,16.5
153445,Dhaka,1961,2,15,0.0,10.4,56.0,15.5
153446,Dhaka,1961,2,16,0.0,10.5,60.0,15.5
153447,Dhaka,1961,2,17,0.0,10.7,56.0,17.5
153448,Dhaka,1961,2,18,0.0,10.5,52.0,19.3
153449,Dhaka,1961,2,19,0.0,10.2,56.0,20.7
153450,Dhaka,1961,2,20,0.0,10.1,60.0,21.3
153451,Dhaka,1961,2,21,0.0,10.2,59.0,20.6
153452,Dhaka,1961,2,22,0.0,10.6,52.0,19.8
153453,Dhaka,1961,2,23,0.0,10.5,52.0,19.9
153454,Dhaka,1961,2,24,0.0,1.6,50.0,21.5
153455,Dhaka,1961,2,25,0.0,10.3,50.0,22.0
153456,Dhaka,1961,2,26,0.0,10.6,51.0,20.2
153457,Dhaka,1961,2,27,0.0,10.3,56.0,22.0
153458,Dhaka,1961,2,28,0.0,9.0,66.0,24.3
153459,Dhaka,1961,3,1,0.0,9.3,66.0,26.2
153460,Dhaka,1961,3,2,0.0,7.3,77.0,25.6
153461,Dhaka,1961,3,3,0.0,8.4,78.0,25.8
153462,Dhaka,1961,3,4,11.0,10.0,68.0,26.1
153463,Dhaka,1961,3,5,0.0,8.2,79.0,26.4
153464,Dhaka,1961,3,6,1.0,8.45,82.0,24.7
153465,Dhaka,1961,3,7,0.0,8.7,75.0,25.9
153466,Dhaka,1961,3,8,0.0,7.5,57.0,24.9
153467,Dhaka,1961,3,9,0.0,10.1,47.0,25.3
153468,Dhaka,1961,3,10,0.0,9.7,65.0,26.2
153469,Dhaka,1961,3,11,0.0,8.4,72.0,26.9
153470,Dhaka,1961,3,12,0.0,9.8,67.0,27.7
153471,Dhaka,1961,3,13,0.0,9.6,68.0,27.4
153472,Dhaka,1961,3,14,0.0,7.5,77.0,26.6
153473,Dhaka,1961,3,15,0.0,6.8,72.0,28.0
153474,Dhaka,1961,3,16,0.0,10.0,63.0,28.1
153475,Dhaka,1961,3,17,0.0,9.3,65.0,28.7
153476,Dhaka,1961,3,18,0.0,5.0,75.0,27.9
153477,Dhaka,1961,3,19,0.0,6.0,77.0,26.9
153478,Dhaka,1961,3,20,0.0,7.6,83.0,27.3
153479,Dhaka,1961,3,21,8.0,8.65,76.0,27.2
153480,Dhaka,1961,3,22,0.0,9.7,73.0,26.8
153481,Dhaka,1961,3,23,0.0,9.5,66.0,28.3
153482,Dhaka,1961,3,24,0.0,10.1,62.0,29.4
153483,Dhaka,1961,3,25,0.0,8.5,72.0,28.2
153484,Dhaka,1961,3,26,0.0,5.4,73.0,26.9
153485,Dhaka,1961,3,27,0.0,9.3,57.0,27.7
153486,Dhaka,1961,3,28,0.0,9.4,63.0,26.5
153487,Dhaka,1961,3,29,0.0,10.0,67.0,27.0
153488,Dhaka,1961,3,30,0.0,6.3,72.0,26.5
153489,Dhaka,1961,3,31,0.0,7.6,67.0,25.9
153490,Dhaka,1961,4,1,0.0,8.0,55.0,28.4
153491,Dhaka,1961,4,2,0.0,7.3,66.0,24.1
153492,Dhaka,1961,4,3,0.0,5.0,73.0,24.4
153493,Dhaka,1961,4,4,8.0,7.1,78.0,25.0
153494,Dhaka,1961,4,5,174.0,9.2,79.0,26.1
153495,Dhaka,1961,4,6,0.0,8.6,79.0,28.8
153496,Dhaka,1961,4,7,0.0,4.0,63.0,26.0
153497,Dhaka,1961,4,8,0.0,7.3,55.0,26.5
153498,Dhaka,1961,4,9,0.0,10.4,51.0,28.0
153499,Dhaka,1961,4,10,0.0,10.1,63.0,28.1
153500,Dhaka,1961,4,11,0.0,9.1,64.0,29.7
153501,Dhaka,1961,4,12,0.0,9.7,59.0,31.2
153502,Dhaka,1961,4,13,0.0,10.8,67.0,31.3
153503,Dhaka,1961,4,14,0.0,10.8,65.0,31.2
153504,Dhaka,1961,4,15,0.0,11.0,59.0,33.1
153505,Dhaka,1961,4,16,0.0,10.0,65.0,31.2
153506,Dhaka,1961,4,17,0.0,9.6,64.0,29.8
153507,Dhaka,1961,4,18,0.0,8.1,78.0,26.9
153508,Dhaka,1961,4,19,0.0,5.4,85.0,24.5
153509,Dhaka,1961,4,20,0.0,7.6,83.0,27.7
153510,Dhaka,1961,4,21,6.0,9.1,81.0,29.6
153511,Dhaka,1961,4,22,0.0,10.1,75.0,30.5
153512,Dhaka,1961,4,23,0.0,9.7,76.0,29.9
153513,Dhaka,1961,4,24,0.0,5.5,83.0,29.2
153514,Dhaka,1961,4,25,0.0,8.7,69.0,30.6
153515,Dhaka,1961,4,26,0.0,10.4,72.0,30.4
153516,Dhaka,1961,4,27,0.0,9.8,72.0,29.0
153517,Dhaka,1961,4,28,2.0,8.9,76.0,27.3
153518,Dhaka,1961,4,29,3.0,11.0,73.0,27.6
153519,Dhaka,1961,4,30,12.0,11.7,70.0,27.6
153520,Dhaka,1961,5,1,3.0,10.0,80.0,25.9
153521,Dhaka,1961,5,2,0.0,10.5,78.0,26.6
153522,Dhaka,1961,5,3,0.0,11.8,75.0,27.4
153523,Dhaka,1961,5,4,0.0,11.8,73.0,26.6
153524,Dhaka,1961,5,5,0.0,10.8,71.0,28.7
153525,Dhaka,1961,5,6,0.0,9.0,76.0,27.9
153526,Dhaka,1961,5,7,0.0,11.6,71.0,29.6
153527,Dhaka,1961,5,8,0.0,0.3,78.0,29.3
153528,Dhaka,1961,5,9,31.0,0.0,91.0,24.4
153529,Dhaka,1961,5,10,6.0,9.8,82.0,27.8
153530,Dhaka,1961,5,11,8.0,11.4,83.0,28.4
153531,Dhaka,1961,5,12,13.0,11.1,80.0,28.2
153532,Dhaka,1961,5,13,0.0,11.9,76.0,29.7
153533,Dhaka,1961,5,14,0.0,10.7,78.0,29.6
153534,Dhaka,1961,5,15,2.0,10.2,76.0,29.7
153535,Dhaka,1961,5,16,0.0,10.5,78.0,29.9
153536,Dhaka,1961,5,17,0.0,10.9,82.0,30.1
153537,Dhaka,1961,5,18,0.0,9.7,83.0,30.5
153538,Dhaka,1961,5,19,0.0,9.8,81.0,30.9
153539,Dhaka,1961,5,20,0.0,9.5,83.0,31.0
153540,Dhaka,1961,5,21,0.0,8.4,82.0,30.8
153541,Dhaka,1961,5,22,0.0,0.3,94.0,24.9
153542,Dhaka,1961,5,23,36.0,9.8,81.0,28.2
