,Station,Year,Month,Day,Rainfall,Sunshine,Humidity,Temperature
176410,Dinajpur,1989,1,1,0.0,7.35,65.0,20.6
176411,Dinajpur,1989,1,2,0.0,5.8,64.0,20.4
176412,Dinajpur,1989,1,3,0.0,6.25,67.0,19.6
176413,Dinajpur,1989,1,4,1.0,3.25,74.0,18.3
176414,Dinajpur,1989,1,5,0.0,6.6,67.0,18.8
176415,Dinajpur,1989,1,6,0.0,8.4,68.0,18.7
176416,Dinajpur,1989,1,7,0.0,7.8,69.0,20.2
176417,Dinajpur,1989,1,8,0.0,5.85,71.0,20.2
176418,Dinajpur,1989,1,9,21.0,7.2,90.0,17.9
176419,Dinajpur,1989,1,10,0.0,6.75,68.0,15.9
176420,Dinajpur,1989,1,11,0.0,4.25,73.0,13.7
176421,Dinajpur,1989,1,12,0.0,6.25,58.0,14.1
176422,Dinajpur,1989,1,13,0.0,8.3,64.0,14.8
176423,Dinajpur,1989,1,14,0.0,5.05,63.0,15.4
176424,Dinajpur,1989,1,15,0.0,7.55,77.0,13.7
176425,Dinajpur,1989,1,16,0.0,7.75,77.0,14.5
176426,Dinajpur,1989,1,17,0.0,5.55,67.0,14.3
176427,Dinajpur,1989,1,18,0.0,5.5,71.0,13.7
176428,Dinajpur,1989,1,19,0.0,5.15,69.0,13.9
176429,Dinajpur,1989,1,20,0.0,6.9,67.0,14.8
176430,Dinajpur,1989,1,21,0.0,6.2,69.0,14.9
176431,Dinajpur,1989,1,22,0.0,4.75,67.0,15.3
176432,Dinajpur,1989,1,23,0.0,4.85,72.0,15.7
176433,Dinajpur,1989,1,24,0.0,3.45,70.0,15.8
176434,Dinajpur,1989,1,25,0.0,4.05,69.0,15.2
176435,Dinajpur,1989,1,26,0.0,5.5,68.0,15.8
176436,Dinajpur,1989,1,27,0.0,7.15,67.0,16.4
176437,Dinajpur,1989,1,28,0.0,6.6,63.0,16.4
176438,Dinajpur,1989,1,29,0.0,6.25,63.0,16.2
176439,Dinajpur,1989,1,30,0.0,8.65,71.0,16.1
176440,Dinajpur,1989,1,31,0.0,8.95,71.0,16.9
176441,Dinajpur,1989,2,1,0.0,8.3,74.0,17.4
176442,Dinajpur,1989,2,2,0.0,9.35,74.0,18.4
176443,Dinajpur,1989,2,3,0.0,9.45,82.0,18.6
176444,Dinajpur,1989,2,4,0.0,9.65,78.0,18.5
176445,Dinajpur,1989,2,5,0.0,8.95,59.0,20.3
176446,Dinajpur,1989,2,6,0.0,8.8,53.0,23.4
176447,Dinajpur,1989,2,7,0.0,7.55,48.0,21.1
176448,Dinajpur,1989,2,8,0.0,0.1,49.0,18.7
176449,Dinajpur,1989,2,9,0.0,3.7,53.0,18.4
176450,Dinajpur,1989,2,10,0.0,7.0,59.0,18.1
176451,Dinajpur,1989,2,11,0.0,5.45,55.0,17.1
176452,Dinajpur,1989,2,12,0.0,7.3,52.0,16.5
176453,Dinajpur,1989,2,13,0.0,7.2,61.0,15.9
176454,Dinajpur,1989,2,14,0.0,3.95,57.0,18.3
176455,Dinajpur,1989,2,15,0.0,5.95,43.0,21.0
176456,Dinajpur,1989,2,16,0.0,6.85,43.0,20.7
176457,Dinajpur,1989,2,17,0.0,6.65,56.0,19.4
176458,Dinajpur,1989,2,18,0.0,5.95,68.0,18.1
176459,Dinajpur,1989,2,19,8.0,8.4,75.0,16.0
176460,Dinajpur,1989,2,20,0.0,8.05,70.0,14.8
176461,Dinajpur,1989,2,21,0.0,7.55,67.0,15.8
176462,Dinajpur,1989,2,22,0.0,7.45,80.0,15.9
176463,Dinajpur,1989,2,23,0.0,8.0,70.0,17.1
176464,Dinajpur,1989,2,24,0.0,9.0,63.0,18.5
176465,Dinajpur,1989,2,25,0.0,3.85,59.0,19.4
176466,Dinajpur,1989,2,26,0.0,8.1,62.0,20.2
176467,Dinajpur,1989,2,27,0.0,3.8,57.0,21.5
176468,Dinajpur,1989,2,28,0.0,2.15,62.0,22.7
176469,Dinajpur,1989,3,1,0.0,8.85,61.0,23.2
176470,Dinajpur,1989,3,2,0.0,9.5,44.0,23.0
176471,Dinajpur,1989,3,3,0.0,9.3,40.0,21.1
176472,Dinajpur,1989,3,4,0.0,6.4,52.0,20.0
176473,Dinajpur,1989,3,5,0.0,6.05,56.0,20.4
176474,Dinajpur,1989,3,6,0.0,5.7,55.0,21.4
176475,Dinajpur,1989,3,7,0.0,6.1,48.0,22.8
176476,Dinajpur,1989,3,8,0.0,9.5,51.0,23.0
176477,Dinajpur,1989,3,9,0.0,8.2,54.0,22.9
176478,Dinajpur,1989,3,10,0.0,7.75,56.0,24.0
176479,Dinajpur,1989,3,11,0.0,7.2,72.0,20.6
176480,Dinajpur,1989,3,12,1.0,6.55,67.0,21.4
176481,Dinajpur,1989,3,13,0.0,8.2,64.0,22.4
176482,Dinajpur,1989,3,14,0.0,9.3,59.0,23.7
176483,Dinajpur,1989,3,15,0.0,9.4,57.0,23.6
176484,Dinajpur,1989,3,16,0.0,9.2,56.0,23.9
176485,Dinajpur,1989,3,17,0.0,9.45,54.0,23.9
176486,Dinajpur,1989,3,18,0.0,6.8,57.0,24.0
176487,Dinajpur,1989,3,19,0.0,9.75,64.0,22.9
176488,Dinajpur,1989,3,20,0.0,9.95,60.0,23.9
176489,Dinajpur,1989,3,21,0.0,7.0,65.0,25.8
176490,Dinajpur,1989,3,22,0.0,6.85,64.0,27.2
176491,Dinajpur,1989,3,23,0.0,6.05,47.0,27.8
176492,Dinajpur,1989,3,24,0.0,7.5,41.0,26.7
176493,Dinajpur,1989,3,25,0.0,9.05,46.0,25.9
176494,Dinajpur,1989,3,26,0.0,6.45,46.0,26.5
176495,Dinajpur,1989,3,27,0.0,4.6,44.0,26.9
176496,Dinajpur,1989,3,28,0.0,6.15,60.0,23.9
176497,Dinajpur,1989,3,29,0.0,7.0,67.0,22.3
176498,Dinajpur,1989,3,30,0.0,7.45,63.0,23.3
176499,Dinajpur,1989,3,31,0.0,8.1,59.0,25.3
176500,Dinajpur,1989,4,1,0.0,8.25,58.0,26.2
176501,Dinajpur,1989,4,2,0.0,5.8,54.0,26.9
176502,Dinajpur,1989,4,3,0.0,7.9,29.0,26.7
176503,Dinajpur,1989,4,4,0.0,1.9,24.0,26.4
176504,Dinajpur,1989,4,5,0.0,5.25,24.0,26.4
176505,Dinajpur,1989,4,6,0.0,5.3,26.0,26.1
176506,Dinajpur,1989,4,7,0.0,5.75,35.0,26.0
176507,Dinajpur,1989,4,8,0.0,6.8,44.0,26.8
176508,Dinajpur,1989,4,9,0.0,6.45,63.0,27.4
176509,Dinajpur,1989,4,10,0.0,7.85,58.0,29.4
176510,Dinajpur,1989,4,11,0.0,6.5,33.0,28.8
176511,Dinajpur,1989,4,12,0.0,6.1,27.0,27.4
176512,Dinajpur,1989,4,13,0.0,5.05,34.0,28.1
176513,Dinajpur,1989,4,14,0.0,8.35,42.0,28.2
176514,Dinajpur,1989,4,15,0.0,5.95,45.0,28.1
176515,Dinajpur,1989,4,16,0.0,4.75,44.0,30.0
176516,Dinajpur,1989,4,17,0.0,7.5,66.0,29.4
176517,Dinajpur,1989,4,18,0.0,6.45,67.0,30.5
176518,Dinajpur,1989,4,19,0.0,5.45,49.0,31.6
176519,Dinajpur,1989,4,20,0.0,6.15,29.0,32.4
176520,Dinajpur,1989,4,21,0.0,8.05,23.0,32.8
176521,Dinajpur,1989,4,22,0.0,8.5,37.0,30.9
176522,Dinajpur,1989,4,23,0.0,8.15,63.0,30.9
176523,Dinajpur,1989,4,24,0.0,6.1,63.0,29.4
176524,Dinajpur,1989,4,25,0.0,8.55,65.0,28.7
176525,Dinajpur,1989,4,26,0.0,3.5,63.0,29.2
176526,Dinajpur,1989,4,27,0.0,3.2,67.0,27.3
176527,Dinajpur,1989,4,28,0.0,4.35,56.0,29.9
176528,Dinajpur,1989,4,29,0.0,7.9,59.0,28.8
176529,Dinajpur,1989,4,30,0.0,6.65,66.0,26.7
176530,Dinajpur,1989,5,1,0.0,9.15,70.0,27.6
176531,Dinajpur,1989,5,2,0.0,7.15,75.0,28.0
176532,Dinajpur,1989,5,3,0.0,5.65,78.0,28.2
176533,Dinajpur,1989,5,4,0.0,1.85,73.0,30.7
176534,Dinajpur,1989,5,5,0.0,9.25,68.0,32.4
176535,Dinajpur,1989,5,6,0.0,9.5,47.0,32.5
176536,Dinajpur,1989,5,7,0.0,7.7,23.0,32.7
