,Station,Year,Month,Day,Rainfall,Sunshine,Humidity,Temperature
189193,Faridpur,1985,1,1,0.0,5.3,87.0,17.1
189194,Faridpur,1985,1,2,2.0,6.95,83.0,18.9
189195,Faridpur,1985,1,3,0.0,7.1,81.0,19.0
189196,Faridpur,1985,1,4,0.0,4.6,77.0,19.6
189197,Faridpur,1985,1,5,0.0,5.65,74.0,18.6
189198,Faridpur,1985,1,6,0.0,5.6,77.0,19.7
189199,Faridpur,1985,1,7,0.0,4.5,85.0,19.5
189200,Faridpur,1985,1,8,0.0,6.1,77.0,20.4
189201,Faridpur,1985,1,9,0.0,5.0,77.0,19.6
189202,Faridpur,1985,1,10,0.0,9.2,75.0,17.4
189203,Faridpur,1985,1,11,0.0,8.7,74.0,18.5
189204,Faridpur,1985,1,12,0.0,9.3,72.0,17.6
189205,Faridpur,1985,1,13,0.0,6.9,76.0,17.0
189206,Faridpur,1985,1,14,0.0,7.9,73.0,17.1
189207,Faridpur,1985,1,15,0.0,6.7,76.0,17.8
189208,Faridpur,1985,1,16,0.0,3.3,83.0,17.9
189209,Faridpur,1985,1,17,0.0,8.5,75.0,17.3
189210,Faridpur,1985,1,18,0.0,8.0,75.0,16.9
189211,Faridpur,1985,1,19,0.0,9.2,74.0,17.6
189212,Faridpur,1985,1,20,0.0,8.8,73.0,18.4
189213,Faridpur,1985,1,21,0.0,9.4,77.0,18.3
189214,Faridpur,1985,1,22,0.0,7.7,71.0,19.9
189215,Faridpur,1985,1,23,0.0,9.2,72.0,19.2
189216,Faridpur,1985,1,24,0.0,9.6,73.0,18.9
189217,Faridpur,1985,1,25,0.0,9.4,72.0,19.0
189218,Faridpur,1985,1,26,0.0,9.6,70.0,19.1
189219,Faridpur,1985,1,27,0.0,9.5,73.0,19.1
189220,Faridpur,1985,1,28,0.0,8.7,72.0,20.4
189221,Faridpur,1985,1,29,0.0,6.2,77.0,20.4
189222,Faridpur,1985,1,30,0.0,7.2,74.0,22.0
189223,Faridpur,1985,1,31,0.0,7.6,72.0,22.0
189224,Faridpur,1985,2,1,0.0,0.3,72.0,20.2
189225,Faridpur,1985,2,2,0.0,8.7,68.0,19.9
189226,Faridpur,1985,2,3,0.0,7.8,68.0,19.1
189227,Faridpur,1985,2,4,0.0,8.0,66.0,18.7
189228,Faridpur,1985,2,5,0.0,9.2,67.0,21.6
189229,Faridpur,1985,2,6,2.0,8.9,60.0,22.6
