,Station,Year,Month,Day,Rainfall,Sunshine,Humidity,Temperature
203437,Feni,1985,1,1,0.0,0.0,84.0,17.0
203438,Feni,1985,1,2,3.0,1.3,86.0,16.9
203439,Feni,1985,1,3,0.0,8.2,79.0,19.2
203440,Feni,1985,1,4,0.0,7.8,77.0,20.2
203441,Feni,1985,1,5,0.0,8.5,73.0,19.2
203442,Feni,1985,1,6,0.0,7.9,70.0,20.5
203443,Feni,1985,1,7,0.0,3.7,79.0,21.9
203444,Feni,1985,1,8,0.0,6.6,80.0,21.0
203445,Feni,1985,1,9,0.0,8.4,76.0,20.9
203446,Feni,1985,1,10,0.0,6.6,72.0,18.9
203447,Feni,1985,1,11,0.0,7.6,69.0,18.1
203448,Feni,1985,1,12,0.0,6.7,65.0,18.3
203449,Feni,1985,1,13,0.0,5.2,72.0,17.1
203450,Feni,1985,1,14,0.0,6.7,72.0,17.1
203451,Feni,1985,1,15,0.0,8.8,72.0,17.5
203452,Feni,1985,1,16,0.0,0.9,75.0,17.6
203453,Feni,1985,1,17,0.0,8.6,71.0,17.8
203454,Feni,1985,1,18,0.0,6.9,71.0,17.6
203455,Feni,1985,1,19,0.0,9.2,71.0,18.3
203456,Feni,1985,1,20,0.0,8.5,67.0,18.9
203457,Feni,1985,1,21,0.0,8.9,65.0,19.4
203458,Feni,1985,1,22,0.0,9.1,64.0,20.5
203459,Feni,1985,1,23,0.0,8.7,64.0,20.5
203460,Feni,1985,1,24,0.0,8.8,65.0,19.8
203461,Feni,1985,1,25,0.0,9.0,63.0,20.1
203462,Feni,1985,1,26,0.0,9.6,68.0,19.3
203463,Feni,1985,1,27,0.0,9.1,77.0,18.8
203464,Feni,1985,1,28,0.0,5.9,74.0,20.1
203465,Feni,1985,1,29,0.0,8.1,71.0,21.6
203466,Feni,1985,1,30,0.0,7.9,75.0,22.1
203467,Feni,1985,1,31,0.0,6.2,70.0,22.9
203468,Feni,1985,2,1,0.0,4.6,72.0,21.2
203469,Feni,1985,2,2,0.0,7.5,72.0,20.0
203470,Feni,1985,2,3,0.0,8.6,68.0,19.3
203471,Feni,1985,2,4,0.0,5.2,79.0,18.8
203472,Feni,1985,2,5,0.0,7.4,70.0,21.6
203473,Feni,1985,2,6,3.0,3.4,87.0,21.6
203474,Feni,1985,2,7,2.0,8.7,72.0,20.0
203475,Feni,1985,2,8,0.0,9.9,68.0,19.0
203476,Feni,1985,2,9,0.0,9.7,64.0,20.2
203477,Feni,1985,2,10,0.0,8.4,73.0,20.5
203478,Feni,1985,2,11,0.0,9.0,72.0,22.2
203479,Feni,1985,2,12,0.0,9.5,64.0,22.6
203480,Feni,1985,2,13,0.0,10.9,51.0,21.1
203481,Feni,1985,2,14,0.0,6.2,59.0,21.9
203482,Feni,1985,2,15,0.0,0.0,83.0,18.8
203483,Feni,1985,2,16,0.0,4.9,79.0,19.8
203484,Feni,1985,2,17,0.0,9.6,66.0,20.0
203485,Feni,1985,2,18,0.0,9.2,69.0,19.5
203486,Feni,1985,2,19,0.0,9.0,65.0,20.4
203487,Feni,1985,2,20,0.0,9.7,66.0,21.9
203488,Feni,1985,2,21,0.0,8.9,67.0,23.8
203489,Feni,1985,2,22,0.0,7.8,69.0,23.6
203490,Feni,1985,2,23,0.0,8.9,61.0,24.3
203491,Feni,1985,2,24,0.0,9.1,60.0,22.5
203492,Feni,1985,2,25,0.0,7.7,68.0,23.3
203493,Feni,1985,2,26,0.0,6.4,80.0,23.4
203494,Feni,1985,2,27,0.0,7.7,79.0,23.6
203495,Feni,1985,2,28,0.0,5.3,84.0,23.9
203496,Feni,1985,3,1,0.0,5.8,85.0,24.5
203497,Feni,1985,3,2,5.0,7.2,83.0,24.8
203498,Feni,1985,3,3,0.0,7.1,84.0,25.2
203499,Feni,1985,3,4,0.0,6.9,77.0,25.7
203500,Feni,1985,3,5,0.0,7.3,76.0,25.8
203501,Feni,1985,3,6,0.0,5.9,81.0,24.9
203502,Feni,1985,3,7,0.0,4.6,82.0,24.9
203503,Feni,1985,3,8,0.0,7.3,77.0,25.5
203504,Feni,1985,3,9,0.0,7.3,76.0,25.9
203505,Feni,1985,3,10,0.0,7.7,69.0,27.6
203506,Feni,1985,3,11,0.0,8.7,76.0,26.6
203507,Feni,1985,3,12,0.0,8.5,79.0,26.1
