,Station,Year,Month,Day,Rainfall,Sunshine,Humidity,Temperature
217681,Hatiya,1985,1,1,0.0,7.01,77.0,19.3
217682,Hatiya,1985,1,2,3.0,7.01,83.0,18.1
217683,Hatiya,1985,1,3,0.0,7.01,80.0,18.9
217684,Hatiya,1985,1,4,0.0,7.01,81.0,19.2
217685,Hatiya,1985,1,5,0.0,7.01,77.0,19.1
217686,Hatiya,1985,1,6,0.0,8.1,73.0,20.1
217687,Hatiya,1985,1,7,0.0,3.9,70.0,21.4
217688,Hatiya,1985,1,8,0.0,7.01,74.0,21.4
217689,Hatiya,1985,1,9,0.0,7.01,74.0,21.8
217690,Hatiya,1985,1,10,0.0,7.7,66.0,21.0
217691,Hatiya,1985,1,11,0.0,7.9,65.0,20.2
217692,Hatiya,1985,1,12,0.0,4.6,66.0,20.0
217693,Hatiya,1985,1,13,0.0,7.01,65.0,19.4
217694,Hatiya,1985,1,14,0.0,0.8,67.0,20.0
217695,Hatiya,1985,1,15,0.0,6.0,72.0,19.6
217696,Hatiya,1985,1,16,0.0,0.4,73.0,17.8
217697,Hatiya,1985,1,17,0.0,2.5,71.0,18.6
217698,Hatiya,1985,1,18,0.0,7.3,74.0,18.3
217699,Hatiya,1985,1,19,0.0,6.9,76.0,18.1
217700,Hatiya,1985,1,20,0.0,8.5,70.0,19.8
217701,Hatiya,1985,1,21,0.0,8.4,70.0,20.5
217702,Hatiya,1985,1,22,0.0,9.8,72.0,19.8
217703,Hatiya,1985,1,23,0.0,8.7,69.0,20.5
217704,Hatiya,1985,1,24,0.0,9.6,73.0,19.6
217705,Hatiya,1985,1,25,0.0,7.9,74.0,19.6
217706,Hatiya,1985,1,26,0.0,8.0,71.0,19.9
217707,Hatiya,1985,1,27,0.0,8.8,71.0,19.9
217708,Hatiya,1985,1,28,0.0,9.9,68.0,20.7
217709,Hatiya,1985,1,29,0.0,8.7,64.0,21.4
217710,Hatiya,1985,1,30,0.0,8.1,72.0,21.2
217711,Hatiya,1985,1,31,0.0,8.7,60.0,23.1
217712,Hatiya,1985,2,1,0.0,6.8,74.0,22.8
217713,Hatiya,1985,2,2,0.0,8.6,70.0,21.1
217714,Hatiya,1985,2,3,0.0,9.7,74.0,21.7
217715,Hatiya,1985,2,4,0.0,4.4,77.0,19.9
217716,Hatiya,1985,2,5,0.0,3.4,69.0,22.5
217717,Hatiya,1985,2,6,0.0,5.1,73.0,23.2
217718,Hatiya,1985,2,7,0.0,5.3,70.0,21.2
217719,Hatiya,1985,2,8,0.0,10.0,63.0,20.8
217720,Hatiya,1985,2,9,0.0,9.7,71.0,21.5
217721,Hatiya,1985,2,10,0.0,9.6,73.0,21.3
217722,Hatiya,1985,2,11,0.0,9.2,66.0,22.2
217723,Hatiya,1985,2,12,0.0,9.1,58.0,23.4
217724,Hatiya,1985,2,13,0.0,8.9,56.0,22.6
217725,Hatiya,1985,2,14,0.0,5.1,62.0,22.5
217726,Hatiya,1985,2,15,0.0,0.0,83.0,19.8
217727,Hatiya,1985,2,16,2.0,2.8,81.0,19.2
217728,Hatiya,1985,2,17,0.0,1.7,75.0,20.6
217729,Hatiya,1985,2,18,0.0,6.4,62.0,21.3
217730,Hatiya,1985,2,19,0.0,9.3,64.0,21.6
217731,Hatiya,1985,2,20,0.0,9.2,80.0,21.8
217732,Hatiya,1985,2,21,0.0,6.4,89.0,22.4
217733,Hatiya,1985,2,22,0.0,9.4,74.0,23.0
217734,Hatiya,1985,2,23,0.0,9.2,69.0,22.1
217735,Hatiya,1985,2,24,0.0,0.0,70.0,22.3
217736,Hatiya,1985,2,25,0.0,9.4,71.0,23.4
217737,Hatiya,1985,2,26,0.0,4.1,80.0,23.6
217738,Hatiya,1985,2,27,0.0,6.8,84.0,23.5
217739,Hatiya,1985,2,28,0.0,9.4,83.0,23.8
217740,Hatiya,1985,3,1,0.0,7.2,81.0,25.0
217741,Hatiya,1985,3,2,0.0,5.5,79.0,25.6
217742,Hatiya,1985,3,3,0.0,8.2,81.0,25.4
217743,Hatiya,1985,3,4,0.0,8.3,80.0,25.1
217744,Hatiya,1985,3,5,0.0,8.6,80.0,25.0
217745,Hatiya,1985,3,6,0.0,8.3,78.0,25.3
217746,Hatiya,1985,3,7,0.0,8.6,79.0,25.5
217747,Hatiya,1985,3,8,0.0,7.9,76.0,26.0
217748,Hatiya,1985,3,9,0.0,8.6,79.0,25.7
217749,Hatiya,1985,3,10,0.0,8.7,77.0,26.4
217750,Hatiya,1985,3,11,0.0,8.3,78.0,26.6
217751,Hatiya,1985,3,12,0.0,7.9,77.0,26.4
217752,Hatiya,1985,3,13,0.0,8.3,78.0,27.5
217753,Hatiya,1985,3,14,0.0,7.0,76.0,27.5
217754,Hatiya,1985,3,15,0.0,7.1,78.0,27.2
217755,Hatiya,1985,3,16,0.0,8.7,77.0,27.5
217756,Hatiya,1985,3,17,0.0,8.2,73.0,27.6
217757,Hatiya,1985,3,18,0.0,6.1,78.0,27.7
217758,Hatiya,1985,3,19,0.0,5.7,77.0,28.1
217759,Hatiya,1985,3,20,0.0,5.8,81.0,27.2
217760,Hatiya,1985,3,21,0.0,5.3,82.0,26.3
217761,Hatiya,1985,3,22,0.0,7.5,85.0,25.8
217762,Hatiya,1985,3,23,0.0,8.1,81.0,26.8
217763,Hatiya,1985,3,24,0.0,8.4,79.0,26.1
217764,Hatiya,1985,3,25,44.0,7.3,75.0,26.1
217765,Hatiya,1985,3,26,24.0,6.9,75.0,25.9
217766,Hatiya,1985,3,27,0.0,7.5,80.0,27.3
217767,Hatiya,1985,3,28,0.0,7.8,78.0,27.7
217768,Hatiya,1985,3,29,0.0,4.9,80.0,27.7
217769,Hatiya,1985,3,30,0.0,8.0,81.0,27.8
217770,Hatiya,1985,3,31,0.0,8.8,80.0,28.2
217771,Hatiya,1985,4,1,0.0,9.6,78.0,28.7
217772,Hatiya,1985,4,2,0.0,8.2,78.0,28.9
217773,Hatiya,1985,4,3,0.0,6.55,82.0,28.3
217774,Hatiya,1985,4,4,0.0,6.9,77.0,29.3
217775,Hatiya,1985,4,5,0.0,6.0,71.0,29.8
217776,Hatiya,1985,4,6,0.0,8.0,74.0,29.3
217777,Hatiya,1985,4,7,0.0,7.0,70.0,29.6
217778,Hatiya,1985,4,8,0.0,5.8,83.0,25.0
217779,Hatiya,1985,4,9,65.0,6.1,77.0,28.6
217780,Hatiya,1985,4,10,0.0,8.35,81.0,28.9
217781,Hatiya,1985,4,11,0.0,0.5,84.0,29.1
217782,Hatiya,1985,4,12,0.0,8.6,80.0,29.2
217783,Hatiya,1985,4,13,0.0,5.4,76.0,29.1
217784,Hatiya,1985,4,14,0.0,8.4,74.0,29.5
217785,Hatiya,1985,4,15,0.0,3.0,80.0,29.2
217786,Hatiya,1985,4,16,0.0,6.0,79.0,27.5
217787,Hatiya,1985,4,17,23.0,8.0,80.0,26.5
217788,Hatiya,1985,4,18,12.0,10.2,80.0,27.7
217789,Hatiya,1985,4,19,0.0,10.5,82.0,27.2
217790,Hatiya,1985,4,20,2.0,7.0,79.0,28.3
217791,Hatiya,1985,4,21,0.0,7.6,79.0,28.5
217792,Hatiya,1985,4,22,0.0,7.7,77.0,29.0
217793,Hatiya,1985,4,23,0.0,9.9,75.0,29.8
217794,Hatiya,1985,4,24,0.0,10.5,75.0,29.8
217795,Hatiya,1985,4,25,0.0,8.1,76.0,29.5
217796,Hatiya,1985,4,26,0.0,10.6,78.0,30.0
217797,Hatiya,1985,4,27,0.0,1.3,78.0,27.0
217798,Hatiya,1985,4,28,21.0,4.2,78.0,26.0
217799,Hatiya,1985,4,29,0.0,9.1,75.0,27.7
217800,Hatiya,1985,4,30,0.0,0.7,84.0,24.2
217801,Hatiya,1985,5,1,29.0,7.5,84.0,24.5
217802,Hatiya,1985,5,2,22.0,10.8,84.0,25.6
217803,Hatiya,1985,5,3,34.0,6.5,75.0,28.3
217804,Hatiya,1985,5,4,0.0,4.5,82.0,27.4
217805,Hatiya,1985,5,5,17.0,2.5,74.0,25.5
217806,Hatiya,1985,5,6,27.0,10.3,79.0,26.0
217807,Hatiya,1985,5,7,14.0,2.0,74.0,28.0
217808,Hatiya,1985,5,8,0.0,11.3,79.0,27.8
217809,Hatiya,1985,5,9,0.0,7.5,80.0,28.0
217810,Hatiya,1985,5,10,0.0,2.4,78.0,27.6
217811,Hatiya,1985,5,11,0.0,1.2,82.0,27.3
217812,Hatiya,1985,5,12,0.0,7.5,79.0,26.1
217813,Hatiya,1985,5,13,13.0,9.0,77.0,27.7
217814,Hatiya,1985,5,14,0.0,2.2,76.0,29.7
217815,Hatiya,1985,5,15,0.0,9.0,83.0,26.1
217816,Hatiya,1985,5,16,11.0,8.5,77.0,28.7
217817,Hatiya,1985,5,17,0.0,10.2,78.0,29.2
217818,Hatiya,1985,5,18,0.0,9.4,77.0,29.6
217819,Hatiya,1985,5,19,0.0,0.0,76.0,29.3
217820,Hatiya,1985,5,20,0.0,2.5,76.0,28.9
217821,Hatiya,1985,5,21,0.0,4.5,78.0,27.5
217822,Hatiya,1985,5,22,7.0,0.4,78.0,28.9
217823,Hatiya,1985,5,23,2.0,0.7,76.0,28.1
217824,Hatiya,1985,5,24,1.0,0.0,76.0,27.3
217825,Hatiya,1985,5,25,106.0,0.1,88.0,26.7
217826,Hatiya,1985,5,26,17.0,0.0,86.0,27.4
217827,Hatiya,1985,5,27,19.0,3.4,83.0,29.2
217828,Hatiya,1985,5,28,0.0,4.2,83.0,29.3
217829,Hatiya,1985,5,29,0.0,0.0,81.0,29.1
217830,Hatiya,1985,5,30,0.0,0.0,78.0,29.2
217831,Hatiya,1985,5,31,0.0,0.0,79.0,29.3
217832,Hatiya,1985,6,1,0.0,7.3,82.0,28.7
217833,Hatiya,1985,6,2,1.0,2.8,85.0,28.7
217834,Hatiya,1985,6,3,2.0,0.7,84.0,28.0
217835,Hatiya,1985,6,4,26.0,0.6,83.0,28.3
217836,Hatiya,1985,6,5,47.0,0.0,91.0,26.6
217837,Hatiya,1985,6,6,105.0,0.1,91.0,26.6
217838,Hatiya,1985,6,7,38.0,1.59,82.0,28.2
217839,Hatiya,1985,6,8,0.0,5.3,82.0,29.3
217840,Hatiya,1985,6,9,0.0,2.0,88.0,27.2
217841,Hatiya,1985,6,10,72.0,0.0,91.0,25.3
217842,Hatiya,1985,6,11,38.0,0.0,86.0,28.2
217843,Hatiya,1985,6,12,0.0,3.5,81.0,28.8
217844,Hatiya,1985,6,13,0.0,4.9,80.0,28.3
217845,Hatiya,1985,6,14,7.0,1.5,80.0,27.8
217846,Hatiya,1985,6,15,24.0,0.0,88.0,26.7
217847,Hatiya,1985,6,16,69.0,0.0,90.0,27.4
217848,Hatiya,1985,6,17,17.0,0.0,90.0,29.2
217849,Hatiya,1985,6,18,0.0,0.9,83.0,28.6
217850,Hatiya,1985,6,19,0.0,0.2,84.0,27.9
217851,Hatiya,1985,6,20,0.0,2.8,84.0,28.6
217852,Hatiya,1985,6,21,0.0,1.7,86.0,29.0
217853,Hatiya,1985,6,22,0.0,0.0,81.0,29.9
217854,Hatiya,1985,6,23,0.0,0.4,79.0,29.7
217855,Hatiya,1985,6,24,0.0,1.8,81.0,29.1
217856,Hatiya,1985,6,25,2.0,1.59,87.0,27.9
217857,Hatiya,1985,6,26,44.0,1.59,91.0,26.7
217858,Hatiya,1985,6,27,53.0,1.59,91.0,27.1
217859,Hatiya,1985,6,28,9.0,1.59,92.0,26.5
217860,Hatiya,1985,6,29,113.0,1.59,91.0,26.3
217861,Hatiya,1985,6,30,36.0,1.59,87.0,27.2
217862,Hatiya,1985,7,1,6.0,0.5,93.0,26.2
217863,Hatiya,1985,7,2,23.0,1.5,90.0,27.2
217864,Hatiya,1985,7,3,3.0,0.2,91.0,26.6
217865,Hatiya,1985,7,4,0.0,2.7,90.0,27.4
217866,Hatiya,1985,7,5,18.0,2.9,93.0,26.9
217867,Hatiya,1985,7,6,15.0,1.2,94.0,26.5
217868,Hatiya,1985,7,7,86.0,0.0,92.0,27.1
217869,Hatiya,1985,7,8,36.0,0.0,96.0,26.4
217870,Hatiya,1985,7,9,28.0,0.0,91.0,26.1
217871,Hatiya,1985,7,10,15.0,4.0,90.0,26.3
217872,Hatiya,1985,7,11,17.0,0.0,83.0,27.5
217873,Hatiya,1985,7,12,26.0,1.2,85.0,27.0
217874,Hatiya,1985,7,13,0.0,2.5,86.0,27.0
217875,Hatiya,1985,7,14,27.0,1.8,85.0,27.4
217876,Hatiya,1985,7,15,14.0,2.0,86.0,27.4
217877,Hatiya,1985,7,16,12.0,2.2,87.0,26.7
217878,Hatiya,1985,7,17,16.0,0.3,85.0,26.8
217879,Hatiya,1985,7,18,43.0,7.9,88.0,26.9
217880,Hatiya,1985,7,19,4.0,6.0,84.0,27.4
217881,Hatiya,1985,7,20,0.0,4.4,83.0,27.5
217882,Hatiya,1985,7,21,45.0,2.0,90.0,26.4
217883,Hatiya,1985,7,22,24.0,3.6,86.0,26.7
217884,Hatiya,1985,7,23,26.0,0.0,93.0,25.5
217885,Hatiya,1985,7,24,67.0,0.0,90.0,26.1
217886,Hatiya,1985,7,25,56.0,0.0,92.0,25.6
217887,Hatiya,1985,7,26,69.0,2.7,87.0,27.1
217888,Hatiya,1985,7,27,8.0,1.5,86.0,27.3
217889,Hatiya,1985,7,28,12.0,2.4,87.0,27.7
217890,Hatiya,1985,7,29,3.0,4.0,84.0,28.6
217891,Hatiya,1985,7,30,0.0,5.9,82.0,28.8
217892,Hatiya,1985,7,31,0.0,6.2,80.0,29.0
217893,Hatiya,1985,8,1,9.0,6.1,82.0,28.3
217894,Hatiya,1985,8,2,3.0,0.3,87.0,27.0
217895,Hatiya,1985,8,3,12.0,1.1,88.0,27.1
217896,Hatiya,1985,8,4,105.0,6.8,87.0,27.6
217897,Hatiya,1985,8,5,3.0,7.3,83.0,28.1
217898,Hatiya,1985,8,6,4.0,2.5,89.0,26.8
217899,Hatiya,1985,8,7,20.0,0.0,89.0,26.9
217900,Hatiya,1985,8,8,40.0,0.6,87.0,27.1
217901,Hatiya,1985,8,9,23.0,6.0,85.0,28.1
217902,Hatiya,1985,8,10,3.0,3.1,84.0,29.4
217903,Hatiya,1985,8,11,0.0,7.0,84.0,29.3
217904,Hatiya,1985,8,12,2.0,4.5,87.0,28.7
217905,Hatiya,1985,8,13,4.0,8.5,83.0,29.0
217906,Hatiya,1985,8,14,1.0,5.2,84.0,28.7
217907,Hatiya,1985,8,15,3.0,6.3,84.0,28.6
217908,Hatiya,1985,8,16,0.0,3.5,84.0,29.0
217909,Hatiya,1985,8,17,4.0,3.2,83.0,28.8
217910,Hatiya,1985,8,18,4.0,1.3,88.0,27.5
