,Station,Year,Month,Day,Rainfall,Sunshine,Humidity,Temperature
231925,Ishurdi,1985,1,1,0.0,4.5,71.0,18.2
231926,Ishurdi,1985,1,2,0.0,6.6,74.0,18.1
231927,Ishurdi,1985,1,3,0.0,6.4,73.0,18.9
231928,Ishurdi,1985,1,4,0.0,6.1,79.0,16.9
231929,Ishurdi,1985,1,5,0.0,7.5,73.0,17.3
231930,Ishurdi,1985,1,6,0.0,3.0,77.0,18.4
231931,Ishurdi,1985,1,7,2.0,3.6,82.0,18.0
231932,Ishurdi,1985,1,8,0.0,4.5,76.0,18.2
231933,Ishurdi,1985,1,9,0.0,8.1,77.0,18.2
231934,Ishurdi,1985,1,10,0.0,9.4,71.0,16.6
231935,Ishurdi,1985,1,11,0.0,7.8,70.0,17.2
231936,Ishurdi,1985,1,12,0.0,9.3,70.0,16.8
231937,Ishurdi,1985,1,13,0.0,7.5,71.0,16.3
231938,Ishurdi,1985,1,14,0.0,7.9,67.0,16.4
231939,Ishurdi,1985,1,15,0.0,3.2,71.0,16.2
231940,Ishurdi,1985,1,16,0.0,4.5,74.0,16.4
231941,Ishurdi,1985,1,17,0.0,7.5,69.0,15.8
231942,Ishurdi,1985,1,18,0.0,7.9,72.0,16.2
231943,Ishurdi,1985,1,19,0.0,8.1,67.0,17.5
231944,Ishurdi,1985,1,20,0.0,8.8,75.0,16.3
231945,Ishurdi,1985,1,21,0.0,9.6,68.0,17.7
231946,Ishurdi,1985,1,22,0.0,6.6,66.0,18.3
231947,Ishurdi,1985,1,23,0.0,8.6,69.0,18.1
231948,Ishurdi,1985,1,24,0.0,9.4,68.0,17.7
231949,Ishurdi,1985,1,25,0.0,9.4,68.0,18.2
231950,Ishurdi,1985,1,26,0.0,9.5,66.0,18.5
231951,Ishurdi,1985,1,27,0.0,9.2,64.0,19.3
231952,Ishurdi,1985,1,28,0.0,8.5,65.0,20.6
231953,Ishurdi,1985,1,29,0.0,5.7,74.0,20.5
231954,Ishurdi,1985,1,30,0.0,7.9,72.0,21.3
231955,Ishurdi,1985,1,31,0.0,6.2,68.0,20.4
231956,Ishurdi,1985,2,1,0.0,1.2,71.0,19.1
231957,Ishurdi,1985,2,2,0.0,9.2,65.0,18.3
231958,Ishurdi,1985,2,3,0.0,8.0,59.0,17.8
231959,Ishurdi,1985,2,4,0.0,9.3,59.0,17.2
231960,Ishurdi,1985,2,5,0.0,8.9,58.0,20.9
231961,Ishurdi,1985,2,6,0.0,9.0,57.0,20.8
231962,Ishurdi,1985,2,7,0.0,9.9,61.0,17.2
231963,Ishurdi,1985,2,8,0.0,9.9,58.0,16.8
231964,Ishurdi,1985,2,9,0.0,9.5,53.0,18.2
231965,Ishurdi,1985,2,10,0.0,9.9,52.0,19.5
231966,Ishurdi,1985,2,11,0.0,9.0,58.0,18.8
231967,Ishurdi,1985,2,12,0.0,9.2,60.0,19.2
231968,Ishurdi,1985,2,13,0.0,8.4,64.0,19.8
231969,Ishurdi,1985,2,14,0.0,3.4,66.0,20.0
231970,Ishurdi,1985,2,15,0.0,6.2,82.0,18.3
231971,Ishurdi,1985,2,16,0.0,8.1,67.0,18.5
231972,Ishurdi,1985,2,17,0.0,7.05,58.0,18.4
231973,Ishurdi,1985,2,18,0.0,9.15,57.0,18.4
231974,Ishurdi,1985,2,19,0.0,9.3,49.0,20.0
231975,Ishurdi,1985,2,20,0.0,9.2,47.0,21.7
231976,Ishurdi,1985,2,21,0.0,8.0,52.0,21.4
231977,Ishurdi,1985,2,22,0.0,9.35,50.0,19.9
231978,Ishurdi,1985,2,23,0.0,8.0,51.0,20.1
231979,Ishurdi,1985,2,24,0.0,10.15,53.0,20.3
231980,Ishurdi,1985,2,25,0.0,9.35,48.0,21.3
231981,Ishurdi,1985,2,26,0.0,9.75,55.0,21.0
231982,Ishurdi,1985,2,27,0.0,6.65,51.0,21.8
231983,Ishurdi,1985,2,28,0.0,6.2,63.0,21.1
231984,Ishurdi,1985,3,1,0.0,6.3,59.0,23.5
231985,Ishurdi,1985,3,2,0.0,7.0,59.0,23.7
231986,Ishurdi,1985,3,3,0.0,9.0,47.0,24.3
