,Station,Year,Month,Day,Rainfall,Sunshine,Humidity,Temperature
246169,Jessore,1969,1,1,0.0,10.2,67.0,18.4
246170,Jessore,1969,1,2,0.0,10.0,69.0,17.9
246171,Jessore,1969,1,3,0.0,9.8,73.0,18.7
246172,Jessore,1969,1,4,0.0,10.1,66.0,17.7
246173,Jessore,1969,1,5,0.0,9.8,63.0,16.2
246174,Jessore,1969,1,6,0.0,10.3,60.0,15.7
246175,Jessore,1969,1,7,0.0,9.0,67.0,15.9
246176,Jessore,1969,1,8,0.0,10.0,71.0,16.3
246177,Jessore,1969,1,9,0.0,10.1,71.0,16.6
246178,Jessore,1969,1,10,0.0,9.8,70.0,18.2
246179,Jessore,1969,1,11,0.0,9.0,66.0,17.5
246180,Jessore,1969,1,12,0.0,10.2,59.0,16.3
246181,Jessore,1969,1,13,0.0,9.8,61.0,17.8
246182,Jessore,1969,1,14,0.0,7.5,68.0,18.1
246183,Jessore,1969,1,15,0.0,10.5,61.0,13.6
246184,Jessore,1969,1,16,0.0,10.3,66.0,14.2
246185,Jessore,1969,1,17,0.0,10.3,71.0,14.9
246186,Jessore,1969,1,18,0.0,9.6,67.0,16.0
246187,Jessore,1969,1,19,0.0,10.3,66.0,16.1
246188,Jessore,1969,1,20,0.0,10.3,65.0,17.0
246189,Jessore,1969,1,21,0.0,10.2,63.0,16.9
246190,Jessore,1969,1,22,0.0,9.1,60.0,17.7
246191,Jessore,1969,1,23,0.0,9.6,66.0,17.2
246192,Jessore,1969,1,24,0.0,9.7,62.0,16.6
246193,Jessore,1969,1,25,0.0,9.2,62.0,16.9
246194,Jessore,1969,1,26,0.0,8.9,63.0,18.6
246195,Jessore,1969,1,27,0.0,7.7,75.0,21.0
246196,Jessore,1969,1,28,0.0,9.7,70.0,23.6
246197,Jessore,1969,1,29,0.0,8.1,62.0,20.9
246198,Jessore,1969,1,30,0.0,9.6,51.0,18.1
246199,Jessore,1969,1,31,0.0,9.2,57.0,18.7
246200,Jessore,1969,2,1,0.0,7.6,69.0,20.4
246201,Jessore,1969,2,2,0.0,8.8,72.0,20.4
246202,Jessore,1969,2,3,0.0,9.0,63.0,20.4
246203,Jessore,1969,2,4,0.0,1.3,88.0,20.1
246204,Jessore,1969,2,5,1.0,7.5,83.0,22.6
246205,Jessore,1969,2,6,9.0,9.1,70.0,20.8
246206,Jessore,1969,2,7,0.0,10.1,59.0,19.2
246207,Jessore,1969,2,8,0.0,10.0,60.0,18.5
246208,Jessore,1969,2,9,0.0,10.2,56.0,17.8
246209,Jessore,1969,2,10,0.0,10.0,54.0,16.9
246210,Jessore,1969,2,11,0.0,10.0,52.0,19.6
246211,Jessore,1969,2,12,0.0,10.0,55.0,19.2
246212,Jessore,1969,2,13,0.0,6.7,67.0,19.4
246213,Jessore,1969,2,14,0.0,9.0,63.0,20.2
246214,Jessore,1969,2,15,0.0,10.2,68.0,21.7
246215,Jessore,1969,2,16,0.0,9.6,62.0,23.5
246216,Jessore,1969,2,17,0.0,10.2,58.0,24.7
246217,Jessore,1969,2,18,0.0,10.3,54.0,25.2
246218,Jessore,1969,2,19,0.0,9.1,44.0,21.6
246219,Jessore,1969,2,20,0.0,9.9,38.0,22.3
246220,Jessore,1969,2,21,0.0,10.1,48.0,19.5
246221,Jessore,1969,2,22,0.0,10.3,43.0,20.5
246222,Jessore,1969,2,23,0.0,9.9,49.0,21.4
246223,Jessore,1969,2,24,0.0,8.7,71.0,23.5
246224,Jessore,1969,2,25,0.0,7.2,66.0,26.0
246225,Jessore,1969,2,26,0.0,9.6,67.0,26.4
246226,Jessore,1969,2,27,0.0,9.5,56.0,27.6
246227,Jessore,1969,2,28,0.0,9.4,66.0,25.9
246228,Jessore,1969,3,1,8.0,3.5,72.0,23.9
246229,Jessore,1969,3,2,1.0,9.2,69.0,25.4
246230,Jessore,1969,3,3,0.0,9.5,60.0,25.4
246231,Jessore,1969,3,4,0.0,10.2,45.0,25.9
246232,Jessore,1969,3,5,0.0,9.3,49.0,24.8
246233,Jessore,1969,3,6,0.0,8.5,50.0,25.6
246234,Jessore,1969,3,7,0.0,9.3,57.0,27.6
246235,Jessore,1969,3,8,0.0,9.4,63.0,29.2
246236,Jessore,1969,3,9,0.0,7.8,58.0,28.8
246237,Jessore,1969,3,10,0.0,9.1,51.0,27.5
246238,Jessore,1969,3,11,0.0,9.2,56.0,27.8
246239,Jessore,1969,3,12,0.0,9.2,54.0,27.9
246240,Jessore,1969,3,13,0.0,10.0,57.0,28.2
246241,Jessore,1969,3,14,0.0,8.8,59.0,29.0
246242,Jessore,1969,3,15,0.0,9.1,67.0,29.3
246243,Jessore,1969,3,16,0.0,8.7,69.0,28.7
246244,Jessore,1969,3,17,0.0,7.6,71.0,26.6
246245,Jessore,1969,3,18,11.0,6.8,71.0,25.4
246246,Jessore,1969,3,19,2.0,8.2,76.0,25.9
246247,Jessore,1969,3,20,2.0,7.7,76.0,24.6
246248,Jessore,1969,3,21,0.0,4.6,78.0,22.9
246249,Jessore,1969,3,22,0.0,7.7,82.0,22.6
246250,Jessore,1969,3,23,15.0,9.6,71.0,25.6
246251,Jessore,1969,3,24,0.0,7.3,73.0,24.9
246252,Jessore,1969,3,25,5.0,6.9,78.0,25.5
246253,Jessore,1969,3,26,6.0,6.3,80.0,26.7
246254,Jessore,1969,3,27,0.0,8.0,73.0,28.0
246255,Jessore,1969,3,28,0.0,8.9,70.0,29.4
246256,Jessore,1969,3,29,0.0,8.7,53.0,29.6
246257,Jessore,1969,3,30,0.0,9.0,45.0,28.2
246258,Jessore,1969,3,31,0.0,9.1,37.0,27.4
246259,Jessore,1969,4,1,0.0,9.3,47.0,30.2
246260,Jessore,1969,4,2,0.0,8.6,50.0,29.7
246261,Jessore,1969,4,3,0.0,8.3,59.0,30.3
246262,Jessore,1969,4,4,0.0,8.6,60.0,29.4
246263,Jessore,1969,4,5,0.0,8.5,59.0,29.6
246264,Jessore,1969,4,6,0.0,8.6,62.0,30.4
246265,Jessore,1969,4,7,0.0,7.7,67.0,29.3
246266,Jessore,1969,4,8,0.0,7.3,54.0,28.7
246267,Jessore,1969,4,9,0.0,6.2,50.0,29.0
246268,Jessore,1969,4,10,0.0,7.1,63.0,28.1
246269,Jessore,1969,4,11,1.0,8.4,55.0,29.4
246270,Jessore,1969,4,12,0.0,8.3,66.0,30.5
246271,Jessore,1969,4,13,0.0,7.8,62.0,32.3
246272,Jessore,1969,4,14,0.0,7.7,66.0,31.7
246273,Jessore,1969,4,15,0.0,7.7,62.0,30.8
246274,Jessore,1969,4,16,0.0,9.2,65.0,31.2
246275,Jessore,1969,4,17,0.0,5.7,80.0,26.9
246276,Jessore,1969,4,18,66.0,5.4,76.0,26.0
246277,Jessore,1969,4,19,0.0,7.4,78.0,29.2
246278,Jessore,1969,4,20,0.0,9.9,76.0,29.5
246279,Jessore,1969,4,21,0.0,8.8,78.0,28.4
246280,Jessore,1969,4,22,3.0,10.8,71.0,27.9
246281,Jessore,1969,4,23,0.0,10.3,73.0,29.7
246282,Jessore,1969,4,24,0.0,9.8,68.0,30.4
246283,Jessore,1969,4,25,6.0,9.2,72.0,29.8
246284,Jessore,1969,4,26,0.0,9.9,63.0,30.7
246285,Jessore,1969,4,27,0.0,10.5,55.0,31.8
246286,Jessore,1969,4,28,0.0,10.5,63.0,31.4
246287,Jessore,1969,4,29,0.0,10.4,56.0,31.7
246288,Jessore,1969,4,30,1.0,0.3,80.0,24.4
246289,Jessore,1969,5,1,0.0,7.7,70.0,26.4
246290,Jessore,1969,5,2,12.0,3.8,82.0,24.5
246291,Jessore,1969,5,3,1.0,9.6,72.0,28.3
246292,Jessore,1969,5,4,0.0,5.9,87.0,25.6
246293,Jessore,1969,5,5,17.0,8.2,75.0,26.8
246294,Jessore,1969,5,6,0.0,8.8,74.0,27.2
246295,Jessore,1969,5,7,9.0,8.2,77.0,26.6
246296,Jessore,1969,5,8,9.0,10.3,70.0,27.0
246297,Jessore,1969,5,9,0.0,8.1,76.0,27.8
246298,Jessore,1969,5,10,1.0,6.7,83.0,26.1
246299,Jessore,1969,5,11,5.0,11.9,73.0,27.9
246300,Jessore,1969,5,12,0.0,10.0,76.0,28.9
246301,Jessore,1969,5,13,2.0,11.5,73.0,28.9
246302,Jessore,1969,5,14,0.0,11.3,72.0,30.2
246303,Jessore,1969,5,15,0.0,9.6,72.0,30.8
246304,Jessore,1969,5,16,0.0,12.2,70.0,31.0
246305,Jessore,1969,5,17,0.0,10.6,69.0,31.0
246306,Jessore,1969,5,18,0.0,12.0,62.0,31.9
246307,Jessore,1969,5,19,0.0,10.2,72.0,32.1
246308,Jessore,1969,5,20,0.0,11.2,75.0,30.4
246309,Jessore,1969,5,21,12.0,8.3,79.0,29.7
246310,Jessore,1969,5,22,16.0,11.5,68.0,31.0
246311,Jessore,1969,5,23,0.0,10.6,67.0,32.0
246312,Jessore,1969,5,24,0.0,10.8,61.0,32.2
246313,Jessore,1969,5,25,0.0,9.9,75.0,30.4
246314,Jessore,1969,5,26,0.0,10.3,70.0,31.9
246315,Jessore,1969,5,27,0.0,8.7,79.0,29.5
246316,Jessore,1969,5,28,8.0,7.2,80.0,29.6
246317,Jessore,1969,5,29,0.0,9.5,74.0,30.2
246318,Jessore,1969,5,30,2.0,10.8,66.0,30.7
246319,Jessore,1969,5,31,0.0,8.5,70.0,30.9
246320,Jessore,1969,6,1,6.0,4.4,78.0,29.2
246321,Jessore,1969,6,2,0.0,10.2,78.0,30.1
246322,Jessore,1969,6,3,1.0,5.3,85.0,28.4
246323,Jessore,1969,6,4,13.0,2.8,93.0,26.9
246324,Jessore,1969,6,5,19.0,2.4,85.0,28.7
246325,Jessore,1969,6,6,34.0,0.9,97.0,27.7
246326,Jessore,1969,6,7,23.0,0.0,95.0,26.3
246327,Jessore,1969,6,8,18.0,3.0,88.0,29.4
246328,Jessore,1969,6,9,0.0,0.8,80.0,30.2
246329,Jessore,1969,6,10,0.0,5.7,75.0,30.0
246330,Jessore,1969,6,11,0.0,5.8,80.0,31.1
246331,Jessore,1969,6,12,0.0,2.8,81.0,30.6
246332,Jessore,1969,6,13,35.0,6.1,84.0,29.7
246333,Jessore,1969,6,14,0.0,10.7,78.0,30.7
246334,Jessore,1969,6,15,0.0,8.2,84.0,29.3
246335,Jessore,1969,6,16,0.0,5.6,82.0,28.5
246336,Jessore,1969,6,17,16.0,8.2,81.0,29.7
246337,Jessore,1969,6,18,0.0,0.7,92.0,27.7
246338,Jessore,1969,6,19,42.0,0.1,95.0,27.1
246339,Jessore,1969,6,20,2.0,3.2,96.0,27.0
246340,Jessore,1969,6,21,17.0,0.0,87.0,28.1
246341,Jessore,1969,6,22,0.0,3.5,80.0,30.1
246342,Jessore,1969,6,23,3.0,4.4,82.0,30.4
246343,Jessore,1969,6,24,0.0,6.0,85.0,29.0
246344,Jessore,1969,6,25,0.0,7.5,82.0,29.8
246345,Jessore,1969,6,26,17.0,9.2,83.0,29.2
246346,Jessore,1969,6,27,0.0,10.8,78.0,29.9
246347,Jessore,1969,6,28,1.0,7.5,82.0,29.1
246348,Jessore,1969,6,29,6.0,1.1,93.0,27.6
246349,Jessore,1969,6,30,0.0,3.8,90.0,28.1
246350,Jessore,1969,7,1,8.0,0.0,91.0,28.0
246351,Jessore,1969,7,2,0.0,10.1,84.0,29.5
246352,Jessore,1969,7,3,2.0,6.3,86.0,28.6
246353,Jessore,1969,7,4,12.0,2.5,91.0,27.6
246354,Jessore,1969,7,5,14.0,1.5,94.0,27.3
246355,Jessore,1969,7,6,3.0,5.2,90.0,28.3
246356,Jessore,1969,7,7,7.0,7.8,86.0,29.1
246357,Jessore,1969,7,8,2.0,3.3,92.0,28.2
246358,Jessore,1969,7,9,28.0,0.0,95.0,27.0
246359,Jessore,1969,7,10,38.0,0.0,96.0,26.9
246360,Jessore,1969,7,11,55.0,8.8,90.0,28.4
246361,Jessore,1969,7,12,4.0,9.7,84.0,28.5
246362,Jessore,1969,7,13,4.0,0.4,88.0,28.5
246363,Jessore,1969,7,14,0.0,7.2,85.0,28.1
246364,Jessore,1969,7,15,3.0,6.6,88.0,28.4
246365,Jessore,1969,7,16,4.0,1.2,90.0,28.3
246366,Jessore,1969,7,17,30.0,0.0,95.0,26.5
246367,Jessore,1969,7,18,41.0,0.7,93.0,27.0
246368,Jessore,1969,7,19,17.0,3.0,89.0,27.3
246369,Jessore,1969,7,20,1.0,4.1,90.0,28.2
246370,Jessore,1969,7,21,2.0,9.3,87.0,28.5
