,Station,Year,Month,Day,Rainfall,Sunshine,Humidity,Temperature
266257,Khepupara,1988,1,1,0.0,6.3,88.0,19.1
266258,Khepupara,1988,1,2,0.0,8.1,89.0,19.6
266259,Khepupara,1988,1,3,0.0,7.25,91.0,19.6
266260,Khepupara,1988,1,4,0.0,7.15,90.0,20.6
266261,Khepupara,1988,1,5,0.0,7.75,92.0,20.5
266262,Khepupara,1988,1,6,0.0,8.3,92.0,20.7
266263,Khepupara,1988,1,7,0.0,8.05,90.0,20.6
266264,Khepupara,1988,1,8,0.0,7.2,90.0,20.1
266265,Khepupara,1988,1,9,0.0,7.2,88.0,19.1
266266,Khepupara,1988,1,10,0.0,7.3,88.0,19.5
266267,Khepupara,1988,1,11,0.0,8.4,90.0,19.6
266268,Khepupara,1988,1,12,0.0,7.95,89.0,20.4
266269,Khepupara,1988,1,13,0.0,8.55,89.0,20.1
266270,Khepupara,1988,1,14,0.0,7.2,92.0,21.1
266271,Khepupara,1988,1,15,0.0,6.9,93.0,21.2
266272,Khepupara,1988,1,16,0.0,8.45,91.0,21.6
266273,Khepupara,1988,1,17,0.0,3.9,92.0,19.7
266274,Khepupara,1988,1,18,0.0,7.15,89.0,18.7
266275,Khepupara,1988,1,19,0.0,6.3,91.0,18.9
266276,Khepupara,1988,1,20,0.0,6.45,90.0,18.8
266277,Khepupara,1988,1,21,0.0,6.8,92.0,18.3
266278,Khepupara,1988,1,22,0.0,8.75,91.0,19.1
266279,Khepupara,1988,1,23,0.0,8.65,91.0,21.3
266280,Khepupara,1988,1,24,0.0,8.45,91.0,20.9
266281,Khepupara,1988,1,25,0.0,8.15,93.0,22.4
266282,Khepupara,1988,1,26,0.0,8.6,91.0,19.4
266283,Khepupara,1988,1,27,0.0,7.5,87.0,16.9
266284,Khepupara,1988,1,28,0.0,5.2,89.0,17.8
266285,Khepupara,1988,1,29,0.0,7.75,90.0,18.4
266286,Khepupara,1988,1,30,0.0,8.35,92.0,18.6
266287,Khepupara,1988,1,31,0.0,8.9,80.0,19.9
266288,Khepupara,1988,2,1,0.0,8.6,69.0,19.4
266289,Khepupara,1988,2,2,0.0,8.15,65.0,19.8
266290,Khepupara,1988,2,3,0.0,7.9,68.0,19.8
266291,Khepupara,1988,2,4,0.0,8.45,73.0,20.0
266292,Khepupara,1988,2,5,0.0,8.7,76.0,21.6
266293,Khepupara,1988,2,6,0.0,8.35,77.0,21.7
266294,Khepupara,1988,2,7,0.0,7.55,78.0,21.6
266295,Khepupara,1988,2,8,0.0,6.95,81.0,21.7
266296,Khepupara,1988,2,9,0.0,7.65,86.0,22.0
266297,Khepupara,1988,2,10,0.0,8.15,83.0,22.6
266298,Khepupara,1988,2,11,0.0,8.55,87.0,22.7
266299,Khepupara,1988,2,12,0.0,8.0,87.0,23.2
266300,Khepupara,1988,2,13,0.0,8.5,89.0,23.7
266301,Khepupara,1988,2,14,0.0,8.55,87.0,24.0
266302,Khepupara,1988,2,15,0.0,8.45,87.0,23.4
266303,Khepupara,1988,2,16,0.0,5.0,90.0,24.3
266304,Khepupara,1988,2,17,2.0,6.15,91.0,23.9
266305,Khepupara,1988,2,18,0.0,6.2,81.0,23.1
266306,Khepupara,1988,2,19,0.0,7.65,80.0,22.4
266307,Khepupara,1988,2,20,0.0,5.95,81.0,23.0
266308,Khepupara,1988,2,21,0.0,5.75,80.0,23.1
266309,Khepupara,1988,2,22,0.0,6.85,84.0,24.4
266310,Khepupara,1988,2,23,0.0,6.95,90.0,24.8
266311,Khepupara,1988,2,24,21.0,7.6,93.0,22.6
266312,Khepupara,1988,2,25,56.0,4.5,88.0,25.2
266313,Khepupara,1988,2,26,0.0,5.5,84.0,24.2
266314,Khepupara,1988,2,27,0.0,6.3,85.0,24.5
266315,Khepupara,1988,2,28,0.0,5.1,85.0,25.4
266316,Khepupara,1988,2,29,0.0,6.97,86.0,26.6
266317,Khepupara,1988,3,1,0.0,7.3,90.0,26.2
266318,Khepupara,1988,3,2,4.0,6.94,88.0,24.4
266319,Khepupara,1988,3,3,0.0,8.7,83.0,24.8
266320,Khepupara,1988,3,4,0.0,5.1,83.0,25.1
266321,Khepupara,1988,3,5,0.0,5.0,84.0,24.9
266322,Khepupara,1988,3,6,0.0,5.75,87.0,26.0
266323,Khepupara,1988,3,7,0.0,6.85,88.0,26.8
266324,Khepupara,1988,3,8,0.0,7.5,89.0,26.2
266325,Khepupara,1988,3,9,0.0,8.0,90.0,26.2
266326,Khepupara,1988,3,10,0.0,7.35,91.0,26.7
266327,Khepupara,1988,3,11,0.0,3.25,88.0,27.0
266328,Khepupara,1988,3,12,0.0,6.6,83.0,26.3
