,Station,Year,Month,Day,Rainfall,Sunshine,Humidity,Temperature
279406,Khulna,1984,1,1,0.0,8.13,82.0,15.4
279407,Khulna,1984,1,2,0.0,8.13,83.0,17.5
279408,Khulna,1984,1,3,0.0,8.13,88.0,17.2
279409,Khulna,1984,1,4,0.0,8.13,82.0,17.1
279410,Khulna,1984,1,5,0.0,8.13,80.0,17.1
279411,Khulna,1984,1,6,0.0,8.3,79.0,16.8
279412,Khulna,1984,1,7,0.0,4.6,77.0,17.8
279413,Khulna,1984,1,8,0.0,6.8,73.0,17.2
279414,Khulna,1984,1,9,0.0,2.5,73.0,17.8
279415,Khulna,1984,1,10,0.0,9.3,76.0,16.6
279416,Khulna,1984,1,11,0.0,8.7,73.0,17.5
279417,Khulna,1984,1,12,0.0,8.4,78.0,17.7
279418,Khulna,1984,1,13,0.0,6.7,78.0,17.8
279419,Khulna,1984,1,14,0.0,8.2,88.0,18.1
279420,Khulna,1984,1,15,0.0,8.3,87.0,18.2
279421,Khulna,1984,1,16,0.0,4.2,84.0,18.5
279422,Khulna,1984,1,17,6.0,8.3,85.0,16.0
279423,Khulna,1984,1,18,0.0,8.0,78.0,14.4
279424,Khulna,1984,1,19,0.0,9.4,78.0,16.4
279425,Khulna,1984,1,20,0.0,9.3,83.0,18.9
279426,Khulna,1984,1,21,0.0,9.4,76.0,17.9
279427,Khulna,1984,1,22,0.0,9.3,76.0,18.7
279428,Khulna,1984,1,23,2.0,9.1,94.0,17.4
279429,Khulna,1984,1,24,24.0,9.7,86.0,17.3
279430,Khulna,1984,1,25,0.0,9.6,80.0,16.9
279431,Khulna,1984,1,26,0.0,9.4,77.0,18.2
279432,Khulna,1984,1,27,0.0,9.7,79.0,18.7
279433,Khulna,1984,1,28,0.0,9.2,83.0,19.3
279434,Khulna,1984,1,29,0.0,8.1,83.0,19.7
279435,Khulna,1984,1,30,0.0,9.3,78.0,18.4
279436,Khulna,1984,1,31,0.0,7.5,75.0,16.5
279437,Khulna,1984,2,1,0.0,8.65,78.0,17.4
279438,Khulna,1984,2,2,0.0,8.65,79.0,20.2
279439,Khulna,1984,2,3,0.0,8.65,81.0,22.0
279440,Khulna,1984,2,4,0.0,8.65,82.0,21.1
279441,Khulna,1984,2,5,0.0,8.65,74.0,19.6
279442,Khulna,1984,2,6,0.0,8.65,82.0,17.8
279443,Khulna,1984,2,7,0.0,8.65,85.0,17.3
279444,Khulna,1984,2,8,0.0,8.65,86.0,16.2
279445,Khulna,1984,2,9,1.0,8.65,79.0,18.1
279446,Khulna,1984,2,10,0.0,9.1,79.0,18.5
279447,Khulna,1984,2,11,0.0,9.9,78.0,19.8
279448,Khulna,1984,2,12,0.0,6.0,74.0,21.1
279449,Khulna,1984,2,13,0.0,9.4,73.0,22.1
279450,Khulna,1984,2,14,0.0,9.2,78.0,18.8
279451,Khulna,1984,2,15,0.0,0.0,86.0,17.9
279452,Khulna,1984,2,16,0.0,0.0,77.0,19.4
279453,Khulna,1984,2,17,0.0,9.9,74.0,21.0
279454,Khulna,1984,2,18,0.0,9.6,77.0,22.3
279455,Khulna,1984,2,19,0.0,9.1,76.0,23.3
279456,Khulna,1984,2,20,0.0,10.0,77.0,23.7
279457,Khulna,1984,2,21,0.0,10.2,83.0,23.4
279458,Khulna,1984,2,22,0.0,9.6,81.0,23.7
279459,Khulna,1984,2,23,0.0,10.1,65.0,19.0
279460,Khulna,1984,2,24,0.0,10.1,64.0,18.1
279461,Khulna,1984,2,25,0.0,10.6,60.0,17.7
279462,Khulna,1984,2,26,0.0,10.3,72.0,17.4
279463,Khulna,1984,2,27,0.0,10.0,71.0,18.1
279464,Khulna,1984,2,28,0.0,10.0,66.0,19.4
279465,Khulna,1984,2,29,0.0,9.9,68.0,20.0
279466,Khulna,1984,3,1,0.0,9.9,67.0,20.3
279467,Khulna,1984,3,2,0.0,9.6,73.0,21.5
279468,Khulna,1984,3,3,0.0,10.3,71.0,21.2
279469,Khulna,1984,3,4,0.0,10.3,71.0,21.7
