,Station,Year,Month,Day,Rainfall,Sunshine,Humidity,Temperature
294016,Kutubdia,1985,1,1,0.0,1.7,71.0,19.3
294017,Kutubdia,1985,1,2,0.0,0.0,86.0,18.1
294018,Kutubdia,1985,1,3,0.0,10.7,77.0,20.9
294019,Kutubdia,1985,1,4,0.0,9.3,69.0,21.7
294020,Kutubdia,1985,1,5,0.0,9.5,62.0,21.3
294021,Kutubdia,1985,1,6,0.0,8.0,72.0,20.9
294022,Kutubdia,1985,1,7,0.0,9.2,74.0,20.5
294023,Kutubdia,1985,1,8,0.0,8.6,78.0,22.3
294024,Kutubdia,1985,1,9,0.0,8.6,80.0,21.9
294025,Kutubdia,1985,1,10,0.0,9.1,75.0,21.1
294026,Kutubdia,1985,1,11,0.0,9.2,72.0,20.5
294027,Kutubdia,1985,1,12,0.0,7.4,67.0,20.1
294028,Kutubdia,1985,1,13,0.0,6.4,68.0,19.7
294029,Kutubdia,1985,1,14,0.0,2.9,60.0,20.4
294030,Kutubdia,1985,1,15,0.0,8.9,62.0,20.8
294031,Kutubdia,1985,1,16,0.0,4.5,63.0,20.2
294032,Kutubdia,1985,1,17,0.0,9.5,71.0,19.1
294033,Kutubdia,1985,1,18,0.0,9.4,78.0,19.0
294034,Kutubdia,1985,1,19,0.0,9.8,71.0,19.1
294035,Kutubdia,1985,1,20,0.0,9.8,74.0,19.7
294036,Kutubdia,1985,1,21,0.0,10.0,80.0,20.0
294037,Kutubdia,1985,1,22,0.0,10.0,76.0,20.2
294038,Kutubdia,1985,1,23,0.0,9.1,76.0,19.9
294039,Kutubdia,1985,1,24,0.0,9.5,72.0,20.5
294040,Kutubdia,1985,1,25,0.0,10.0,69.0,20.7
294041,Kutubdia,1985,1,26,0.0,10.0,73.0,20.3
294042,Kutubdia,1985,1,27,0.0,10.0,80.0,20.0
294043,Kutubdia,1985,1,28,0.0,10.0,72.0,20.4
294044,Kutubdia,1985,1,29,0.0,10.0,77.0,19.6
294045,Kutubdia,1985,1,30,0.0,10.0,71.0,22.0
294046,Kutubdia,1985,1,31,0.0,10.0,75.0,22.7
294047,Kutubdia,1985,2,1,0.0,8.2,75.0,22.6
294048,Kutubdia,1985,2,2,0.0,9.0,76.0,21.7
294049,Kutubdia,1985,2,3,0.0,9.7,63.0,21.7
294050,Kutubdia,1985,2,4,0.0,9.3,70.0,22.0
294051,Kutubdia,1985,2,5,0.0,9.3,75.0,22.2
294052,Kutubdia,1985,2,6,0.0,2.7,78.0,21.8
294053,Kutubdia,1985,2,7,0.0,9.7,77.0,22.1
294054,Kutubdia,1985,2,8,0.0,10.0,62.0,20.7
294055,Kutubdia,1985,2,9,0.0,10.0,67.0,21.2
294056,Kutubdia,1985,2,10,0.0,10.0,70.0,21.2
294057,Kutubdia,1985,2,11,0.0,8.29,69.0,21.3
294058,Kutubdia,1985,2,12,0.0,10.0,61.0,22.7
294059,Kutubdia,1985,2,13,0.0,5.9,52.0,23.3
294060,Kutubdia,1985,2,14,0.0,0.0,51.0,23.3
294061,Kutubdia,1985,2,15,0.0,0.0,74.0,21.1
294062,Kutubdia,1985,2,16,0.0,2.1,84.0,19.6
294063,Kutubdia,1985,2,17,0.0,10.0,74.0,20.2
294064,Kutubdia,1985,2,18,0.0,10.0,68.0,21.0
294065,Kutubdia,1985,2,19,0.0,10.0,74.0,21.4
294066,Kutubdia,1985,2,20,0.0,10.0,79.0,20.8
294067,Kutubdia,1985,2,21,0.0,10.0,81.0,21.6
294068,Kutubdia,1985,2,22,0.0,10.0,74.0,22.8
294069,Kutubdia,1985,2,23,0.0,10.0,77.0,22.0
294070,Kutubdia,1985,2,24,0.0,10.0,74.0,22.2
294071,Kutubdia,1985,2,25,0.0,8.5,74.0,23.0
294072,Kutubdia,1985,2,26,0.0,10.0,77.0,23.0
294073,Kutubdia,1985,2,27,0.0,10.0,84.0,22.7
294074,Kutubdia,1985,2,28,0.0,9.4,80.0,23.9
294075,Kutubdia,1985,3,1,0.0,9.4,83.0,24.4
294076,Kutubdia,1985,3,2,0.0,9.6,81.0,24.7
294077,Kutubdia,1985,3,3,0.0,10.0,83.0,25.0
294078,Kutubdia,1985,3,4,0.0,10.0,79.0,24.8
294079,Kutubdia,1985,3,5,0.0,10.0,83.0,24.3
294080,Kutubdia,1985,3,6,0.0,10.0,82.0,24.7
294081,Kutubdia,1985,3,7,0.0,8.5,82.0,24.9
294082,Kutubdia,1985,3,8,0.0,10.0,84.0,24.7
294083,Kutubdia,1985,3,9,0.0,10.7,84.0,25.1
294084,Kutubdia,1985,3,10,0.0,10.3,85.0,25.3
294085,Kutubdia,1985,3,11,0.0,9.3,86.0,25.3
294086,Kutubdia,1985,3,12,0.0,10.0,84.0,25.7
294087,Kutubdia,1985,3,13,0.0,9.0,86.0,25.6
294088,Kutubdia,1985,3,14,0.0,8.6,83.0,25.9
294089,Kutubdia,1985,3,15,0.0,9.7,84.0,25.9
294090,Kutubdia,1985,3,16,0.0,9.0,83.0,25.8
294091,Kutubdia,1985,3,17,0.0,10.0,79.0,25.7
294092,Kutubdia,1985,3,18,0.0,8.9,79.0,26.3
294093,Kutubdia,1985,3,19,0.0,7.3,80.0,26.7
294094,Kutubdia,1985,3,20,0.0,8.7,83.0,26.7
294095,Kutubdia,1985,3,21,0.0,7.7,83.0,26.3
294096,Kutubdia,1985,3,22,0.0,9.8,82.0,26.4
294097,Kutubdia,1985,3,23,0.0,10.0,80.0,26.4
294098,Kutubdia,1985,3,24,5.0,9.3,81.0,25.6
294099,Kutubdia,1985,3,25,19.0,7.8,80.0,24.4
294100,Kutubdia,1985,3,26,7.0,9.5,75.0,25.2
294101,Kutubdia,1985,3,27,0.0,11.1,77.0,26.2
294102,Kutubdia,1985,3,28,0.0,10.8,85.0,26.9
294103,Kutubdia,1985,3,29,0.0,9.4,85.0,26.9
294104,Kutubdia,1985,3,30,0.0,10.0,84.0,27.2
294105,Kutubdia,1985,3,31,0.0,8.9,83.0,27.9
294106,Kutubdia,1985,4,1,0.0,10.0,80.0,28.0
294107,Kutubdia,1985,4,2,0.0,9.6,80.0,28.1
294108,Kutubdia,1985,4,3,0.0,9.9,81.0,27.8
294109,Kutubdia,1985,4,4,0.0,10.8,83.0,27.9
294110,Kutubdia,1985,4,5,0.0,10.6,86.0,28.5
294111,Kutubdia,1985,4,6,0.0,9.8,85.0,28.3
294112,Kutubdia,1985,4,7,0.0,10.3,80.0,28.5
294113,Kutubdia,1985,4,8,23.0,5.0,88.0,23.1
294114,Kutubdia,1985,4,9,0.0,9.5,83.0,27.2
294115,Kutubdia,1985,4,10,0.0,8.3,84.0,28.5
294116,Kutubdia,1985,4,11,0.0,6.6,85.0,28.6
294117,Kutubdia,1985,4,12,0.0,9.1,83.0,28.8
294118,Kutubdia,1985,4,13,0.0,11.0,83.0,28.4
294119,Kutubdia,1985,4,14,0.0,10.8,82.0,28.5
294120,Kutubdia,1985,4,15,0.0,8.6,81.0,28.8
294121,Kutubdia,1985,4,16,0.0,6.2,80.0,27.4
294122,Kutubdia,1985,4,17,66.0,6.1,84.0,24.9
294123,Kutubdia,1985,4,18,0.0,11.3,80.0,27.3
294124,Kutubdia,1985,4,19,0.0,10.7,81.0,28.4
294125,Kutubdia,1985,4,20,0.0,11.2,78.0,29.1
294126,Kutubdia,1985,4,21,0.0,11.2,79.0,28.9
294127,Kutubdia,1985,4,22,0.0,10.4,79.0,29.0
294128,Kutubdia,1985,4,23,0.0,10.9,75.0,29.5
294129,Kutubdia,1985,4,24,0.0,10.4,81.0,29.1
294130,Kutubdia,1985,4,25,0.0,9.6,81.0,29.4
294131,Kutubdia,1985,4,26,0.0,10.9,80.0,29.3
294132,Kutubdia,1985,4,27,16.0,11.0,81.0,27.5
294133,Kutubdia,1985,4,28,0.0,8.4,78.0,27.3
294134,Kutubdia,1985,4,29,0.0,9.7,81.0,28.0
294135,Kutubdia,1985,4,30,94.0,0.0,88.0,21.9
294136,Kutubdia,1985,5,1,0.0,6.7,80.0,25.6
294137,Kutubdia,1985,5,2,11.0,7.3,79.0,24.7
294138,Kutubdia,1985,5,3,0.0,11.7,75.0,27.0
294139,Kutubdia,1985,5,4,42.0,10.7,82.0,28.2
294140,Kutubdia,1985,5,5,62.0,5.3,83.0,24.4
294141,Kutubdia,1985,5,6,22.0,8.3,82.0,25.2
294142,Kutubdia,1985,5,7,0.0,10.2,79.0,27.5
294143,Kutubdia,1985,5,8,0.0,9.1,83.0,27.8
294144,Kutubdia,1985,5,9,0.0,10.4,79.0,28.1
294145,Kutubdia,1985,5,10,0.0,9.0,78.0,28.5
294146,Kutubdia,1985,5,11,0.0,4.4,79.0,27.8
294147,Kutubdia,1985,5,12,0.0,9.55,82.0,27.3
294148,Kutubdia,1985,5,13,0.0,5.95,80.0,28.6
294149,Kutubdia,1985,5,14,0.0,5.75,82.0,29.1
294150,Kutubdia,1985,5,15,92.0,8.06,85.0,26.6
294151,Kutubdia,1985,5,16,0.0,8.95,79.0,28.6
294152,Kutubdia,1985,5,17,0.0,9.25,83.0,29.8
294153,Kutubdia,1985,5,18,0.0,5.5,81.0,29.2
294154,Kutubdia,1985,5,19,8.0,3.3,77.0,29.3
294155,Kutubdia,1985,5,20,0.0,8.2,81.0,28.1
294156,Kutubdia,1985,5,21,0.0,10.6,83.0,27.2
294157,Kutubdia,1985,5,22,12.0,9.4,77.0,28.9
294158,Kutubdia,1985,5,23,90.0,9.4,86.0,27.5
294159,Kutubdia,1985,5,24,60.0,9.5,78.0,27.8
294160,Kutubdia,1985,5,25,0.0,9.0,85.0,27.6
294161,Kutubdia,1985,5,26,0.0,9.3,91.0,26.4
294162,Kutubdia,1985,5,27,0.0,9.7,88.0,28.1
294163,Kutubdia,1985,5,28,0.0,8.4,87.0,28.8
294164,Kutubdia,1985,5,29,0.0,10.6,84.0,29.1
294165,Kutubdia,1985,5,30,0.0,8.06,83.0,29.4
294166,Kutubdia,1985,5,31,0.0,5.9,82.0,29.0
294167,Kutubdia,1985,6,1,0.0,0.7,81.0,28.8
294168,Kutubdia,1985,6,2,5.0,0.3,84.0,29.0
294169,Kutubdia,1985,6,3,0.0,10.2,88.0,27.6
294170,Kutubdia,1985,6,4,14.0,10.1,89.0,27.5
294171,Kutubdia,1985,6,5,27.0,4.2,92.0,26.5
294172,Kutubdia,1985,6,6,30.0,10.2,92.0,26.8
294173,Kutubdia,1985,6,7,18.0,10.2,89.0,26.8
294174,Kutubdia,1985,6,8,50.0,8.4,88.0,28.4
294175,Kutubdia,1985,6,9,0.0,5.2,85.0,27.8
294176,Kutubdia,1985,6,10,0.0,9.5,86.0,26.5
294177,Kutubdia,1985,6,11,0.0,3.7,84.0,28.9
294178,Kutubdia,1985,6,12,0.0,10.7,85.0,28.7
294179,Kutubdia,1985,6,13,0.0,1.6,85.0,28.1
294180,Kutubdia,1985,6,14,0.0,5.6,92.0,26.5
294181,Kutubdia,1985,6,15,9.0,5.49,93.0,26.1
294182,Kutubdia,1985,6,16,54.0,5.49,90.0,26.6
294183,Kutubdia,1985,6,17,26.0,5.49,89.0,28.8
294184,Kutubdia,1985,6,18,0.0,5.49,85.0,28.3
294185,Kutubdia,1985,6,19,0.0,5.49,83.0,27.6
294186,Kutubdia,1985,6,20,0.0,5.49,82.0,28.6
294187,Kutubdia,1985,6,21,0.0,5.49,80.0,29.3
294188,Kutubdia,1985,6,22,0.0,0.0,83.0,29.0
294189,Kutubdia,1985,6,23,3.0,5.49,87.0,28.3
294190,Kutubdia,1985,6,24,20.0,1.3,83.0,28.6
294191,Kutubdia,1985,6,25,0.0,0.0,89.0,27.3
294192,Kutubdia,1985,6,26,13.0,3.1,90.0,26.9
294193,Kutubdia,1985,6,27,25.0,6.9,89.0,26.9
294194,Kutubdia,1985,6,28,10.0,5.49,89.0,26.9
294195,Kutubdia,1985,6,29,89.0,5.1,93.0,25.9
294196,Kutubdia,1985,6,30,28.0,8.2,96.0,26.4
294197,Kutubdia,1985,7,1,61.0,10.0,93.0,26.0
294198,Kutubdia,1985,7,2,16.0,4.8,90.0,26.3
294199,Kutubdia,1985,7,3,0.0,0.0,88.0,25.8
294200,Kutubdia,1985,7,4,0.0,5.5,83.0,27.7
294201,Kutubdia,1985,7,5,34.0,5.4,89.0,26.1
294202,Kutubdia,1985,7,6,98.0,3.3,90.0,25.8
294203,Kutubdia,1985,7,7,16.0,4.7,91.0,27.0
294204,Kutubdia,1985,7,8,172.0,3.9,96.0,26.1
294205,Kutubdia,1985,7,9,98.0,8.0,92.0,25.9
294206,Kutubdia,1985,7,10,6.0,0.0,90.0,26.1
294207,Kutubdia,1985,7,11,0.0,5.4,82.0,27.5
294208,Kutubdia,1985,7,12,0.0,0.2,85.0,27.1
294209,Kutubdia,1985,7,13,17.0,0.0,89.0,26.4
294210,Kutubdia,1985,7,14,36.0,0.0,89.0,26.3
294211,Kutubdia,1985,7,15,12.0,0.8,92.0,25.4
294212,Kutubdia,1985,7,16,15.0,11.1,85.0,27.3
294213,Kutubdia,1985,7,17,11.0,3.8,84.0,27.7
294214,Kutubdia,1985,7,18,8.0,4.5,89.0,26.9
294215,Kutubdia,1985,7,19,22.0,6.1,92.0,26.4
294216,Kutubdia,1985,7,20,17.0,9.7,86.0,27.0
294217,Kutubdia,1985,7,21,45.0,6.7,92.0,25.3
