,Station,Year,Month,Day,Rainfall,Sunshine,Humidity,Temperature
308260,Madaripur,1985,1,1,2.0,0.3,79.0,17.4
308261,Madaripur,1985,1,2,0.0,1.4,79.0,19.1
308262,Madaripur,1985,1,3,0.0,7.4,69.0,20.6
308263,Madaripur,1985,1,4,0.0,8.3,74.0,21.2
308264,Madaripur,1985,1,5,0.0,8.3,71.0,20.2
308265,Madaripur,1985,1,6,0.0,7.7,71.0,20.1
308266,Madaripur,1985,1,7,0.0,4.9,78.0,21.5
308267,Madaripur,1985,1,8,0.0,6.1,71.0,22.0
308268,Madaripur,1985,1,9,0.0,3.8,84.0,21.8
308269,Madaripur,1985,1,10,0.0,9.3,65.0,20.3
308270,Madaripur,1985,1,11,0.0,8.7,64.0,20.3
308271,Madaripur,1985,1,12,0.0,7.5,72.0,18.6
308272,Madaripur,1985,1,13,0.0,4.2,59.0,20.2
308273,Madaripur,1985,1,14,0.0,7.3,62.0,19.6
308274,Madaripur,1985,1,15,0.0,7.8,71.0,19.3
308275,Madaripur,1985,1,16,0.0,2.5,77.0,18.3
308276,Madaripur,1985,1,17,0.0,8.6,69.0,19.7
308277,Madaripur,1985,1,18,0.0,6.8,67.0,19.8
308278,Madaripur,1985,1,19,0.0,9.4,67.0,20.4
308279,Madaripur,1985,1,20,0.0,9.3,66.0,20.8
308280,Madaripur,1985,1,21,0.0,9.6,66.0,22.7
308281,Madaripur,1985,1,22,0.0,9.6,61.0,22.2
308282,Madaripur,1985,1,23,0.0,9.2,64.0,22.1
308283,Madaripur,1985,1,24,0.0,9.4,64.0,21.3
308284,Madaripur,1985,1,25,0.0,9.8,63.0,21.6
308285,Madaripur,1985,1,26,0.0,9.2,60.0,22.2
308286,Madaripur,1985,1,27,0.0,9.5,59.0,21.6
308287,Madaripur,1985,1,28,0.0,9.3,71.0,20.4
308288,Madaripur,1985,1,29,0.0,8.7,72.0,22.3
308289,Madaripur,1985,1,30,0.0,9.0,65.0,23.6
308290,Madaripur,1985,1,31,0.0,9.2,75.0,23.4
308291,Madaripur,1985,2,1,0.0,6.4,76.0,20.0
308292,Madaripur,1985,2,2,0.0,7.3,58.0,22.5
308293,Madaripur,1985,2,3,0.0,9.4,61.0,22.0
308294,Madaripur,1985,2,4,0.0,8.9,57.0,22.2
308295,Madaripur,1985,2,5,0.0,9.3,55.0,22.8
308296,Madaripur,1985,2,6,0.0,8.8,61.0,25.0
308297,Madaripur,1985,2,7,0.0,10.0,52.0,21.7
308298,Madaripur,1985,2,8,0.0,9.9,56.0,21.0
308299,Madaripur,1985,2,9,0.0,10.0,55.0,21.5
308300,Madaripur,1985,2,10,0.0,9.4,63.0,21.6
308301,Madaripur,1985,2,11,0.0,9.7,63.0,23.2
308302,Madaripur,1985,2,12,0.0,9.4,49.0,24.0
308303,Madaripur,1985,2,13,0.0,9.9,53.0,23.3
308304,Madaripur,1985,2,14,0.0,5.7,52.0,22.9
308305,Madaripur,1985,2,15,0.0,0.0,81.0,18.5
308306,Madaripur,1985,2,16,0.0,6.9,66.0,22.2
308307,Madaripur,1985,2,17,0.0,8.6,61.0,21.9
308308,Madaripur,1985,2,18,0.0,9.9,54.0,23.3
308309,Madaripur,1985,2,19,0.0,10.0,58.0,22.3
