,Station,Year,Month,Day,Rainfall,Sunshine,Humidity,Temperature
322504,Mcourt,1985,1,1,0.0,4.0,85.0,17.8
322505,Mcourt,1985,1,2,0.0,3.3,85.0,18.0
322506,Mcourt,1985,1,3,0.0,3.85,81.0,19.1
322507,Mcourt,1985,1,4,0.0,3.65,83.0,19.4
322508,Mcourt,1985,1,5,0.0,3.1,80.0,20.0
322509,Mcourt,1985,1,6,0.0,4.25,77.0,20.3
322510,Mcourt,1985,1,7,0.0,4.1,81.0,21.5
322511,Mcourt,1985,1,8,0.0,1.85,84.0,21.1
322512,Mcourt,1985,1,9,0.0,1.2,87.0,20.6
322513,Mcourt,1985,1,10,0.0,3.25,72.0,19.5
322514,Mcourt,1985,1,11,0.0,1.3,76.0,18.6
322515,Mcourt,1985,1,12,0.0,1.15,75.0,18.7
322516,Mcourt,1985,1,13,0.0,0.7,78.0,18.3
322517,Mcourt,1985,1,14,0.0,4.55,82.0,16.4
322518,Mcourt,1985,1,15,0.0,1.8,80.0,18.2
322519,Mcourt,1985,1,16,0.0,0.05,84.0,17.0
322520,Mcourt,1985,1,17,0.0,4.15,79.0,17.0
322521,Mcourt,1985,1,18,0.0,4.65,76.0,17.4
322522,Mcourt,1985,1,19,0.0,4.8,78.0,17.6
322523,Mcourt,1985,1,20,0.0,4.35,74.0,18.6
322524,Mcourt,1985,1,21,0.0,4.65,75.0,19.2
322525,Mcourt,1985,1,22,0.0,4.65,73.0,20.4
322526,Mcourt,1985,1,23,0.0,4.7,75.0,20.0
322527,Mcourt,1985,1,24,0.0,4.6,63.0,20.2
322528,Mcourt,1985,1,25,0.0,4.5,72.0,20.4
322529,Mcourt,1985,1,26,0.0,4.45,79.0,18.3
322530,Mcourt,1985,1,27,0.0,4.45,77.0,19.6
322531,Mcourt,1985,1,28,0.0,4.75,79.0,19.9
322532,Mcourt,1985,1,29,0.0,4.85,77.0,20.8
322533,Mcourt,1985,1,30,0.0,4.05,77.0,22.1
322534,Mcourt,1985,1,31,0.0,4.0,79.0,22.0
322535,Mcourt,1985,2,1,0.0,3.65,77.0,21.2
322536,Mcourt,1985,2,2,0.0,3.35,73.0,20.5
322537,Mcourt,1985,2,3,0.0,4.35,71.0,20.3
322538,Mcourt,1985,2,4,0.0,4.55,83.0,19.0
322539,Mcourt,1985,2,5,0.0,4.45,76.0,21.6
322540,Mcourt,1985,2,6,0.0,1.65,79.0,22.1
322541,Mcourt,1985,2,7,0.0,4.55,74.0,20.8
322542,Mcourt,1985,2,8,0.0,4.75,68.0,19.4
322543,Mcourt,1985,2,9,0.0,4.25,75.0,19.6
322544,Mcourt,1985,2,10,0.0,3.3,69.0,20.0
322545,Mcourt,1985,2,11,0.0,4.55,75.0,21.4
322546,Mcourt,1985,2,12,0.0,2.75,61.0,20.9
322547,Mcourt,1985,2,13,0.0,4.45,58.0,20.8
322548,Mcourt,1985,2,14,0.0,3.6,64.0,21.5
322549,Mcourt,1985,2,15,0.0,1.45,85.0,18.4
322550,Mcourt,1985,2,16,0.0,5.05,83.0,19.2
322551,Mcourt,1985,2,17,0.0,4.75,70.0,20.3
322552,Mcourt,1985,2,18,0.0,5.05,72.0,19.3
322553,Mcourt,1985,2,19,0.0,5.05,67.0,20.8
322554,Mcourt,1985,2,20,0.0,4.95,68.0,22.8
322555,Mcourt,1985,2,21,0.0,4.8,76.0,22.1
322556,Mcourt,1985,2,22,0.0,4.6,76.0,21.7
322557,Mcourt,1985,2,23,0.0,3.9,67.0,21.3
322558,Mcourt,1985,2,24,0.0,5.1,72.0,21.0
322559,Mcourt,1985,2,25,0.0,5.1,73.0,23.9
322560,Mcourt,1985,2,26,0.0,5.1,84.0,23.4
322561,Mcourt,1985,2,27,0.0,4.85,88.0,23.4
322562,Mcourt,1985,2,28,0.0,5.25,84.0,24.1
322563,Mcourt,1985,3,1,0.0,4.0,84.0,25.1
322564,Mcourt,1985,3,2,0.0,0.8,80.0,25.7
322565,Mcourt,1985,3,3,0.0,4.05,81.0,25.6
322566,Mcourt,1985,3,4,0.0,4.5,78.0,26.0
322567,Mcourt,1985,3,5,0.0,3.3,80.0,25.6
322568,Mcourt,1985,3,6,0.0,4.3,83.0,25.7
322569,Mcourt,1985,3,7,0.0,4.25,80.0,26.3
322570,Mcourt,1985,3,8,0.0,4.15,79.0,26.2
322571,Mcourt,1985,3,9,0.0,4.4,77.0,26.8
322572,Mcourt,1985,3,10,0.0,4.6,79.0,26.7
322573,Mcourt,1985,3,11,0.0,4.5,71.0,27.6
322574,Mcourt,1985,3,12,0.0,4.3,70.0,27.7
322575,Mcourt,1985,3,13,0.0,4.4,84.0,27.4
322576,Mcourt,1985,3,14,0.0,4.45,80.0,26.7
322577,Mcourt,1985,3,15,0.0,4.9,84.0,27.1
322578,Mcourt,1985,3,16,0.0,3.95,81.0,26.6
