,Station,Year,Month,Day,Rainfall,Sunshine,Humidity,Temperature
336748,Mongla,2001,1,1,0.0,9.9,71.0,20.8
336749,Mongla,2001,1,2,0.0,8.8,70.0,21.9
336750,Mongla,2001,1,3,1.0,8.9,78.0,21.0
336751,Mongla,2001,1,4,0.0,9.4,75.0,17.7
336752,Mongla,2001,1,5,0.0,9.7,70.0,16.9
336753,Mongla,2001,1,6,0.0,9.5,74.0,16.1
336754,Mongla,2001,1,7,0.0,9.3,74.0,16.8
336755,Mongla,2001,1,8,0.0,9.7,72.0,18.5
336756,Mongla,2001,1,9,0.0,7.6,79.0,19.3
336757,Mongla,2001,1,10,0.0,5.4,67.0,17.8
336758,Mongla,2001,1,11,0.0,9.7,61.0,16.8
336759,Mongla,2001,1,12,0.0,10.1,61.0,16.4
336760,Mongla,2001,1,13,0.0,9.9,64.0,16.9
336761,Mongla,2001,1,14,0.0,10.0,65.0,17.6
336762,Mongla,2001,1,15,0.0,10.5,65.0,17.7
336763,Mongla,2001,1,16,0.0,9.7,65.0,18.7
336764,Mongla,2001,1,17,0.0,9.6,66.0,18.8
336765,Mongla,2001,1,18,0.0,9.8,68.0,18.5
336766,Mongla,2001,1,19,0.0,10.3,65.0,18.8
336767,Mongla,2001,1,20,0.0,10.0,67.0,19.2
336768,Mongla,2001,1,21,0.0,10.0,67.0,19.2
336769,Mongla,2001,1,22,0.0,9.3,68.0,19.9
336770,Mongla,2001,1,23,0.0,8.2,77.0,21.2
336771,Mongla,2001,1,24,0.0,9.8,62.0,19.8
336772,Mongla,2001,1,25,0.0,9.9,61.0,17.2
336773,Mongla,2001,1,26,0.0,9.6,63.0,17.3
336774,Mongla,2001,1,27,0.0,8.0,65.0,18.5
336775,Mongla,2001,1,28,0.0,8.5,65.0,18.9
336776,Mongla,2001,1,29,0.0,8.2,70.0,18.6
336777,Mongla,2001,1,30,0.0,10.0,70.0,20.2
336778,Mongla,2001,1,31,0.0,7.4,80.0,21.4
336779,Mongla,2001,2,1,0.0,9.4,73.0,23.2
336780,Mongla,2001,2,2,0.0,7.5,69.0,22.4
336781,Mongla,2001,2,3,0.0,8.8,59.0,21.1
336782,Mongla,2001,2,4,0.0,10.1,55.0,21.0
336783,Mongla,2001,2,5,0.0,9.5,63.0,21.5
336784,Mongla,2001,2,6,0.0,9.7,69.0,22.2
336785,Mongla,2001,2,7,0.0,10.5,57.0,20.3
336786,Mongla,2001,2,8,0.0,10.5,63.0,20.1
336787,Mongla,2001,2,9,0.0,10.2,58.0,20.4
336788,Mongla,2001,2,10,0.0,10.9,65.0,20.2
336789,Mongla,2001,2,11,0.0,9.8,74.0,21.2
336790,Mongla,2001,2,12,0.0,7.0,75.0,20.8
336791,Mongla,2001,2,13,0.0,9.9,61.0,21.3
336792,Mongla,2001,2,14,0.0,9.9,62.0,22.0
336793,Mongla,2001,2,15,0.0,9.8,56.0,23.8
336794,Mongla,2001,2,16,0.0,9.5,67.0,23.5
336795,Mongla,2001,2,17,0.0,8.4,75.0,24.0
336796,Mongla,2001,2,18,0.0,9.0,72.0,24.6
336797,Mongla,2001,2,19,0.0,8.1,78.0,24.4
336798,Mongla,2001,2,20,0.0,8.0,79.0,24.3
336799,Mongla,2001,2,21,0.0,6.8,80.0,24.7
336800,Mongla,2001,2,22,18.0,7.7,82.0,23.0
336801,Mongla,2001,2,23,0.0,9.8,72.0,24.4
336802,Mongla,2001,2,24,0.0,9.6,79.0,25.5
336803,Mongla,2001,2,25,0.0,8.7,82.0,26.0
336804,Mongla,2001,2,26,0.0,4.5,84.0,26.2
336805,Mongla,2001,2,27,1.0,5.8,74.0,25.9
336806,Mongla,2001,2,28,0.0,7.7,77.0,26.7
336807,Mongla,2001,3,1,0.0,9.1,74.0,26.2
336808,Mongla,2001,3,2,0.0,10.1,75.0,26.6
336809,Mongla,2001,3,3,0.0,11.0,58.0,24.6
336810,Mongla,2001,3,4,0.0,10.1,58.0,25.1
336811,Mongla,2001,3,5,0.0,4.5,66.0,22.3
336812,Mongla,2001,3,6,0.0,11.6,67.0,23.9
336813,Mongla,2001,3,7,0.0,10.5,61.0,24.9
336814,Mongla,2001,3,8,0.0,10.1,55.0,24.7
336815,Mongla,2001,3,9,0.0,2.9,62.0,25.4
336816,Mongla,2001,3,10,0.0,9.9,66.0,25.4
336817,Mongla,2001,3,11,0.0,11.0,67.0,26.1
336818,Mongla,2001,3,12,0.0,10.6,65.0,26.1
336819,Mongla,2001,3,13,0.0,9.1,69.0,26.3
336820,Mongla,2001,3,14,0.0,7.5,72.0,27.0
336821,Mongla,2001,3,15,0.0,9.0,72.0,26.6
336822,Mongla,2001,3,16,0.0,9.6,73.0,28.4
336823,Mongla,2001,3,17,0.0,8.5,76.0,27.9
336824,Mongla,2001,3,18,0.0,8.9,76.0,27.8
336825,Mongla,2001,3,19,0.0,9.9,65.0,28.3
336826,Mongla,2001,3,20,0.0,7.9,71.0,28.1
336827,Mongla,2001,3,21,0.0,9.0,74.0,28.7
336828,Mongla,2001,3,22,0.0,6.5,77.0,28.9
336829,Mongla,2001,3,23,5.0,5.0,74.0,26.8
336830,Mongla,2001,3,24,1.0,9.7,72.0,28.4
336831,Mongla,2001,3,25,0.0,9.7,73.0,28.9
336832,Mongla,2001,3,26,0.0,10.5,72.0,28.4
336833,Mongla,2001,3,27,0.0,10.4,72.0,29.0
336834,Mongla,2001,3,28,0.0,9.7,79.0,29.1
336835,Mongla,2001,3,29,0.0,10.4,78.0,29.2
336836,Mongla,2001,3,30,0.0,10.1,75.0,29.2
336837,Mongla,2001,3,31,0.0,8.5,68.0,28.5
336838,Mongla,2001,4,1,0.0,8.8,77.0,28.2
336839,Mongla,2001,4,2,0.0,7.9,78.0,27.2
336840,Mongla,2001,4,3,0.0,9.4,80.0,28.4
336841,Mongla,2001,4,4,0.0,10.5,76.0,29.6
336842,Mongla,2001,4,5,0.0,10.6,77.0,30.4
336843,Mongla,2001,4,6,0.0,10.2,79.0,28.6
336844,Mongla,2001,4,7,1.0,11.5,77.0,30.4
336845,Mongla,2001,4,8,0.0,11.3,77.0,30.9
336846,Mongla,2001,4,9,0.0,5.2,84.0,30.5
336847,Mongla,2001,4,10,0.0,9.3,83.0,30.6
336848,Mongla,2001,4,11,0.0,5.9,84.0,30.3
336849,Mongla,2001,4,12,0.0,2.0,87.0,29.9
336850,Mongla,2001,4,13,0.0,1.1,85.0,28.0
336851,Mongla,2001,4,14,1.0,3.0,75.0,27.8
336852,Mongla,2001,4,15,0.0,9.1,81.0,28.3
336853,Mongla,2001,4,16,0.0,12.3,79.0,28.8
336854,Mongla,2001,4,17,0.0,8.8,83.0,28.1
336855,Mongla,2001,4,18,20.0,7.7,89.0,25.7
336856,Mongla,2001,4,19,0.0,12.1,82.0,29.6
336857,Mongla,2001,4,20,0.0,11.9,74.0,30.2
336858,Mongla,2001,4,21,0.0,11.5,66.0,30.7
336859,Mongla,2001,4,22,0.0,11.1,68.0,31.1
336860,Mongla,2001,4,23,0.0,11.4,67.0,31.2
336861,Mongla,2001,4,24,0.0,10.8,64.0,31.4
336862,Mongla,2001,4,25,0.0,11.6,66.0,31.5
336863,Mongla,2001,4,26,0.0,11.5,73.0,30.6
336864,Mongla,2001,4,27,0.0,11.2,74.0,30.4
336865,Mongla,2001,4,28,0.0,10.9,73.0,30.8
336866,Mongla,2001,4,29,0.0,8.4,75.0,30.8
336867,Mongla,2001,4,30,0.0,7.0,78.0,29.0
336868,Mongla,2001,5,1,14.0,9.9,78.0,29.2
336869,Mongla,2001,5,2,0.0,11.4,75.0,30.3
336870,Mongla,2001,5,3,1.0,8.5,85.0,27.4
336871,Mongla,2001,5,4,2.0,6.3,81.0,26.0
336872,Mongla,2001,5,5,3.0,8.0,76.0,27.7
336873,Mongla,2001,5,6,33.0,8.3,76.0,27.6
336874,Mongla,2001,5,7,0.0,6.2,83.0,28.5
336875,Mongla,2001,5,8,65.0,3.0,88.0,25.9
336876,Mongla,2001,5,9,14.0,2.3,84.0,29.0
336877,Mongla,2001,5,10,3.0,6.9,81.0,28.6
336878,Mongla,2001,5,11,11.0,5.4,84.0,27.1
336879,Mongla,2001,5,12,117.0,1.3,91.0,25.7
336880,Mongla,2001,5,13,0.0,12.8,81.0,28.0
336881,Mongla,2001,5,14,0.0,10.0,75.0,29.4
336882,Mongla,2001,5,15,0.0,12.2,76.0,29.9
336883,Mongla,2001,5,16,0.0,12.1,75.0,30.1
336884,Mongla,2001,5,17,0.0,11.4,76.0,30.4
336885,Mongla,2001,5,18,0.0,11.7,76.0,30.3
336886,Mongla,2001,5,19,0.0,11.5,75.0,30.9
336887,Mongla,2001,5,20,0.0,12.0,74.0,31.1
336888,Mongla,2001,5,21,0.0,5.1,84.0,29.2
336889,Mongla,2001,5,22,7.0,8.9,79.0,29.0
336890,Mongla,2001,5,23,3.0,7.6,82.0,30.5
336891,Mongla,2001,5,24,0.0,0.1,86.0,28.2
336892,Mongla,2001,5,25,0.0,7.7,81.0,30.8
336893,Mongla,2001,5,26,0.0,5.3,82.0,28.0
336894,Mongla,2001,5,27,18.0,9.2,80.0,29.1
336895,Mongla,2001,5,28,0.0,8.2,78.0,30.8
336896,Mongla,2001,5,29,0.0,9.0,83.0,29.7
336897,Mongla,2001,5,30,0.0,4.2,85.0,29.5
336898,Mongla,2001,5,31,10.0,10.5,80.0,29.4
336899,Mongla,2001,6,1,35.0,7.3,78.0,30.5
336900,Mongla,2001,6,2,1.0,3.9,89.0,28.0
336901,Mongla,2001,6,3,9.0,0.0,90.0,27.5
336902,Mongla,2001,6,4,6.0,0.0,91.0,27.3
336903,Mongla,2001,6,5,2.0,0.9,92.0,28.1
336904,Mongla,2001,6,6,10.0,0.9,93.0,27.5
336905,Mongla,2001,6,7,29.0,2.0,90.0,28.6
336906,Mongla,2001,6,8,23.0,2.9,89.0,28.6
336907,Mongla,2001,6,9,10.0,4.0,92.0,28.1
336908,Mongla,2001,6,10,0.0,9.8,85.0,29.7
336909,Mongla,2001,6,11,0.0,5.9,85.0,29.0
336910,Mongla,2001,6,12,6.0,2.6,93.0,28.0
336911,Mongla,2001,6,13,4.0,1.4,94.0,27.4
336912,Mongla,2001,6,14,39.0,0.0,96.0,26.5
336913,Mongla,2001,6,15,89.0,0.0,96.0,26.4
336914,Mongla,2001,6,16,40.0,0.5,93.0,27.1
336915,Mongla,2001,6,17,0.0,0.6,90.0,27.6
336916,Mongla,2001,6,18,18.0,0.0,94.0,26.8
336917,Mongla,2001,6,19,13.0,0.5,95.0,27.6
336918,Mongla,2001,6,20,28.0,0.2,90.0,29.4
336919,Mongla,2001,6,21,1.0,0.8,90.0,28.6
