,Station,Year,Month,Day,Rainfall,Sunshine,Humidity,Temperature
345148,Mymensingh,1979,1,1,0.0,9.7,70.0,17.0
345149,Mymensingh,1979,1,2,0.0,0.0,73.0,16.4
345150,Mymensingh,1979,1,3,0.0,9.0,80.0,15.0
345151,Mymensingh,1979,1,4,0.0,8.6,67.0,18.1
345152,Mymensingh,1979,1,5,0.0,9.7,73.0,16.1
345153,Mymensingh,1979,1,6,0.0,8.3,72.0,16.6
345154,Mymensingh,1979,1,7,0.0,9.4,67.0,17.7
345155,Mymensingh,1979,1,8,0.0,9.9,63.0,18.9
345156,Mymensingh,1979,1,9,0.0,9.5,68.0,18.1
345157,Mymensingh,1979,1,10,0.0,8.9,71.0,17.5
345158,Mymensingh,1979,1,11,0.0,8.7,72.0,16.9
345159,Mymensingh,1979,1,12,0.0,9.0,67.0,18.5
345160,Mymensingh,1979,1,13,0.0,8.8,77.0,17.3
345161,Mymensingh,1979,1,14,0.0,8.9,75.0,17.7
345162,Mymensingh,1979,1,15,0.0,9.4,72.0,17.9
345163,Mymensingh,1979,1,16,0.0,9.5,70.0,18.3
345164,Mymensingh,1979,1,17,0.0,9.2,79.0,17.6
345165,Mymensingh,1979,1,18,0.0,8.9,69.0,19.6
345166,Mymensingh,1979,1,19,0.0,9.2,68.0,20.7
345167,Mymensingh,1979,1,20,0.0,9.1,72.0,19.5
345168,Mymensingh,1979,1,21,0.0,8.8,72.0,19.5
345169,Mymensingh,1979,1,22,0.0,8.9,74.0,19.5
345170,Mymensingh,1979,1,23,0.0,7.9,71.0,19.6
345171,Mymensingh,1979,1,24,0.0,8.8,69.0,18.6
345172,Mymensingh,1979,1,25,0.0,9.3,64.0,19.4
345173,Mymensingh,1979,1,26,0.0,8.9,64.0,19.8
345174,Mymensingh,1979,1,27,0.0,8.9,66.0,19.3
345175,Mymensingh,1979,1,28,0.0,5.8,67.0,18.7
345176,Mymensingh,1979,1,29,0.0,6.8,74.0,18.9
345177,Mymensingh,1979,1,30,0.0,8.8,83.0,19.2
345178,Mymensingh,1979,1,31,0.0,9.0,72.0,20.0
345179,Mymensingh,1979,2,1,0.0,9.3,67.0,19.5
345180,Mymensingh,1979,2,2,0.0,9.6,82.0,17.6
345181,Mymensingh,1979,2,3,0.0,9.0,71.0,16.9
345182,Mymensingh,1979,2,4,0.0,0.3,58.0,16.9
345183,Mymensingh,1979,2,5,0.0,0.1,65.0,18.0
345184,Mymensingh,1979,2,6,0.0,8.7,64.0,18.5
345185,Mymensingh,1979,2,7,0.0,9.9,77.0,18.2
345186,Mymensingh,1979,2,8,2.0,9.4,80.0,18.4
345187,Mymensingh,1979,2,9,0.0,9.9,76.0,17.3
345188,Mymensingh,1979,2,10,0.0,9.7,70.0,17.0
345189,Mymensingh,1979,2,11,0.0,9.5,67.0,18.1
345190,Mymensingh,1979,2,12,0.0,9.0,64.0,19.1
345191,Mymensingh,1979,2,13,0.0,10.0,64.0,19.5
345192,Mymensingh,1979,2,14,0.0,9.7,67.0,19.9
345193,Mymensingh,1979,2,15,0.0,9.4,63.0,21.0
345194,Mymensingh,1979,2,16,0.0,5.8,57.0,21.7
345195,Mymensingh,1979,2,17,0.0,6.4,60.0,21.9
345196,Mymensingh,1979,2,18,0.0,8.8,63.0,22.4
345197,Mymensingh,1979,2,19,0.0,7.7,62.0,21.4
345198,Mymensingh,1979,2,20,0.0,8.9,76.0,22.4
345199,Mymensingh,1979,2,21,0.0,10.0,61.0,21.0
345200,Mymensingh,1979,2,22,0.0,9.9,63.0,17.4
345201,Mymensingh,1979,2,23,0.0,4.6,57.0,18.9
345202,Mymensingh,1979,2,24,0.0,10.0,51.0,19.2
345203,Mymensingh,1979,2,25,0.0,9.9,56.0,19.1
345204,Mymensingh,1979,2,26,0.0,8.4,49.0,19.2
345205,Mymensingh,1979,2,27,0.0,8.1,51.0,20.3
345206,Mymensingh,1979,2,28,0.0,8.4,49.0,21.0
345207,Mymensingh,1979,3,1,0.0,10.3,56.0,19.0
345208,Mymensingh,1979,3,2,0.0,10.3,48.0,20.5
345209,Mymensingh,1979,3,3,0.0,10.7,43.0,21.8
345210,Mymensingh,1979,3,4,0.0,10.6,45.0,22.3
345211,Mymensingh,1979,3,5,0.0,10.3,57.0,22.4
345212,Mymensingh,1979,3,6,0.0,10.3,56.0,24.4
345213,Mymensingh,1979,3,7,0.0,10.3,47.0,25.2
345214,Mymensingh,1979,3,8,0.0,8.2,51.0,26.3
345215,Mymensingh,1979,3,9,3.0,7.1,64.0,22.5
345216,Mymensingh,1979,3,10,0.0,3.5,59.0,19.0
345217,Mymensingh,1979,3,11,0.0,9.0,54.0,19.2
345218,Mymensingh,1979,3,12,0.0,10.3,53.0,20.1
345219,Mymensingh,1979,3,13,0.0,9.2,51.0,20.9
345220,Mymensingh,1979,3,14,0.0,9.3,46.0,22.3
345221,Mymensingh,1979,3,15,0.0,7.5,65.0,24.4
345222,Mymensingh,1979,3,16,0.0,9.2,51.0,22.8
345223,Mymensingh,1979,3,17,0.0,7.5,56.0,25.9
345224,Mymensingh,1979,3,18,2.0,7.9,69.0,26.2
345225,Mymensingh,1979,3,19,0.0,8.5,57.0,25.3
345226,Mymensingh,1979,3,20,0.0,9.4,44.0,26.3
345227,Mymensingh,1979,3,21,0.0,8.6,56.0,25.5
345228,Mymensingh,1979,3,22,0.0,8.0,65.0,25.9
345229,Mymensingh,1979,3,23,0.0,8.3,54.0,27.6
345230,Mymensingh,1979,3,24,0.0,9.6,52.0,28.6
345231,Mymensingh,1979,3,25,0.0,6.4,58.0,27.2
345232,Mymensingh,1979,3,26,1.0,9.6,44.0,28.4
345233,Mymensingh,1979,3,27,0.0,9.0,42.0,28.9
345234,Mymensingh,1979,3,28,0.0,9.3,48.0,27.0
345235,Mymensingh,1979,3,29,0.0,9.0,55.0,27.2
345236,Mymensingh,1979,3,30,0.0,7.5,63.0,27.4
345237,Mymensingh,1979,3,31,0.0,8.1,70.0,27.9
345238,Mymensingh,1979,4,1,0.0,8.0,74.0,27.1
345239,Mymensingh,1979,4,2,0.0,8.9,56.0,28.5
345240,Mymensingh,1979,4,3,0.0,9.1,59.0,29.8
345241,Mymensingh,1979,4,4,0.0,8.7,56.0,29.3
345242,Mymensingh,1979,4,5,0.0,6.4,57.0,30.4
345243,Mymensingh,1979,4,6,0.0,9.7,47.0,30.3
345244,Mymensingh,1979,4,7,0.0,8.6,64.0,26.0
345245,Mymensingh,1979,4,8,4.0,10.3,62.0,26.8
345246,Mymensingh,1979,4,9,0.0,9.7,62.0,29.1
345247,Mymensingh,1979,4,10,0.0,9.7,61.0,30.1
345248,Mymensingh,1979,4,11,0.0,8.6,64.0,28.9
345249,Mymensingh,1979,4,12,0.0,6.6,65.0,27.4
345250,Mymensingh,1979,4,13,7.0,10.0,68.0,26.7
345251,Mymensingh,1979,4,14,0.0,8.1,63.0,28.8
345252,Mymensingh,1979,4,15,0.0,6.9,70.0,27.3
345253,Mymensingh,1979,4,16,1.0,8.1,66.0,26.0
345254,Mymensingh,1979,4,17,0.0,5.9,63.0,26.8
345255,Mymensingh,1979,4,18,10.0,6.3,73.0,25.8
345256,Mymensingh,1979,4,19,0.0,10.7,67.0,28.0
345257,Mymensingh,1979,4,20,0.0,9.4,71.0,28.0
345258,Mymensingh,1979,4,21,0.0,10.3,61.0,28.8
345259,Mymensingh,1979,4,22,0.0,10.2,67.0,29.0
345260,Mymensingh,1979,4,23,11.0,8.0,68.0,26.9
345261,Mymensingh,1979,4,24,0.0,11.0,62.0,29.5
345262,Mymensingh,1979,4,25,0.0,11.5,55.0,30.9
345263,Mymensingh,1979,4,26,0.0,11.3,52.0,31.6
345264,Mymensingh,1979,4,27,0.0,10.9,50.0,30.7
345265,Mymensingh,1979,4,28,0.0,10.7,59.0,30.6
345266,Mymensingh,1979,4,29,0.0,6.9,68.0,29.2
