,Station,Year,Month,Day,Rainfall,Sunshine,Humidity,Temperature
361584,Patuakhali,1985,1,1,0.0,5.95,83.0,19.7
361585,Patuakhali,1985,1,2,3.0,7.25,91.0,18.2
361586,Patuakhali,1985,1,3,0.0,7.65,84.0,19.8
361587,Patuakhali,1985,1,4,0.0,7.9,88.0,19.6
361588,Patuakhali,1985,1,5,0.0,7.7,80.0,19.9
361589,Patuakhali,1985,1,6,0.0,8.1,81.0,20.5
361590,Patuakhali,1985,1,7,0.0,8.05,87.0,22.6
361591,Patuakhali,1985,1,8,0.0,6.35,86.0,21.8
361592,Patuakhali,1985,1,9,0.0,5.65,86.0,21.5
361593,Patuakhali,1985,1,10,0.0,7.2,78.0,19.7
361594,Patuakhali,1985,1,11,0.0,3.9,78.0,19.8
361595,Patuakhali,1985,1,12,0.0,3.8,80.0,19.6
361596,Patuakhali,1985,1,13,0.0,6.75,82.0,18.5
361597,Patuakhali,1985,1,14,0.0,6.8,80.0,18.7
361598,Patuakhali,1985,1,15,0.0,4.6,83.0,19.8
361599,Patuakhali,1985,1,16,0.0,4.05,91.0,17.2
361600,Patuakhali,1985,1,17,0.0,7.9,79.0,19.1
361601,Patuakhali,1985,1,18,0.0,6.84,78.0,18.2
361602,Patuakhali,1985,1,19,0.0,8.25,76.0,18.7
361603,Patuakhali,1985,1,20,0.0,6.84,78.0,19.4
361604,Patuakhali,1985,1,21,0.0,8.25,77.0,20.0
361605,Patuakhali,1985,1,22,0.0,8.25,80.0,20.6
361606,Patuakhali,1985,1,23,0.0,8.3,81.0,20.2
361607,Patuakhali,1985,1,24,0.0,8.15,80.0,20.0
361608,Patuakhali,1985,1,25,0.0,8.1,79.0,19.4
361609,Patuakhali,1985,1,26,0.0,8.1,77.0,21.2
361610,Patuakhali,1985,1,27,0.0,7.85,73.0,20.9
361611,Patuakhali,1985,1,28,0.0,6.5,75.0,21.3
361612,Patuakhali,1985,1,29,0.0,7.6,80.0,21.7
361613,Patuakhali,1985,1,30,0.0,8.25,75.0,22.4
361614,Patuakhali,1985,1,31,0.0,8.05,76.0,22.5
361615,Patuakhali,1985,2,1,0.0,8.35,74.0,22.2
361616,Patuakhali,1985,2,2,0.0,8.95,77.0,21.1
361617,Patuakhali,1985,2,3,0.0,7.85,79.0,20.6
361618,Patuakhali,1985,2,4,0.0,8.35,78.0,20.7
361619,Patuakhali,1985,2,5,0.0,7.95,76.0,22.5
