,Station,Year,Month,Day,Rainfall,Sunshine,Humidity,Temperature
375828,Rajshahi,1979,1,1,0.0,5.5,69.0,17.6
375829,Rajshahi,1979,1,2,0.0,9.0,70.0,17.6
375830,Rajshahi,1979,1,3,0.0,8.9,67.0,17.7
375831,Rajshahi,1979,1,4,0.0,8.2,71.0,17.3
375832,Rajshahi,1979,1,5,0.0,6.6,70.0,17.9
375833,Rajshahi,1979,1,6,0.0,8.2,64.0,17.8
375834,Rajshahi,1979,1,7,0.0,0.0,65.0,18.0
375835,Rajshahi,1979,1,8,0.0,6.4,72.0,17.2
375836,Rajshahi,1979,1,9,0.0,9.9,74.0,16.9
375837,Rajshahi,1979,1,10,0.0,10.0,72.0,17.6
375838,Rajshahi,1979,1,11,0.0,1.4,71.0,17.8
375839,Rajshahi,1979,1,12,0.0,0.0,76.0,17.5
375840,Rajshahi,1979,1,13,0.0,9.4,68.0,17.3
375841,Rajshahi,1979,1,14,0.0,9.0,71.0,17.1
375842,Rajshahi,1979,1,15,0.0,10.1,70.0,18.4
375843,Rajshahi,1979,1,16,0.0,9.8,71.0,19.4
375844,Rajshahi,1979,1,17,0.0,11.0,73.0,20.4
375845,Rajshahi,1979,1,18,0.0,9.7,73.0,20.5
375846,Rajshahi,1979,1,19,0.0,5.6,77.0,20.8
375847,Rajshahi,1979,1,20,9.0,9.2,85.0,18.8
375848,Rajshahi,1979,1,21,0.0,8.3,79.0,20.1
375849,Rajshahi,1979,1,22,0.0,7.5,84.0,19.2
375850,Rajshahi,1979,1,23,1.0,8.6,78.0,19.9
375851,Rajshahi,1979,1,24,0.0,2.0,74.0,19.1
375852,Rajshahi,1979,1,25,0.0,6.3,67.0,18.5
375853,Rajshahi,1979,1,26,0.0,6.0,72.0,18.4
375854,Rajshahi,1979,1,27,0.0,9.5,63.0,18.4
375855,Rajshahi,1979,1,28,0.0,9.7,70.0,18.8
375856,Rajshahi,1979,1,29,1.0,9.7,84.0,17.5
375857,Rajshahi,1979,1,30,34.0,9.3,93.0,18.0
375858,Rajshahi,1979,1,31,0.0,4.7,74.0,18.9
375859,Rajshahi,1979,2,1,0.0,0.9,76.0,18.9
375860,Rajshahi,1979,2,2,4.0,9.6,87.0,17.7
375861,Rajshahi,1979,2,3,0.0,8.1,74.0,15.8
375862,Rajshahi,1979,2,4,0.0,9.9,71.0,15.6
375863,Rajshahi,1979,2,5,0.0,10.0,68.0,16.8
375864,Rajshahi,1979,2,6,0.0,9.6,68.0,19.2
375865,Rajshahi,1979,2,7,0.0,9.8,86.0,17.3
375866,Rajshahi,1979,2,8,13.0,9.6,86.0,16.8
375867,Rajshahi,1979,2,9,0.0,0.0,82.0,16.7
375868,Rajshahi,1979,2,10,0.0,2.1,74.0,17.6
375869,Rajshahi,1979,2,11,0.0,7.0,72.0,17.5
375870,Rajshahi,1979,2,12,0.0,8.6,73.0,18.0
375871,Rajshahi,1979,2,13,0.0,9.6,71.0,18.7
375872,Rajshahi,1979,2,14,0.0,10.0,73.0,19.0
375873,Rajshahi,1979,2,15,0.0,9.2,63.0,20.8
375874,Rajshahi,1979,2,16,0.0,9.7,64.0,21.0
375875,Rajshahi,1979,2,17,0.0,10.0,65.0,21.9
375876,Rajshahi,1979,2,18,0.0,10.6,73.0,21.4
