,Station,Year,Month,Day,Rainfall,Sunshine,Humidity,Temperature
392264,Rangamati,1987,1,1,0.0,0.0,77.0,17.0
392265,Rangamati,1987,1,2,0.0,0.0,76.0,16.8
392266,Rangamati,1987,1,3,0.0,4.6,72.0,16.5
392267,Rangamati,1987,1,4,0.0,6.2,72.0,16.6
392268,Rangamati,1987,1,5,0.0,2.8,76.0,17.3
392269,Rangamati,1987,1,6,0.0,6.8,83.0,16.9
392270,Rangamati,1987,1,7,0.0,9.0,81.0,19.8
392271,Rangamati,1987,1,8,0.0,10.4,89.0,19.4
392272,Rangamati,1987,1,9,3.0,1.6,82.0,20.8
392273,Rangamati,1987,1,10,0.0,0.0,83.0,19.9
392274,Rangamati,1987,1,11,0.0,0.0,80.0,20.2
392275,Rangamati,1987,1,12,0.0,1.8,86.0,19.3
392276,Rangamati,1987,1,13,0.0,6.5,78.0,19.7
392277,Rangamati,1987,1,14,0.0,8.3,74.0,18.9
392278,Rangamati,1987,1,15,0.0,2.0,74.0,19.4
392279,Rangamati,1987,1,16,0.0,11.0,75.0,18.2
392280,Rangamati,1987,1,17,0.0,7.2,73.0,18.8
392281,Rangamati,1987,1,18,0.0,0.3,73.0,19.8
392282,Rangamati,1987,1,19,0.0,4.2,75.0,19.1
392283,Rangamati,1987,1,20,0.0,0.0,71.0,18.9
392284,Rangamati,1987,1,21,0.0,1.3,74.0,18.7
392285,Rangamati,1987,1,22,0.0,0.0,78.0,19.8
392286,Rangamati,1987,1,23,0.0,11.0,74.0,21.5
392287,Rangamati,1987,1,24,0.0,0.0,73.0,21.5
392288,Rangamati,1987,1,25,0.0,1.0,74.0,20.6
392289,Rangamati,1987,1,26,0.0,0.0,73.0,20.6
392290,Rangamati,1987,1,27,0.0,0.3,72.0,20.7
392291,Rangamati,1987,1,28,0.0,0.3,71.0,19.4
392292,Rangamati,1987,1,29,0.0,4.7,76.0,18.6
392293,Rangamati,1987,1,30,0.0,7.7,71.0,18.9
392294,Rangamati,1987,1,31,0.0,8.4,69.0,19.4
392295,Rangamati,1987,2,1,0.0,8.0,66.0,20.6
392296,Rangamati,1987,2,2,0.0,0.0,81.0,20.3
392297,Rangamati,1987,2,3,0.0,0.0,89.0,18.9
392298,Rangamati,1987,2,4,10.0,0.0,91.0,18.2
392299,Rangamati,1987,2,5,26.0,6.2,86.0,19.1
392300,Rangamati,1987,2,6,0.0,7.6,79.0,18.5
392301,Rangamati,1987,2,7,0.0,9.2,74.0,19.7
392302,Rangamati,1987,2,8,0.0,8.2,76.0,20.1
392303,Rangamati,1987,2,9,0.0,8.2,71.0,20.8
392304,Rangamati,1987,2,10,0.0,8.0,72.0,19.9
392305,Rangamati,1987,2,11,0.0,8.1,74.0,19.3
392306,Rangamati,1987,2,12,0.0,7.8,71.0,19.3
392307,Rangamati,1987,2,13,0.0,8.4,72.0,19.6
392308,Rangamati,1987,2,14,0.0,8.5,71.0,20.6
392309,Rangamati,1987,2,15,0.0,8.6,71.0,21.6
392310,Rangamati,1987,2,16,0.0,9.4,70.0,21.9
392311,Rangamati,1987,2,17,0.0,8.3,68.0,22.5
392312,Rangamati,1987,2,18,0.0,8.9,68.0,23.3
392313,Rangamati,1987,2,19,0.0,9.2,66.0,23.0
392314,Rangamati,1987,2,20,0.0,9.1,59.0,23.1
392315,Rangamati,1987,2,21,0.0,8.6,59.0,22.4
392316,Rangamati,1987,2,22,0.0,8.1,63.0,23.4
392317,Rangamati,1987,2,23,0.0,7.9,68.0,23.7
392318,Rangamati,1987,2,24,0.0,9.3,70.0,22.1
392319,Rangamati,1987,2,25,0.0,9.3,60.0,24.4
392320,Rangamati,1987,2,26,0.0,8.4,66.0,24.5
392321,Rangamati,1987,2,27,0.0,6.0,70.0,24.1
392322,Rangamati,1987,2,28,0.0,6.1,71.0,22.7
392323,Rangamati,1987,3,1,0.0,8.3,57.0,24.4
392324,Rangamati,1987,3,2,0.0,6.0,62.0,23.0
392325,Rangamati,1987,3,3,0.0,8.0,57.0,23.5
392326,Rangamati,1987,3,4,0.0,8.6,57.0,22.6
392327,Rangamati,1987,3,5,0.0,8.1,58.0,23.1
392328,Rangamati,1987,3,6,0.0,9.2,63.0,23.0
392329,Rangamati,1987,3,7,0.0,8.7,64.0,24.5
392330,Rangamati,1987,3,8,0.0,8.8,65.0,25.4
392331,Rangamati,1987,3,9,0.0,7.2,69.0,25.3
392332,Rangamati,1987,3,10,0.0,5.4,66.0,24.7
392333,Rangamati,1987,3,11,0.0,0.0,84.0,21.1
392334,Rangamati,1987,3,12,10.0,2.5,88.0,20.0
392335,Rangamati,1987,3,13,5.0,6.4,76.0,23.1
392336,Rangamati,1987,3,14,0.0,8.4,71.0,23.6
392337,Rangamati,1987,3,15,0.0,8.7,68.0,23.6
392338,Rangamati,1987,3,16,0.0,6.1,70.0,25.1
392339,Rangamati,1987,3,17,0.0,6.4,72.0,25.4
392340,Rangamati,1987,3,18,3.0,4.1,82.0,24.8
392341,Rangamati,1987,3,19,9.0,5.7,82.0,24.5
392342,Rangamati,1987,3,20,69.0,8.7,76.0,25.9
392343,Rangamati,1987,3,21,0.0,9.2,73.0,26.4
392344,Rangamati,1987,3,22,0.0,9.4,73.0,26.2
392345,Rangamati,1987,3,23,0.0,8.4,74.0,26.4
392346,Rangamati,1987,3,24,0.0,7.1,72.0,27.6
392347,Rangamati,1987,3,25,0.0,9.2,67.0,27.6
392348,Rangamati,1987,3,26,0.0,9.1,60.0,28.3
392349,Rangamati,1987,3,27,0.0,5.4,64.0,27.7
392350,Rangamati,1987,3,28,0.0,5.3,70.0,27.9
392351,Rangamati,1987,3,29,0.0,8.8,71.0,27.9
392352,Rangamati,1987,3,30,0.0,8.6,72.0,27.1
392353,Rangamati,1987,3,31,0.0,8.5,76.0,26.9
392354,Rangamati,1987,4,1,0.0,7.75,74.0,27.1
392355,Rangamati,1987,4,2,0.0,6.85,70.0,27.6
392356,Rangamati,1987,4,3,0.0,7.3,69.0,28.0
392357,Rangamati,1987,4,4,0.0,6.8,71.0,28.5
392358,Rangamati,1987,4,5,0.0,5.85,73.0,28.6
392359,Rangamati,1987,4,6,0.0,6.85,73.0,28.9
392360,Rangamati,1987,4,7,0.0,6.5,73.0,29.1
392361,Rangamati,1987,4,8,0.0,4.9,68.0,28.8
392362,Rangamati,1987,4,9,0.0,6.0,73.0,28.3
392363,Rangamati,1987,4,10,13.0,5.55,93.0,22.8
392364,Rangamati,1987,4,11,110.0,6.5,90.0,24.5
392365,Rangamati,1987,4,12,48.0,8.65,93.0,24.1
392366,Rangamati,1987,4,13,82.0,7.85,84.0,27.0
392367,Rangamati,1987,4,14,38.0,7.85,77.0,25.8
392368,Rangamati,1987,4,15,1.0,8.95,77.0,28.3
392369,Rangamati,1987,4,16,0.0,6.8,72.0,28.4
392370,Rangamati,1987,4,17,0.0,5.7,66.0,29.0
392371,Rangamati,1987,4,18,0.0,6.85,70.0,29.3
392372,Rangamati,1987,4,19,0.0,8.1,69.0,28.8
392373,Rangamati,1987,4,20,0.0,9.85,72.0,27.1
392374,Rangamati,1987,4,21,0.0,8.5,70.0,29.1
392375,Rangamati,1987,4,22,0.0,7.7,76.0,28.5
392376,Rangamati,1987,4,23,0.0,10.1,80.0,24.9
392377,Rangamati,1987,4,24,16.0,9.5,87.0,22.7
392378,Rangamati,1987,4,25,44.0,10.1,92.0,20.9
392379,Rangamati,1987,4,26,42.0,8.9,78.0,23.8
392380,Rangamati,1987,4,27,0.0,7.9,77.0,24.8
392381,Rangamati,1987,4,28,0.0,8.3,76.0,25.4
392382,Rangamati,1987,4,29,0.0,7.8,80.0,24.6
392383,Rangamati,1987,4,30,0.0,5.75,76.0,24.3
392384,Rangamati,1987,5,1,9.0,2.0,74.0,25.6
392385,Rangamati,1987,5,2,0.0,5.05,72.0,25.9
392386,Rangamati,1987,5,3,0.0,5.05,76.0,25.8
392387,Rangamati,1987,5,4,0.0,1.65,79.0,26.0
392388,Rangamati,1987,5,5,0.0,6.15,72.0,26.7
392389,Rangamati,1987,5,6,0.0,9.05,85.0,24.5
392390,Rangamati,1987,5,7,0.0,9.3,90.0,22.3
392391,Rangamati,1987,5,8,24.0,8.35,76.0,27.1
392392,Rangamati,1987,5,9,39.0,7.7,77.0,27.9
392393,Rangamati,1987,5,10,0.0,7.4,80.0,28.5
392394,Rangamati,1987,5,11,0.0,7.35,74.0,28.7
392395,Rangamati,1987,5,12,0.0,7.85,66.0,29.2
392396,Rangamati,1987,5,13,0.0,7.9,66.0,29.6
392397,Rangamati,1987,5,14,0.0,5.8,70.0,29.6
392398,Rangamati,1987,5,15,0.0,7.6,69.0,30.7
392399,Rangamati,1987,5,16,0.0,8.85,70.0,30.1
392400,Rangamati,1987,5,17,0.0,9.25,75.0,30.2
392401,Rangamati,1987,5,18,0.0,7.05,76.0,30.1
392402,Rangamati,1987,5,19,0.0,7.95,77.0,29.8
392403,Rangamati,1987,5,20,0.0,8.0,74.0,30.2
392404,Rangamati,1987,5,21,0.0,8.9,72.0,30.1
392405,Rangamati,1987,5,22,0.0,8.05,76.0,29.6
392406,Rangamati,1987,5,23,9.0,8.5,76.0,30.5
392407,Rangamati,1987,5,24,0.0,5.35,79.0,29.5
392408,Rangamati,1987,5,25,18.0,3.95,76.0,28.5
392409,Rangamati,1987,5,26,0.0,7.8,77.0,30.3
392410,Rangamati,1987,5,27,0.0,8.7,74.0,30.8
