,Station,Year,Month,Day,Rainfall,Sunshine,Humidity,Temperature
405778,Rangpur,1979,1,1,0.0,8.15,68.0,16.7
405779,Rangpur,1979,1,2,1.0,5.8,67.0,16.4
405780,Rangpur,1979,1,3,0.0,5.2,68.0,16.2
405781,Rangpur,1979,1,4,0.0,6.65,68.0,16.1
405782,Rangpur,1979,1,5,0.0,8.35,67.0,16.2
405783,Rangpur,1979,1,6,0.0,9.2,69.0,16.1
405784,Rangpur,1979,1,7,0.0,9.4,67.0,16.4
405785,Rangpur,1979,1,8,0.0,9.15,68.0,16.1
405786,Rangpur,1979,1,9,0.0,8.5,60.0,16.0
405787,Rangpur,1979,1,10,0.0,7.75,65.0,16.2
405788,Rangpur,1979,1,11,0.0,6.35,62.0,15.9
405789,Rangpur,1979,1,12,0.0,7.45,68.0,16.1
405790,Rangpur,1979,1,13,0.0,8.25,65.0,16.9
405791,Rangpur,1979,1,14,0.0,7.15,66.0,18.0
405792,Rangpur,1979,1,15,0.0,8.5,61.0,19.5
405793,Rangpur,1979,1,16,0.0,9.25,70.0,18.6
405794,Rangpur,1979,1,17,0.0,8.25,63.0,19.7
405795,Rangpur,1979,1,18,0.0,7.45,68.0,20.1
405796,Rangpur,1979,1,19,0.0,7.75,72.0,20.6
405797,Rangpur,1979,1,20,0.0,7.7,82.0,17.7
405798,Rangpur,1979,1,21,0.0,7.05,76.0,18.4
405799,Rangpur,1979,1,22,0.0,7.8,81.0,17.5
405800,Rangpur,1979,1,23,0.0,7.9,71.0,17.9
405801,Rangpur,1979,1,24,0.0,7.3,69.0,18.0
405802,Rangpur,1979,1,25,0.0,7.75,68.0,18.5
405803,Rangpur,1979,1,26,0.0,6.25,71.0,18.4
405804,Rangpur,1979,1,27,0.0,7.4,65.0,18.4
405805,Rangpur,1979,1,28,0.0,7.2,63.0,18.3
405806,Rangpur,1979,1,29,0.0,8.3,82.0,15.0
405807,Rangpur,1979,1,30,0.0,9.15,73.0,20.2
405808,Rangpur,1979,1,31,0.0,8.95,69.0,18.2
405809,Rangpur,1979,2,1,0.0,7.85,77.0,17.0
405810,Rangpur,1979,2,2,1.0,8.15,70.0,18.4
405811,Rangpur,1979,2,3,0.0,7.45,66.0,16.2
405812,Rangpur,1979,2,4,0.0,6.4,60.0,15.4
405813,Rangpur,1979,2,5,0.0,7.55,62.0,17.5
405814,Rangpur,1979,2,6,0.0,8.9,67.0,17.9
405815,Rangpur,1979,2,7,0.0,8.0,74.0,18.7
405816,Rangpur,1979,2,8,9.0,4.5,76.0,17.1
405817,Rangpur,1979,2,9,0.0,4.35,69.0,16.7
405818,Rangpur,1979,2,10,0.0,8.35,76.0,16.3
405819,Rangpur,1979,2,11,0.0,8.95,63.0,18.2
405820,Rangpur,1979,2,12,0.0,8.65,63.0,18.7
405821,Rangpur,1979,2,13,0.0,7.3,66.0,18.8
405822,Rangpur,1979,2,14,0.0,8.4,61.0,20.0
405823,Rangpur,1979,2,15,0.0,7.55,60.0,20.4
405824,Rangpur,1979,2,16,0.0,5.4,58.0,20.7
405825,Rangpur,1979,2,17,0.0,6.3,52.0,21.9
405826,Rangpur,1979,2,18,0.0,5.05,59.0,21.8
405827,Rangpur,1979,2,19,0.0,7.3,55.0,22.5
405828,Rangpur,1979,2,20,5.0,7.85,61.0,22.9
405829,Rangpur,1979,2,21,0.0,9.0,52.0,21.8
405830,Rangpur,1979,2,22,0.0,8.25,60.0,18.0
405831,Rangpur,1979,2,23,0.0,8.0,59.0,18.9
405832,Rangpur,1979,2,24,0.0,2.1,57.0,19.2
405833,Rangpur,1979,2,25,0.0,6.4,50.0,18.9
405834,Rangpur,1979,2,26,0.0,8.1,48.0,19.8
405835,Rangpur,1979,2,27,0.0,3.5,49.0,19.9
405836,Rangpur,1979,2,28,0.0,4.45,43.0,21.1
405837,Rangpur,1979,3,1,0.0,5.45,45.0,21.0
405838,Rangpur,1979,3,2,0.0,8.7,49.0,20.2
405839,Rangpur,1979,3,3,0.0,8.0,51.0,20.9
405840,Rangpur,1979,3,4,0.0,3.45,59.0,21.0
405841,Rangpur,1979,3,5,0.0,5.6,55.0,23.3
405842,Rangpur,1979,3,6,0.0,5.75,50.0,24.6
405843,Rangpur,1979,3,7,0.0,7.75,43.0,26.8
405844,Rangpur,1979,3,8,0.0,8.55,46.0,25.6
405845,Rangpur,1979,3,9,4.0,7.7,59.0,22.1
405846,Rangpur,1979,3,10,0.0,7.15,37.0,18.2
405847,Rangpur,1979,3,11,0.0,8.2,47.0,19.2
405848,Rangpur,1979,3,12,0.0,8.25,48.0,20.4
405849,Rangpur,1979,3,13,0.0,9.3,42.0,21.5
405850,Rangpur,1979,3,14,0.0,9.25,36.0,22.1
405851,Rangpur,1979,3,15,0.0,6.65,36.0,23.7
405852,Rangpur,1979,3,16,0.0,7.45,43.0,22.6
405853,Rangpur,1979,3,17,0.0,8.3,38.0,25.0
405854,Rangpur,1979,3,18,0.0,6.6,53.0,24.7
405855,Rangpur,1979,3,19,0.0,8.5,48.0,24.9
405856,Rangpur,1979,3,20,0.0,8.35,100.0,37.7
405857,Rangpur,1979,3,21,0.0,9.15,36.0,26.1
405858,Rangpur,1979,3,22,0.0,8.65,44.0,25.3
405859,Rangpur,1979,3,23,0.0,8.95,43.0,26.3
405860,Rangpur,1979,3,24,0.0,9.0,41.0,27.7
405861,Rangpur,1979,3,25,0.0,9.0,38.0,27.3
405862,Rangpur,1979,3,26,0.0,5.0,36.0,27.6
405863,Rangpur,1979,3,27,0.0,6.15,32.0,28.1
405864,Rangpur,1979,3,28,0.0,8.5,30.0,29.3
405865,Rangpur,1979,3,29,0.0,7.4,39.0,27.5
405866,Rangpur,1979,3,30,0.0,2.25,44.0,28.0
405867,Rangpur,1979,3,31,0.0,7.1,52.0,27.9
405868,Rangpur,1979,4,1,0.0,8.35,51.0,28.3
405869,Rangpur,1979,4,2,0.0,8.3,40.0,29.2
405870,Rangpur,1979,4,3,0.0,5.95,35.0,29.0
405871,Rangpur,1979,4,4,0.0,6.2,38.0,31.0
405872,Rangpur,1979,4,5,0.0,4.1,41.0,29.2
405873,Rangpur,1979,4,6,1.0,7.85,38.0,29.0
405874,Rangpur,1979,4,7,0.0,8.75,45.0,28.8
405875,Rangpur,1979,4,8,0.0,8.5,44.0,28.7
405876,Rangpur,1979,4,9,0.0,6.8,49.0,29.5
405877,Rangpur,1979,4,10,0.0,5.55,52.0,29.4
405878,Rangpur,1979,4,11,5.0,7.2,62.0,27.2
405879,Rangpur,1979,4,12,0.0,6.75,66.0,26.7
405880,Rangpur,1979,4,13,3.0,6.75,58.0,26.8
405881,Rangpur,1979,4,14,0.0,8.45,57.0,28.5
405882,Rangpur,1979,4,15,0.0,7.4,58.0,28.7
405883,Rangpur,1979,4,16,8.0,7.85,72.0,25.0
405884,Rangpur,1979,4,17,1.0,6.45,70.0,25.8
405885,Rangpur,1979,4,18,3.0,7.95,65.0,25.7
405886,Rangpur,1979,4,19,0.0,7.6,61.0,28.4
405887,Rangpur,1979,4,20,0.0,5.65,74.0,26.7
405888,Rangpur,1979,4,21,3.0,5.4,72.0,27.1
405889,Rangpur,1979,4,22,0.0,5.5,59.0,28.7
405890,Rangpur,1979,4,23,0.0,8.7,59.0,28.2
405891,Rangpur,1979,4,24,0.0,9.7,51.0,28.4
405892,Rangpur,1979,4,25,0.0,9.2,51.0,31.6
405893,Rangpur,1979,4,26,0.0,7.4,46.0,32.6
405894,Rangpur,1979,4,27,0.0,5.8,58.0,30.8
405895,Rangpur,1979,4,28,0.0,8.65,57.0,29.8
405896,Rangpur,1979,4,29,0.0,8.75,80.0,26.5
405897,Rangpur,1979,4,30,12.0,8.1,77.0,24.2
405898,Rangpur,1979,5,1,15.0,7.6,82.0,24.3
405899,Rangpur,1979,5,2,4.0,6.85,86.0,24.3
