,Station,Year,Month,Day,Rainfall,Sunshine,Humidity,Temperature
422214,Sandwip,1987,1,1,0.0,9.9,73.0,18.7
422215,Sandwip,1987,1,2,0.0,9.7,66.0,18.3
422216,Sandwip,1987,1,3,0.0,9.2,64.0,18.1
422217,Sandwip,1987,1,4,0.0,9.7,73.0,17.9
422218,Sandwip,1987,1,5,0.0,9.8,77.0,18.2
422219,Sandwip,1987,1,6,0.0,9.9,73.0,20.0
422220,Sandwip,1987,1,7,0.0,7.4,83.0,20.5
422221,Sandwip,1987,1,8,0.0,7.6,83.0,21.5
422222,Sandwip,1987,1,9,0.0,6.6,85.0,21.2
422223,Sandwip,1987,1,10,0.0,7.3,77.0,21.4
422224,Sandwip,1987,1,11,0.0,5.2,77.0,22.5
422225,Sandwip,1987,1,12,0.0,1.8,83.0,20.2
422226,Sandwip,1987,1,13,0.0,9.9,78.0,21.0
422227,Sandwip,1987,1,14,0.0,9.7,74.0,20.4
422228,Sandwip,1987,1,15,0.0,9.5,73.0,21.0
422229,Sandwip,1987,1,16,0.0,9.7,76.0,20.0
422230,Sandwip,1987,1,17,0.0,10.2,76.0,20.0
422231,Sandwip,1987,1,18,0.0,9.7,74.0,20.5
422232,Sandwip,1987,1,19,0.0,9.6,70.0,21.1
422233,Sandwip,1987,1,20,0.0,10.1,72.0,20.1
422234,Sandwip,1987,1,21,0.0,7.1,80.0,17.8
422235,Sandwip,1987,1,22,0.0,5.8,87.0,18.3
422236,Sandwip,1987,1,23,0.0,8.7,81.0,20.4
422237,Sandwip,1987,1,24,0.0,9.9,76.0,20.7
422238,Sandwip,1987,1,25,0.0,10.0,77.0,20.1
422239,Sandwip,1987,1,26,0.0,10.4,78.0,20.5
422240,Sandwip,1987,1,27,0.0,10.0,80.0,19.9
422241,Sandwip,1987,1,28,0.0,9.4,79.0,19.4
422242,Sandwip,1987,1,29,0.0,9.2,81.0,19.9
422243,Sandwip,1987,1,30,0.0,9.3,78.0,20.7
422244,Sandwip,1987,1,31,0.0,9.9,73.0,21.2
422245,Sandwip,1987,2,1,0.0,7.9,75.0,22.0
422246,Sandwip,1987,2,2,0.0,0.3,81.0,21.6
422247,Sandwip,1987,2,3,0.0,0.0,86.0,20.0
422248,Sandwip,1987,2,4,0.0,0.6,80.0,20.1
422249,Sandwip,1987,2,5,0.0,6.8,82.0,20.0
422250,Sandwip,1987,2,6,0.0,10.2,72.0,20.4
422251,Sandwip,1987,2,7,0.0,10.3,74.0,20.5
422252,Sandwip,1987,2,8,0.0,9.5,76.0,20.8
