,Station,Year,Month,Day,Rainfall,Sunshine,Humidity,Temperature
435728,Satkhira,1984,1,1,0.0,9.3,62.0,17.9
435729,Satkhira,1984,1,2,0.0,9.0,64.0,19.2
435730,Satkhira,1984,1,3,1.0,5.6,70.0,19.9
435731,Satkhira,1984,1,4,1.0,9.2,67.0,19.6
435732,Satkhira,1984,1,5,0.0,9.4,62.0,20.3
435733,Satkhira,1984,1,6,0.0,8.8,60.0,19.7
435734,Satkhira,1984,1,7,0.0,9.3,61.0,20.6
435735,Satkhira,1984,1,8,0.0,9.8,58.0,20.3
435736,Satkhira,1984,1,9,0.0,8.8,54.0,21.3
435737,Satkhira,1984,1,10,0.0,6.0,57.0,19.7
435738,Satkhira,1984,1,11,0.0,9.6,56.0,20.5
435739,Satkhira,1984,1,12,0.0,9.4,63.0,20.8
435740,Satkhira,1984,1,13,0.0,9.2,68.0,20.1
435741,Satkhira,1984,1,14,0.0,1.1,82.0,20.1
435742,Satkhira,1984,1,15,1.0,8.8,73.0,21.0
435743,Satkhira,1984,1,16,0.0,7.5,74.0,20.2
435744,Satkhira,1984,1,17,2.0,8.2,68.0,20.1
435745,Satkhira,1984,1,18,0.0,9.6,57.0,17.4
435746,Satkhira,1984,1,19,0.0,9.0,61.0,18.3
435747,Satkhira,1984,1,20,0.0,8.5,68.0,21.3
435748,Satkhira,1984,1,21,1.0,8.9,63.0,20.9
435749,Satkhira,1984,1,22,0.0,8.4,60.0,20.2
435750,Satkhira,1984,1,23,13.0,1.8,86.0,18.8
435751,Satkhira,1984,1,24,22.0,8.3,76.0,19.7
435752,Satkhira,1984,1,25,0.0,9.6,64.0,19.1
435753,Satkhira,1984,1,26,0.0,9.0,65.0,19.5
435754,Satkhira,1984,1,27,0.0,9.0,63.0,21.1
435755,Satkhira,1984,1,28,0.0,1.9,65.0,20.8
435756,Satkhira,1984,1,29,0.0,5.9,65.0,22.3
435757,Satkhira,1984,1,30,0.0,7.8,64.0,20.7
435758,Satkhira,1984,1,31,0.0,10.1,55.0,19.6
435759,Satkhira,1984,2,1,0.0,9.8,58.0,20.0
435760,Satkhira,1984,2,2,0.0,9.0,65.0,22.0
435761,Satkhira,1984,2,3,0.0,8.9,69.0,24.2
435762,Satkhira,1984,2,4,0.0,9.5,61.0,24.2
435763,Satkhira,1984,2,5,0.0,9.3,52.0,23.2
435764,Satkhira,1984,2,6,0.0,0.9,59.0,18.9
435765,Satkhira,1984,2,7,0.0,0.0,60.0,19.2
435766,Satkhira,1984,2,8,0.0,3.5,65.0,18.7
435767,Satkhira,1984,2,9,1.0,10.0,61.0,20.7
435768,Satkhira,1984,2,10,0.0,9.2,60.0,21.3
435769,Satkhira,1984,2,11,0.0,7.2,62.0,21.8
435770,Satkhira,1984,2,12,0.0,9.4,55.0,23.8
435771,Satkhira,1984,2,13,0.0,9.2,56.0,24.0
435772,Satkhira,1984,2,14,0.0,0.0,61.0,20.3
435773,Satkhira,1984,2,15,0.0,0.0,67.0,19.8
435774,Satkhira,1984,2,16,0.0,9.7,60.0,22.6
435775,Satkhira,1984,2,17,0.0,8.6,60.0,22.1
435776,Satkhira,1984,2,18,0.0,7.9,57.0,24.9
435777,Satkhira,1984,2,19,0.0,9.3,56.0,26.4
435778,Satkhira,1984,2,20,0.0,10.3,57.0,26.5
435779,Satkhira,1984,2,21,0.0,8.5,57.0,26.5
435780,Satkhira,1984,2,22,0.0,9.1,67.0,25.7
435781,Satkhira,1984,2,23,0.0,9.3,40.0,21.3
435782,Satkhira,1984,2,24,0.0,10.4,50.0,19.5
435783,Satkhira,1984,2,25,0.0,10.4,44.0,19.8
435784,Satkhira,1984,2,26,0.0,10.6,46.0,19.9
435785,Satkhira,1984,2,27,0.0,10.5,47.0,21.0
435786,Satkhira,1984,2,28,0.0,10.2,47.0,21.8
435787,Satkhira,1984,2,29,0.0,10.3,43.0,23.3
435788,Satkhira,1984,3,1,0.0,11.6,42.0,23.6
435789,Satkhira,1984,3,2,0.0,10.8,50.0,24.2
435790,Satkhira,1984,3,3,0.0,11.5,42.0,24.8
435791,Satkhira,1984,3,4,0.0,11.2,42.0,24.7
435792,Satkhira,1984,3,5,0.0,8.3,47.0,25.9
435793,Satkhira,1984,3,6,0.0,10.2,38.0,27.1
435794,Satkhira,1984,3,7,0.0,10.4,50.0,27.1
435795,Satkhira,1984,3,8,0.0,10.3,49.0,27.0
435796,Satkhira,1984,3,9,0.0,10.7,51.0,27.9
435797,Satkhira,1984,3,10,0.0,10.9,44.0,27.8
435798,Satkhira,1984,3,11,0.0,10.6,46.0,28.8
435799,Satkhira,1984,3,12,0.0,9.7,62.0,29.1
435800,Satkhira,1984,3,13,0.0,10.9,63.0,30.2
435801,Satkhira,1984,3,14,0.0,10.4,62.0,30.2
435802,Satkhira,1984,3,15,0.0,10.1,62.0,30.0
435803,Satkhira,1984,3,16,0.0,10.1,57.0,30.1
435804,Satkhira,1984,3,17,0.0,9.6,54.0,30.5
435805,Satkhira,1984,3,18,0.0,11.3,43.0,31.6
435806,Satkhira,1984,3,19,0.0,10.6,44.0,31.7
435807,Satkhira,1984,3,20,0.0,10.8,41.0,29.6
435808,Satkhira,1984,3,21,0.0,10.9,39.0,28.6
435809,Satkhira,1984,3,22,0.0,10.7,41.0,28.8
435810,Satkhira,1984,3,23,0.0,11.0,50.0,30.0
435811,Satkhira,1984,3,24,0.0,11.1,66.0,29.2
435812,Satkhira,1984,3,25,0.0,11.1,66.0,30.1
435813,Satkhira,1984,3,26,0.0,9.4,67.0,30.3
435814,Satkhira,1984,3,27,0.0,5.8,69.0,29.6
435815,Satkhira,1984,3,28,0.0,9.9,65.0,31.0
435816,Satkhira,1984,3,29,0.0,10.8,62.0,31.7
435817,Satkhira,1984,3,30,0.0,10.4,65.0,31.3
435818,Satkhira,1984,3,31,0.0,10.3,63.0,32.2
435819,Satkhira,1984,4,1,0.0,11.1,58.0,32.5
435820,Satkhira,1984,4,2,0.0,10.6,56.0,31.8
435821,Satkhira,1984,4,3,0.0,10.8,66.0,30.8
435822,Satkhira,1984,4,4,0.0,10.3,69.0,31.1
435823,Satkhira,1984,4,5,0.0,9.7,63.0,31.9
435824,Satkhira,1984,4,6,0.0,7.8,59.0,32.0
435825,Satkhira,1984,4,7,0.0,6.7,67.0,30.4
435826,Satkhira,1984,4,8,25.0,8.3,76.0,28.8
435827,Satkhira,1984,4,9,17.0,11.4,72.0,30.2
435828,Satkhira,1984,4,10,7.0,10.5,68.0,28.2
435829,Satkhira,1984,4,11,0.0,11.5,63.0,29.5
435830,Satkhira,1984,4,12,0.0,11.3,49.0,30.0
435831,Satkhira,1984,4,13,0.0,10.8,53.0,30.8
435832,Satkhira,1984,4,14,0.0,11.3,49.0,31.8
435833,Satkhira,1984,4,15,0.0,11.0,70.0,31.3
435834,Satkhira,1984,4,16,0.0,10.5,70.0,31.9
435835,Satkhira,1984,4,17,0.0,10.2,69.0,32.0
435836,Satkhira,1984,4,18,0.0,8.6,68.0,32.6
435837,Satkhira,1984,4,19,0.0,9.5,70.0,32.3
435838,Satkhira,1984,4,20,0.0,8.7,70.0,31.9
435839,Satkhira,1984,4,21,0.0,9.9,72.0,31.8
435840,Satkhira,1984,4,22,0.0,3.5,79.0,28.4
435841,Satkhira,1984,4,23,12.0,10.6,60.0,31.1
435842,Satkhira,1984,4,24,0.0,3.6,80.0,26.9
435843,Satkhira,1984,4,25,10.0,10.4,68.0,29.7
435844,Satkhira,1984,4,26,0.0,10.9,63.0,31.6
435845,Satkhira,1984,4,27,1.0,8.7,69.0,31.5
435846,Satkhira,1984,4,28,22.0,10.7,67.0,31.2
435847,Satkhira,1984,4,29,8.0,8.7,70.0,30.5
435848,Satkhira,1984,4,30,0.0,7.1,73.0,30.1
435849,Satkhira,1984,5,1,9.0,9.1,73.0,31.4
435850,Satkhira,1984,5,2,4.0,10.4,73.0,31.7
435851,Satkhira,1984,5,3,0.0,10.1,70.0,32.2
435852,Satkhira,1984,5,4,0.0,11.2,71.0,31.6
435853,Satkhira,1984,5,5,0.0,11.6,70.0,31.9
435854,Satkhira,1984,5,6,0.0,11.6,67.0,32.1
