,Station,Year,Month,Day,Rainfall,Sunshine,Humidity,Temperature
450338,Sitakunda,1977,1,1,0.0,9.2,69.0,19.0
450339,Sitakunda,1977,1,2,0.0,9.55,62.0,17.4
450340,Sitakunda,1977,1,3,0.0,9.7,61.0,17.5
450341,Sitakunda,1977,1,4,0.0,9.15,59.0,16.8
450342,Sitakunda,1977,1,5,0.0,9.3,71.0,15.6
450343,Sitakunda,1977,1,6,0.0,9.5,78.0,15.9
450344,Sitakunda,1977,1,7,0.0,8.65,67.0,15.6
450345,Sitakunda,1977,1,8,0.0,8.6,59.0,16.7
450346,Sitakunda,1977,1,9,0.0,8.5,60.0,17.0
450347,Sitakunda,1977,1,10,0.0,8.2,62.0,17.3
450348,Sitakunda,1977,1,11,0.0,8.8,75.0,17.7
450349,Sitakunda,1977,1,12,0.0,8.95,69.0,16.5
450350,Sitakunda,1977,1,13,0.0,8.35,74.0,17.1
450351,Sitakunda,1977,1,14,0.0,7.15,68.0,16.8
450352,Sitakunda,1977,1,15,0.0,8.1,69.0,19.0
450353,Sitakunda,1977,1,16,0.0,6.9,71.0,18.9
450354,Sitakunda,1977,1,17,0.0,8.8,75.0,19.3
450355,Sitakunda,1977,1,18,0.0,8.65,78.0,20.6
450356,Sitakunda,1977,1,19,0.0,7.65,83.0,19.9
450357,Sitakunda,1977,1,20,0.0,6.4,83.0,20.1
450358,Sitakunda,1977,1,21,0.0,8.95,62.0,20.2
450359,Sitakunda,1977,1,22,0.0,8.95,65.0,21.4
450360,Sitakunda,1977,1,23,0.0,9.15,67.0,20.8
450361,Sitakunda,1977,1,24,0.0,9.45,75.0,20.3
450362,Sitakunda,1977,1,25,0.0,9.65,68.0,19.4
450363,Sitakunda,1977,1,26,0.0,9.1,69.0,20.0
450364,Sitakunda,1977,1,27,0.0,8.95,69.0,20.8
450365,Sitakunda,1977,1,28,0.0,6.45,78.0,19.7
450366,Sitakunda,1977,1,29,0.0,6.75,60.0,19.8
450367,Sitakunda,1977,1,30,0.0,7.6,62.0,20.5
450368,Sitakunda,1977,1,31,0.0,7.0,67.0,21.6
450369,Sitakunda,1977,2,1,0.0,9.05,69.0,23.0
450370,Sitakunda,1977,2,2,0.0,5.1,62.0,23.3
450371,Sitakunda,1977,2,3,0.0,7.7,61.0,24.2
450372,Sitakunda,1977,2,4,0.0,9.45,59.0,20.5
450373,Sitakunda,1977,2,5,0.0,9.8,71.0,19.3
450374,Sitakunda,1977,2,6,0.0,8.95,78.0,19.2
450375,Sitakunda,1977,2,7,0.0,6.55,67.0,21.0
450376,Sitakunda,1977,2,8,0.0,7.35,59.0,22.7
450377,Sitakunda,1977,2,9,0.0,8.8,60.0,20.8
450378,Sitakunda,1977,2,10,0.0,8.35,62.0,20.3
450379,Sitakunda,1977,2,11,0.0,9.6,75.0,20.1
450380,Sitakunda,1977,2,12,0.0,9.7,69.0,20.8
450381,Sitakunda,1977,2,13,0.0,9.75,74.0,20.7
450382,Sitakunda,1977,2,14,0.0,9.7,68.0,22.3
450383,Sitakunda,1977,2,15,0.0,9.7,69.0,24.2
