,Station,Year,Month,Day,Rainfall,Sunshine,Humidity,Temperature
467504,Srimangal,1986,1,1,0.0,9.5,78.0,17.5
467505,Srimangal,1986,1,2,0.0,9.2,80.0,17.1
467506,Srimangal,1986,1,3,0.0,8.7,75.0,18.3
467507,Srimangal,1986,1,4,0.0,9.4,87.0,17.4
467508,Srimangal,1986,1,5,0.0,9.7,83.0,17.6
467509,Srimangal,1986,1,6,0.0,9.7,69.0,19.0
467510,Srimangal,1986,1,7,0.0,3.1,69.0,20.0
467511,Srimangal,1986,1,8,0.0,5.8,72.0,19.7
467512,Srimangal,1986,1,9,0.0,7.8,71.0,20.6
467513,Srimangal,1986,1,10,0.0,7.6,80.0,19.5
467514,Srimangal,1986,1,11,0.0,7.3,68.0,20.9
467515,Srimangal,1986,1,12,0.0,4.9,77.0,20.2
467516,Srimangal,1986,1,13,0.0,8.2,74.0,20.8
467517,Srimangal,1986,1,14,0.0,9.5,71.0,19.6
467518,Srimangal,1986,1,15,0.0,9.5,72.0,18.7
467519,Srimangal,1986,1,16,0.0,9.3,92.0,16.3
467520,Srimangal,1986,1,17,3.0,9.3,77.0,17.3
467521,Srimangal,1986,1,18,0.0,9.7,78.0,17.5
467522,Srimangal,1986,1,19,0.0,9.5,74.0,17.7
467523,Srimangal,1986,1,20,0.0,9.0,65.0,19.0
467524,Srimangal,1986,1,21,0.0,4.4,64.0,18.7
467525,Srimangal,1986,1,22,0.0,4.8,70.0,18.2
467526,Srimangal,1986,1,23,0.0,7.2,62.0,19.2
467527,Srimangal,1986,1,24,0.0,9.0,67.0,18.7
467528,Srimangal,1986,1,25,0.0,6.6,64.0,19.5
467529,Srimangal,1986,1,26,0.0,9.5,67.0,19.3
467530,Srimangal,1986,1,27,0.0,9.3,63.0,20.7
467531,Srimangal,1986,1,28,0.0,9.0,62.0,20.5
467532,Srimangal,1986,1,29,0.0,9.2,54.0,21.1
467533,Srimangal,1986,1,30,0.0,9.2,70.0,19.2
467534,Srimangal,1986,1,31,0.0,9.7,69.0,22.5
467535,Srimangal,1986,2,1,0.0,9.6,70.0,22.6
467536,Srimangal,1986,2,2,0.0,4.6,66.0,21.1
467537,Srimangal,1986,2,3,0.0,0.0,59.0,20.4
467538,Srimangal,1986,2,4,0.0,3.5,60.0,20.1
467539,Srimangal,1986,2,5,0.0,5.8,59.0,20.4
467540,Srimangal,1986,2,6,0.0,7.5,64.0,21.0
467541,Srimangal,1986,2,7,0.0,9.1,56.0,22.5
467542,Srimangal,1986,2,8,0.0,9.5,60.0,22.9
467543,Srimangal,1986,2,9,0.0,9.4,60.0,22.6
467544,Srimangal,1986,2,10,0.0,9.4,64.0,22.5
467545,Srimangal,1986,2,11,0.0,9.8,59.0,22.6
467546,Srimangal,1986,2,12,0.0,9.5,63.0,22.5
467547,Srimangal,1986,2,13,0.0,9.9,65.0,22.3
467548,Srimangal,1986,2,14,0.0,10.0,59.0,22.6
467549,Srimangal,1986,2,15,0.0,10.0,74.0,21.1
467550,Srimangal,1986,2,16,2.0,9.7,62.0,22.1
467551,Srimangal,1986,2,17,0.0,9.7,55.0,20.3
467552,Srimangal,1986,2,18,0.0,9.9,52.0,19.5
467553,Srimangal,1986,2,19,0.0,10.1,56.0,19.8
467554,Srimangal,1986,2,20,0.0,9.8,56.0,21.6
467555,Srimangal,1986,2,21,0.0,10.0,61.0,22.1
467556,Srimangal,1986,2,22,0.0,10.0,60.0,22.7
467557,Srimangal,1986,2,23,0.0,10.3,55.0,25.3
467558,Srimangal,1986,2,24,0.0,10.4,49.0,24.4
467559,Srimangal,1986,2,25,0.0,10.4,49.0,21.8
467560,Srimangal,1986,2,26,0.0,10.4,45.0,21.5
467561,Srimangal,1986,2,27,0.0,2.3,53.0,21.2
467562,Srimangal,1986,2,28,0.0,8.6,45.0,22.2
467563,Srimangal,1986,3,1,0.0,7.2,52.0,22.8
467564,Srimangal,1986,3,2,0.0,8.6,53.0,22.9
467565,Srimangal,1986,3,3,0.0,9.4,52.0,23.6
467566,Srimangal,1986,3,4,0.0,9.8,47.0,23.6
467567,Srimangal,1986,3,5,0.0,4.4,49.0,23.7
467568,Srimangal,1986,3,6,0.0,9.6,47.0,24.7
467569,Srimangal,1986,3,7,0.0,9.4,55.0,25.3
467570,Srimangal,1986,3,8,0.0,7.7,56.0,26.2
467571,Srimangal,1986,3,9,0.0,8.2,54.0,26.7
467572,Srimangal,1986,3,10,0.0,3.2,53.0,28.2
467573,Srimangal,1986,3,11,0.0,1.9,54.0,29.0
467574,Srimangal,1986,3,12,0.0,0.7,53.0,29.6
467575,Srimangal,1986,3,13,0.0,8.4,54.0,30.2
467576,Srimangal,1986,3,14,0.0,9.2,56.0,29.9
467577,Srimangal,1986,3,15,0.0,7.8,49.0,30.7
467578,Srimangal,1986,3,16,19.0,7.3,62.0,27.0
467579,Srimangal,1986,3,17,0.0,7.6,44.0,26.3
467580,Srimangal,1986,3,18,0.0,6.0,48.0,25.8
467581,Srimangal,1986,3,19,0.0,8.7,50.0,26.7
467582,Srimangal,1986,3,20,0.0,8.8,61.0,28.2
467583,Srimangal,1986,3,21,0.0,9.1,43.0,28.2
467584,Srimangal,1986,3,22,0.0,4.2,43.0,27.3
467585,Srimangal,1986,3,23,0.0,7.2,56.0,28.3
467586,Srimangal,1986,3,24,0.0,6.5,46.0,30.6
467587,Srimangal,1986,3,25,0.0,9.1,60.0,26.2
467588,Srimangal,1986,3,26,1.0,9.2,53.0,28.5
467589,Srimangal,1986,3,27,0.0,6.8,44.0,28.5
467590,Srimangal,1986,3,28,0.0,7.5,43.0,29.8
467591,Srimangal,1986,3,29,0.0,9.1,43.0,32.0
467592,Srimangal,1986,3,30,0.0,8.8,56.0,31.8
467593,Srimangal,1986,3,31,0.0,6.3,57.0,31.2
467594,Srimangal,1986,4,1,2.0,9.5,44.0,30.4
467595,Srimangal,1986,4,2,0.0,7.4,59.0,30.6
467596,Srimangal,1986,4,3,0.0,8.6,74.0,23.3
467597,Srimangal,1986,4,4,13.0,8.9,65.0,25.5
467598,Srimangal,1986,4,5,0.0,9.3,68.0,24.9
467599,Srimangal,1986,4,6,11.0,8.9,63.0,26.0
467600,Srimangal,1986,4,7,0.0,7.5,55.0,28.0
467601,Srimangal,1986,4,8,0.0,8.4,66.0,26.6
467602,Srimangal,1986,4,9,22.0,7.9,74.0,24.9
467603,Srimangal,1986,4,10,37.0,2.5,74.0,26.7
467604,Srimangal,1986,4,11,40.0,4.9,79.0,27.2
467605,Srimangal,1986,4,12,65.0,7.8,78.0,25.6
467606,Srimangal,1986,4,13,39.0,8.2,80.0,24.5
467607,Srimangal,1986,4,14,15.0,7.4,69.0,29.0
467608,Srimangal,1986,4,15,5.0,7.7,69.0,30.5
467609,Srimangal,1986,4,16,0.0,10.3,66.0,30.4
467610,Srimangal,1986,4,17,0.0,10.8,65.0,31.1
467611,Srimangal,1986,4,18,0.0,11.0,70.0,28.3
467612,Srimangal,1986,4,19,62.0,4.8,71.0,26.4
467613,Srimangal,1986,4,20,70.0,9.3,75.0,25.5
467614,Srimangal,1986,4,21,41.0,11.4,70.0,27.6
467615,Srimangal,1986,4,22,0.0,7.2,63.0,30.6
467616,Srimangal,1986,4,23,0.0,2.7,64.0,29.6
467617,Srimangal,1986,4,24,0.0,0.7,68.0,26.0
467618,Srimangal,1986,4,25,57.0,0.6,87.0,23.7
467619,Srimangal,1986,4,26,22.0,0.6,65.0,28.1
467620,Srimangal,1986,4,27,19.0,2.0,86.0,23.1
467621,Srimangal,1986,4,28,3.0,4.7,74.0,27.5
467622,Srimangal,1986,4,29,0.0,9.6,56.0,28.9
467623,Srimangal,1986,4,30,2.0,7.5,72.0,24.7
467624,Srimangal,1986,5,1,0.0,9.7,81.0,25.3
467625,Srimangal,1986,5,2,2.0,5.3,73.0,28.5
467626,Srimangal,1986,5,3,0.0,4.0,82.0,27.5
467627,Srimangal,1986,5,4,18.0,6.9,83.0,25.6
467628,Srimangal,1986,5,5,0.0,8.6,73.0,26.4
467629,Srimangal,1986,5,6,5.0,9.9,90.0,21.6
467630,Srimangal,1986,5,7,52.0,2.7,78.0,24.3
467631,Srimangal,1986,5,8,2.0,8.6,65.0,28.5
467632,Srimangal,1986,5,9,0.0,4.6,69.0,29.3
467633,Srimangal,1986,5,10,0.0,6.1,67.0,29.8
467634,Srimangal,1986,5,11,0.0,11.7,70.0,28.9
467635,Srimangal,1986,5,12,1.0,11.6,72.0,28.6
467636,Srimangal,1986,5,13,10.0,11.8,67.0,29.8
467637,Srimangal,1986,5,14,0.0,11.6,72.0,29.2
467638,Srimangal,1986,5,15,0.0,11.1,90.0,23.9
467639,Srimangal,1986,5,16,79.0,11.4,73.0,27.5
467640,Srimangal,1986,5,17,2.0,10.9,78.0,26.6
467641,Srimangal,1986,5,18,14.0,9.3,71.0,28.7
467642,Srimangal,1986,5,19,0.0,8.3,73.0,28.0
467643,Srimangal,1986,5,20,5.0,8.1,68.0,29.6
467644,Srimangal,1986,5,21,0.0,9.0,75.0,28.2
467645,Srimangal,1986,5,22,5.0,6.7,69.0,30.7
467646,Srimangal,1986,5,23,1.0,9.3,60.0,30.9
467647,Srimangal,1986,5,24,0.0,5.8,54.0,31.6
467648,Srimangal,1986,5,25,0.0,7.0,67.0,30.9
467649,Srimangal,1986,5,26,0.0,9.6,66.0,29.7
467650,Srimangal,1986,5,27,0.0,11.0,60.0,29.9
467651,Srimangal,1986,5,28,0.0,10.0,68.0,30.9
467652,Srimangal,1986,5,29,0.0,10.1,67.0,31.3
467653,Srimangal,1986,5,30,0.0,8.6,64.0,31.3
467654,Srimangal,1986,5,31,0.0,3.4,67.0,31.5
467655,Srimangal,1986,6,1,0.0,1.4,69.0,31.4
467656,Srimangal,1986,6,2,0.0,0.1,79.0,28.5
467657,Srimangal,1986,6,3,4.0,5.0,69.0,32.0
467658,Srimangal,1986,6,4,0.0,0.3,66.0,32.9
467659,Srimangal,1986,6,5,0.0,0.0,64.0,33.1
467660,Srimangal,1986,6,6,0.0,1.9,65.0,33.0
467661,Srimangal,1986,6,7,0.0,3.6,67.0,33.0
467662,Srimangal,1986,6,8,0.0,3.4,70.0,31.8
467663,Srimangal,1986,6,9,0.0,4.6,79.0,29.2
467664,Srimangal,1986,6,10,30.0,2.5,81.0,29.0
