,Station,Year,Month,Day,Rainfall,Sunshine,Humidity,Temperature
481383,Sydpur,2000,1,1,0.0,7.0,77.0,17.4
481384,Sydpur,2000,1,2,0.0,6.7,80.0,17.0
481385,Sydpur,2000,1,3,0.0,5.8,85.0,15.4
481386,Sydpur,2000,1,4,0.0,3.9,85.0,14.1
481387,Sydpur,2000,1,5,0.0,5.2,88.0,13.5
481388,Sydpur,2000,1,6,0.0,3.6,86.0,13.2
481389,Sydpur,2000,1,7,0.0,4.3,85.0,12.4
481390,Sydpur,2000,1,8,0.0,7.1,74.0,15.7
481391,Sydpur,2000,1,9,0.0,7.7,72.0,16.1
481392,Sydpur,2000,1,10,0.0,6.4,70.0,16.0
481393,Sydpur,2000,1,11,0.0,6.1,68.0,16.9
481394,Sydpur,2000,1,12,0.0,8.1,66.0,18.5
481395,Sydpur,2000,1,13,0.0,5.6,70.0,19.1
481396,Sydpur,2000,1,14,0.0,6.3,69.0,20.2
481397,Sydpur,2000,1,15,0.0,7.2,70.0,19.4
481398,Sydpur,2000,1,16,0.0,7.8,67.0,18.4
481399,Sydpur,2000,1,17,0.0,9.7,61.0,17.1
481400,Sydpur,2000,1,18,0.0,7.7,66.0,17.0
481401,Sydpur,2000,1,19,0.0,6.8,69.0,17.6
481402,Sydpur,2000,1,20,0.0,0.0,80.0,15.5
481403,Sydpur,2000,1,21,0.0,6.8,74.0,17.1
481404,Sydpur,2000,1,22,0.0,8.1,76.0,17.2
481405,Sydpur,2000,1,23,0.0,1.8,79.0,17.2
481406,Sydpur,2000,1,24,0.0,4.5,79.0,17.3
481407,Sydpur,2000,1,25,0.0,8.2,74.0,17.9
481408,Sydpur,2000,1,26,0.0,9.7,72.0,18.0
481409,Sydpur,2000,1,27,0.0,8.2,71.0,18.9
481410,Sydpur,2000,1,28,0.0,5.9,69.0,19.5
481411,Sydpur,2000,1,29,0.0,0.0,75.0,17.4
481412,Sydpur,2000,1,30,0.0,6.7,80.0,16.5
481413,Sydpur,2000,1,31,0.0,8.5,75.0,17.1
481414,Sydpur,2000,2,1,0.0,7.5,68.0,18.4
481415,Sydpur,2000,2,2,0.0,0.0,89.0,15.1
481416,Sydpur,2000,2,3,0.0,9.5,81.0,16.9
