,Station,Year,Month,Day,Rainfall,Sunshine,Humidity,Temperature
490149,Sylhet,1961,1,1,1.69,3.43,78.48,22.61
490150,Sylhet,1961,1,2,1.78,3.45,78.51,22.63
490151,Sylhet,1961,1,3,1.87,3.47,78.54,22.65
490152,Sylhet,1961,1,4,1.96,3.49,78.57,22.66
490153,Sylhet,1961,1,5,2.05,3.5,78.6,22.68
490154,Sylhet,1961,1,6,2.14,3.52,78.63,22.7
490155,Sylhet,1961,1,7,2.23,3.54,78.66,22.71
490156,Sylhet,1961,1,8,2.32,3.56,78.69,22.73
490157,Sylhet,1961,1,9,2.41,3.57,78.72,22.75
490158,Sylhet,1961,1,10,2.5,3.59,78.75,22.76
490159,Sylhet,1961,1,11,2.58,3.61,78.78,22.78
490160,Sylhet,1961,1,12,2.67,3.63,78.82,22.8
490161,Sylhet,1961,1,13,2.76,3.64,78.85,22.82
490162,Sylhet,1961,1,14,2.85,3.66,78.88,22.83
490163,Sylhet,1961,1,15,2.94,3.68,78.91,22.85
490164,Sylhet,1961,1,16,3.03,3.7,78.94,22.87
490165,Sylhet,1961,1,17,3.12,3.71,78.97,22.88
490166,Sylhet,1961,1,18,3.21,3.73,79.0,22.9
490167,Sylhet,1961,1,19,3.3,3.75,79.03,22.92
490168,Sylhet,1961,1,20,3.39,3.77,79.06,22.93
490169,Sylhet,1961,1,21,3.48,3.78,79.09,22.95
490170,Sylhet,1961,1,22,3.56,3.8,79.12,22.97
490171,Sylhet,1961,1,23,3.65,3.82,79.15,22.98
490172,Sylhet,1961,1,24,3.74,3.84,79.18,23.0
490173,Sylhet,1961,1,25,3.83,3.85,79.22,23.02
490174,Sylhet,1961,1,26,3.92,3.87,79.25,23.04
490175,Sylhet,1961,1,27,4.01,3.89,79.28,23.05
490176,Sylhet,1961,1,28,4.1,3.91,79.31,23.07
490177,Sylhet,1961,1,29,4.19,3.92,79.34,23.09
490178,Sylhet,1961,1,30,4.28,3.94,79.37,23.1
490179,Sylhet,1961,1,31,4.37,3.96,79.4,23.12
490180,Sylhet,1961,2,1,4.46,3.98,79.43,23.14
490181,Sylhet,1961,2,2,4.54,3.99,79.46,23.15
490182,Sylhet,1961,2,3,4.63,4.01,79.49,23.17
490183,Sylhet,1961,2,4,4.72,4.03,79.52,23.19
490184,Sylhet,1961,2,5,4.81,4.04,79.55,23.2
490185,Sylhet,1961,2,6,4.9,4.06,79.58,23.22
490186,Sylhet,1961,2,7,4.99,4.08,79.62,23.24
490187,Sylhet,1961,2,8,5.08,4.1,79.65,23.26
490188,Sylhet,1961,2,9,5.17,4.11,79.68,23.27
490189,Sylhet,1961,2,10,5.26,4.13,79.71,23.29
490190,Sylhet,1961,2,11,5.35,4.15,79.74,23.31
490191,Sylhet,1961,2,12,5.44,4.17,79.77,23.32
490192,Sylhet,1961,2,13,5.52,4.18,79.8,23.34
490193,Sylhet,1961,2,14,5.61,4.2,79.83,23.36
490194,Sylhet,1961,2,15,5.7,4.22,79.86,23.37
490195,Sylhet,1961,2,16,5.79,4.24,79.89,23.39
490196,Sylhet,1961,2,17,5.88,4.25,79.92,23.41
490197,Sylhet,1961,2,18,5.97,4.27,79.95,23.42
490198,Sylhet,1961,2,19,6.06,4.29,79.98,23.44
490199,Sylhet,1961,2,20,6.15,4.31,80.02,23.46
490200,Sylhet,1961,2,21,6.24,4.32,80.05,23.48
490201,Sylhet,1961,2,22,6.33,4.34,80.08,23.49
490202,Sylhet,1961,2,23,6.42,4.36,80.11,23.51
490203,Sylhet,1961,2,24,6.5,4.38,80.14,23.53
490204,Sylhet,1961,2,25,6.59,4.39,80.17,23.54
490205,Sylhet,1961,2,26,6.68,4.41,80.2,23.56
490206,Sylhet,1961,2,27,6.77,4.43,80.23,23.58
490207,Sylhet,1961,2,28,6.86,4.45,80.26,23.59
490208,Sylhet,1961,3,1,7.13,4.5,80.35,23.64
490209,Sylhet,1961,3,2,7.22,4.52,80.38,23.66
490210,Sylhet,1961,3,3,7.31,4.53,80.42,23.68
490211,Sylhet,1961,3,4,7.4,4.55,80.45,23.7
490212,Sylhet,1961,3,5,7.49,4.57,80.48,23.71
490213,Sylhet,1961,3,6,7.57,4.58,80.51,23.73
490214,Sylhet,1961,3,7,7.66,4.6,80.54,23.75
490215,Sylhet,1961,3,8,7.75,4.62,80.57,23.76
490216,Sylhet,1961,3,9,7.84,4.64,80.6,23.78
490217,Sylhet,1961,3,10,7.93,4.65,80.63,23.8
490218,Sylhet,1961,3,11,8.02,4.67,80.66,23.81
490219,Sylhet,1961,3,12,8.11,4.69,80.69,23.83
490220,Sylhet,1961,3,13,8.2,4.71,80.72,23.85
490221,Sylhet,1961,3,14,8.29,4.72,80.75,23.86
490222,Sylhet,1961,3,15,8.38,4.74,80.78,23.88
490223,Sylhet,1961,3,16,8.47,4.76,80.82,23.9
490224,Sylhet,1961,3,17,8.55,4.78,80.85,23.92
490225,Sylhet,1961,3,18,8.64,4.79,80.88,23.93
490226,Sylhet,1961,3,19,8.73,4.81,80.91,23.95
490227,Sylhet,1961,3,20,8.82,4.83,80.94,23.97
490228,Sylhet,1961,3,21,8.91,4.85,80.97,23.98
490229,Sylhet,1961,3,22,9.0,4.86,81.0,24.0
490230,Sylhet,1961,3,23,0.0,4.88,74.0,26.4
490231,Sylhet,1961,3,24,0.0,4.9,70.0,27.8
490232,Sylhet,1961,3,25,0.0,4.92,67.0,28.1
490233,Sylhet,1961,3,26,4.0,4.93,83.0,25.5
490234,Sylhet,1961,3,27,0.0,4.95,63.0,26.6
490235,Sylhet,1961,3,28,0.0,4.97,70.0,26.4
490236,Sylhet,1961,3,29,20.0,4.99,70.0,25.4
490237,Sylhet,1961,3,30,0.0,5.0,62.0,26.7
490238,Sylhet,1961,3,31,0.0,5.02,70.0,25.6
490239,Sylhet,1961,4,1,0.0,5.04,61.0,27.1
490240,Sylhet,1961,4,2,0.0,5.06,62.0,23.0
490241,Sylhet,1961,4,3,2.0,5.07,67.0,24.4
490242,Sylhet,1961,4,4,0.0,5.09,76.0,24.6
490243,Sylhet,1961,4,5,11.0,5.11,69.0,27.0
490244,Sylhet,1961,4,6,0.0,5.13,68.0,27.4
490245,Sylhet,1961,4,7,2.0,5.14,71.0,28.6
490246,Sylhet,1961,4,8,0.0,5.16,62.0,27.0
490247,Sylhet,1961,4,9,0.0,5.18,59.0,26.9
490248,Sylhet,1961,4,10,0.0,5.19,64.0,27.9
490249,Sylhet,1961,4,11,0.0,5.21,70.0,27.3
490250,Sylhet,1961,4,12,0.0,5.23,67.0,30.3
490251,Sylhet,1961,4,13,0.0,5.25,72.0,29.7
490252,Sylhet,1961,4,14,0.0,5.26,71.0,30.1
490253,Sylhet,1961,4,15,0.0,5.28,72.0,30.7
490254,Sylhet,1961,4,16,0.0,5.3,62.0,31.1
490255,Sylhet,1961,4,17,0.0,5.32,73.0,30.6
490256,Sylhet,1961,4,18,7.0,5.33,71.0,25.8
490257,Sylhet,1961,4,19,0.0,5.35,67.0,25.3
490258,Sylhet,1961,4,20,0.0,5.37,80.0,26.7
490259,Sylhet,1961,4,21,57.0,5.39,88.0,26.5
490260,Sylhet,1961,4,22,27.0,5.4,81.0,28.1
490261,Sylhet,1961,4,23,0.0,5.42,75.0,30.3
490262,Sylhet,1961,4,24,13.0,5.44,76.0,29.8
490263,Sylhet,1961,4,25,2.0,5.46,76.0,29.7
490264,Sylhet,1961,4,26,0.0,5.47,70.0,30.7
490265,Sylhet,1961,4,27,42.0,5.49,73.0,28.4
490266,Sylhet,1961,4,28,17.0,5.51,73.0,27.2
490267,Sylhet,1961,4,29,0.0,5.53,74.0,27.7
490268,Sylhet,1961,4,30,2.0,5.54,77.0,27.1
490269,Sylhet,1961,5,1,3.0,5.58,66.0,28.8
490270,Sylhet,1961,5,2,62.0,5.6,78.0,27.5
490271,Sylhet,1961,5,3,16.0,5.61,69.0,28.0
490272,Sylhet,1961,5,4,42.0,5.63,76.0,25.5
490273,Sylhet,1961,5,5,0.0,5.65,64.0,28.4
490274,Sylhet,1961,5,6,0.0,5.67,66.0,29.7
490275,Sylhet,1961,5,7,0.0,5.68,65.0,31.1
490276,Sylhet,1961,5,8,0.0,5.7,71.0,29.6
490277,Sylhet,1961,5,9,2.0,5.72,84.0,26.2
490278,Sylhet,1961,5,10,143.0,5.74,75.0,28.1
490279,Sylhet,1961,5,11,22.0,5.75,87.0,25.6
490280,Sylhet,1961,5,12,15.0,5.77,71.0,29.3
490281,Sylhet,1961,5,13,1.0,5.79,71.0,29.5
490282,Sylhet,1961,5,14,13.0,5.8,76.0,28.5
490283,Sylhet,1961,5,15,16.0,5.82,80.0,28.3
490284,Sylhet,1961,5,16,9.0,5.84,81.0,28.0
490285,Sylhet,1961,5,17,0.0,5.86,79.0,30.1
490286,Sylhet,1961,5,18,0.0,5.87,77.0,30.9
490287,Sylhet,1961,5,19,0.0,5.89,76.0,31.2
490288,Sylhet,1961,5,20,0.0,5.91,84.0,28.4
490289,Sylhet,1961,5,21,61.0,5.93,84.0,25.5
490290,Sylhet,1961,5,22,43.0,5.94,95.0,23.8
490291,Sylhet,1961,5,23,14.0,5.96,82.0,27.5
490292,Sylhet,1961,5,24,11.0,5.98,85.0,27.2
490293,Sylhet,1961,5,25,80.0,6.0,83.0,26.3
490294,Sylhet,1961,5,26,1.0,6.01,74.0,31.0
490295,Sylhet,1961,5,27,0.0,6.03,73.0,31.7
490296,Sylhet,1961,5,28,0.0,6.05,67.0,32.7
490297,Sylhet,1961,5,29,2.0,6.07,84.0,29.2
490298,Sylhet,1961,5,30,1.0,6.08,74.0,28.7
490299,Sylhet,1961,5,31,48.0,6.1,95.0,23.7
490300,Sylhet,1961,6,1,131.0,6.12,95.0,23.4
490301,Sylhet,1961,6,2,70.0,6.14,97.0,23.3
490302,Sylhet,1961,6,3,134.0,6.15,90.0,25.4
490303,Sylhet,1961,6,4,0.0,6.17,80.0,27.8
490304,Sylhet,1961,6,5,69.0,6.19,89.0,26.8
490305,Sylhet,1961,6,6,0.0,6.21,80.0,28.8
490306,Sylhet,1961,6,7,0.0,6.22,76.0,29.6
490307,Sylhet,1961,6,8,2.0,6.24,81.0,29.4
490308,Sylhet,1961,6,9,0.0,6.26,81.0,30.2
490309,Sylhet,1961,6,10,4.0,6.28,92.0,27.0
490310,Sylhet,1961,6,11,49.0,6.29,94.0,26.1
490311,Sylhet,1961,6,12,98.0,6.31,97.0,25.6
490312,Sylhet,1961,6,13,45.0,6.33,94.0,25.9
490313,Sylhet,1961,6,14,9.0,6.35,82.0,28.2
490314,Sylhet,1961,6,15,26.0,6.36,98.0,24.4
490315,Sylhet,1961,6,16,50.0,6.38,99.0,22.9
490316,Sylhet,1961,6,17,29.0,6.4,80.0,27.1
490317,Sylhet,1961,6,18,0.0,6.41,87.0,27.6
490318,Sylhet,1961,6,19,86.0,6.43,90.0,25.3
490319,Sylhet,1961,6,20,40.0,6.45,82.0,28.4
490320,Sylhet,1961,6,21,0.0,6.47,78.0,29.6
490321,Sylhet,1961,6,22,0.0,6.48,76.0,29.9
490322,Sylhet,1961,6,23,17.0,6.5,82.0,28.4
490323,Sylhet,1961,6,24,0.0,6.52,77.0,30.8
490324,Sylhet,1961,6,25,0.0,6.54,76.0,32.0
