,Station,Year,Month,Day,Rainfall,Sunshine,Humidity,Temperature
513159,Tangail,1987,1,1,0.0,7.25,68.0,17.6
513160,Tangail,1987,1,2,0.0,7.0,71.0,16.7
513161,Tangail,1987,1,3,0.0,6.8,71.0,16.7
513162,Tangail,1987,1,4,0.0,7.05,75.0,17.4
513163,Tangail,1987,1,5,0.0,6.8,72.0,18.5
513164,Tangail,1987,1,6,0.0,5.1,74.0,18.8
513165,Tangail,1987,1,7,0.0,6.7,71.0,19.3
513166,Tangail,1987,1,8,0.0,6.4,71.0,19.5
513167,Tangail,1987,1,9,0.0,5.4,76.0,19.3
513168,Tangail,1987,1,10,0.0,7.0,76.0,21.4
513169,Tangail,1987,1,11,0.0,6.55,72.0,21.3
513170,Tangail,1987,1,12,0.0,7.15,72.0,21.4
513171,Tangail,1987,1,13,0.0,7.8,75.0,20.2
513172,Tangail,1987,1,14,0.0,6.3,67.0,20.6
513173,Tangail,1987,1,15,0.0,6.8,74.0,20.6
513174,Tangail,1987,1,16,0.0,6.75,63.0,19.3
513175,Tangail,1987,1,17,0.0,7.15,65.0,20.0
513176,Tangail,1987,1,18,0.0,7.2,71.0,20.9
513177,Tangail,1987,1,19,0.0,7.15,76.0,20.6
513178,Tangail,1987,1,20,0.0,7.0,82.0,16.5
513179,Tangail,1987,1,21,0.0,7.4,90.0,13.9
513180,Tangail,1987,1,22,0.0,7.6,86.0,16.0
513181,Tangail,1987,1,23,0.0,7.65,79.0,18.7
513182,Tangail,1987,1,24,0.0,8.1,66.0,20.5
513183,Tangail,1987,1,25,0.0,6.0,76.0,18.7
513184,Tangail,1987,1,26,0.0,7.7,73.0,20.1
513185,Tangail,1987,1,27,0.0,8.0,66.0,20.9
513186,Tangail,1987,1,28,0.0,5.2,69.0,20.8
513187,Tangail,1987,1,29,0.0,6.85,70.0,20.4
513188,Tangail,1987,1,30,0.0,8.3,70.0,21.0
513189,Tangail,1987,1,31,0.0,8.5,59.0,22.2
513190,Tangail,1987,2,1,0.0,8.0,70.0,21.8
513191,Tangail,1987,2,2,0.0,8.35,67.0,22.6
513192,Tangail,1987,2,3,0.0,8.7,74.0,21.2
513193,Tangail,1987,2,4,0.0,8.6,71.0,22.6
513194,Tangail,1987,2,5,0.0,8.2,77.0,19.2
513195,Tangail,1987,2,6,0.0,8.0,69.0,20.1
513196,Tangail,1987,2,7,9.0,7.85,69.0,21.3
513197,Tangail,1987,2,8,0.0,6.75,69.0,21.5
513198,Tangail,1987,2,9,9.0,5.95,65.0,21.5
513199,Tangail,1987,2,10,0.0,8.3,80.0,19.1
513200,Tangail,1987,2,11,0.0,8.75,71.0,21.3
513201,Tangail,1987,2,12,0.0,7.6,67.0,22.6
513202,Tangail,1987,2,13,0.0,8.55,67.0,22.3
513203,Tangail,1987,2,14,0.0,6.8,76.0,21.9
513204,Tangail,1987,2,15,0.0,7.35,62.0,24.0
513205,Tangail,1987,2,16,0.0,2.0,65.0,24.6
513206,Tangail,1987,2,17,0.0,5.3,69.0,23.7
513207,Tangail,1987,2,18,0.0,8.95,65.0,24.5
513208,Tangail,1987,2,19,0.0,8.75,63.0,24.8
513209,Tangail,1987,2,20,0.0,6.5,61.0,23.7
513210,Tangail,1987,2,21,0.0,8.85,57.0,24.8
513211,Tangail,1987,2,22,0.0,7.8,59.0,25.0
513212,Tangail,1987,2,23,0.0,5.55,64.0,25.4
513213,Tangail,1987,2,24,0.0,5.35,61.0,25.8
513214,Tangail,1987,2,25,0.0,2.35,56.0,25.7
513215,Tangail,1987,2,26,0.0,5.9,51.0,27.6
513216,Tangail,1987,2,27,0.0,5.95,75.0,22.8
513217,Tangail,1987,2,28,0.0,4.3,63.0,24.5
513218,Tangail,1987,3,1,0.0,5.75,56.0,24.2
513219,Tangail,1987,3,2,0.0,7.35,56.0,25.0
