,Station,Year,Month,Day,Rainfall,Sunshine,Humidity,Temperature
526673,Teknaf,1977,1,1,0.0,9.4,50.0,22.4
526674,Teknaf,1977,1,2,0.0,9.9,54.0,21.4
526675,Teknaf,1977,1,3,0.0,10.0,56.0,21.0
526676,Teknaf,1977,1,4,0.0,10.0,55.0,22.0
526677,Teknaf,1977,1,5,0.0,8.5,58.0,21.7
526678,Teknaf,1977,1,6,0.0,8.5,66.0,21.0
526679,Teknaf,1977,1,7,0.0,8.55,54.0,22.6
526680,Teknaf,1977,1,8,0.0,8.5,79.0,21.8
526681,Teknaf,1977,1,9,0.0,8.5,72.0,22.8
526682,Teknaf,1977,1,10,0.0,7.55,76.0,21.3
526683,Teknaf,1977,1,11,0.0,8.5,70.0,23.8
526684,Teknaf,1977,1,12,0.0,8.35,72.0,22.6
526685,Teknaf,1977,1,13,0.0,8.5,70.0,23.1
526686,Teknaf,1977,1,14,0.0,8.3,64.0,23.9
526687,Teknaf,1977,1,15,0.0,8.65,49.0,23.1
526688,Teknaf,1977,1,16,0.0,9.6,58.0,22.7
526689,Teknaf,1977,1,17,0.0,9.1,68.0,23.4
526690,Teknaf,1977,1,18,0.0,9.1,60.0,24.1
526691,Teknaf,1977,1,19,0.0,9.6,45.0,22.4
526692,Teknaf,1977,1,20,0.0,9.7,54.0,22.9
526693,Teknaf,1977,1,21,0.0,10.2,49.0,23.3
526694,Teknaf,1977,1,22,0.0,10.2,67.0,21.2
526695,Teknaf,1977,1,23,0.0,10.3,61.0,21.7
526696,Teknaf,1977,1,24,0.0,10.3,62.0,21.3
526697,Teknaf,1977,1,25,0.0,10.4,45.0,22.9
526698,Teknaf,1977,1,26,0.0,10.0,61.0,23.5
526699,Teknaf,1977,1,27,0.0,10.0,62.0,23.9
526700,Teknaf,1977,1,28,0.0,10.0,68.0,23.7
526701,Teknaf,1977,1,29,0.0,10.3,55.0,22.4
526702,Teknaf,1977,1,30,0.0,10.4,55.0,18.7
526703,Teknaf,1977,1,31,0.0,10.3,48.0,19.9
526704,Teknaf,1977,2,1,0.0,10.0,55.0,20.9
526705,Teknaf,1977,2,2,0.0,10.4,51.0,22.6
526706,Teknaf,1977,2,3,0.0,10.5,43.0,23.1
526707,Teknaf,1977,2,4,0.0,10.2,45.0,24.1
526708,Teknaf,1977,2,5,0.0,10.0,54.0,23.9
526709,Teknaf,1977,2,6,0.0,10.5,63.0,23.3
526710,Teknaf,1977,2,7,0.0,9.0,76.0,23.7
526711,Teknaf,1977,2,8,0.0,10.1,38.0,22.9
526712,Teknaf,1977,2,9,0.0,10.6,45.0,22.4
526713,Teknaf,1977,2,10,0.0,10.5,46.0,21.7
526714,Teknaf,1977,2,11,0.0,10.0,47.0,22.0
526715,Teknaf,1977,2,12,0.0,10.2,52.0,22.9
526716,Teknaf,1977,2,13,0.0,10.3,56.0,22.9
526717,Teknaf,1977,2,14,0.0,10.4,52.0,23.7
526718,Teknaf,1977,2,15,0.0,10.7,51.0,23.8
526719,Teknaf,1977,2,16,0.0,10.5,64.0,22.9
526720,Teknaf,1977,2,17,0.0,10.5,68.0,22.8
526721,Teknaf,1977,2,18,0.0,10.2,68.0,23.1
526722,Teknaf,1977,2,19,0.0,10.1,70.0,23.3
526723,Teknaf,1977,2,20,0.0,10.2,72.0,23.6
526724,Teknaf,1977,2,21,0.0,9.8,76.0,24.0
526725,Teknaf,1977,2,22,0.0,8.9,81.0,23.9
526726,Teknaf,1977,2,23,0.0,9.0,79.0,24.4
526727,Teknaf,1977,2,24,0.0,8.9,72.0,24.5
526728,Teknaf,1977,2,25,0.0,6.2,68.0,25.0
526729,Teknaf,1977,2,26,0.0,7.7,76.0,25.7
526730,Teknaf,1977,2,27,0.0,7.5,63.0,26.4
526731,Teknaf,1977,2,28,0.0,7.3,52.0,27.7
526732,Teknaf,1977,3,1,0.0,10.5,47.0,28.4
526733,Teknaf,1977,3,2,0.0,10.6,56.0,28.2
526734,Teknaf,1977,3,3,0.0,10.9,45.0,29.2
