Station,Year,Month,Day,Rainfall,Sunshine,Humidity,Temperature
Ambaganctg,2008,1,1,0,9.1,78,20.1
Ambaganctg,2008,1,2,0,5.6,79,21
Ambaganctg,2008,1,3,0,8.6,82,20.1
Ambaganctg,2008,1,4,0,9.1,73,21
Ambaganctg,2008,1,5,0,9.4,67,20.3
Ambaganctg,2008,1,6,0,9.6,69,20.1
Ambaganctg,2008,1,7,0,9.2,76,20.8
Ambaganctg,2008,1,8,0,9.3,74,21.1
Ambaganctg,2008,1,9,0,8.4,77,20.6
Ambaganctg,2008,1,10,0,9.1,77,21.1
Ambaganctg,2008,1,11,0,7.8,80,21
Ambaganctg,2008,1,12,0,8.4,70,21.1
Ambaganctg,2008,1,13,0,8.9,69,20.3
Ambaganctg,2008,1,14,0,9.3,64,19.5
Ambaganctg,2008,1,15,0,8.7,67,18.7
Ambaganctg,2008,1,16,0,7.6,68,19.3
Ambaganctg,2008,1,17,0,6.5,80,19.6
Ambaganctg,2008,1,18,0,6.1,79,20.4
Ambaganctg,2008,1,19,0,6.5,81,20.2
Ambaganctg,2008,1,20,0,9.1,78,20.6
Ambaganctg,2008,1,21,0,8.4,81,21.6
Ambaganctg,2008,1,22,0,7.4,77,21.8
Ambaganctg,2008,1,23,0,9.3,71,21.4
Ambaganctg,2008,1,24,0,8.7,75,20.8
Ambaganctg,2008,1,25,0,1,79,20
Ambaganctg,2008,1,26,0,0,96,17.4
Ambaganctg,2008,1,27,55,0.8,93,16.8
Ambaganctg,2008,1,28,1,7.7,77,17.5
Ambaganctg,2008,1,29,0,9,67,17.4
Ambaganctg,2008,1,30,0,9.3,65,19.5
Ambaganctg,2008,1,31,0,1.3,88,17.4
Ambaganctg,2008,2,1,0,6.8,76,18.6
Ambaganctg,2008,2,2,0,9.2,64,17
Ambaganctg,2008,2,3,0,9.6,68,17.7
Ambaganctg,2008,2,4,0,9.4,65,19.2
Ambaganctg,2008,2,5,0,9.5,62,20.8
Ambaganctg,2008,2,6,0,8.1,66,22
Ambaganctg,2008,2,7,0,8,72,22.7
Ambaganctg,2008,2,8,0,5.7,76,23.6
Ambaganctg,2008,2,9,0,0.9,79,22.3
Ambaganctg,2008,2,10,9,0,96,20
Ambaganctg,2008,2,11,4,7.1,71,20.7
Ambaganctg,2008,2,12,0,9.6,60,19.9
Ambaganctg,2008,2,13,0,10.1,56,19.3
Ambaganctg,2008,2,14,0,9.9,50,18.9
Ambaganctg,2008,2,15,0,9.9,67,18
Ambaganctg,2008,2,16,0,9.2,68,18.9
Ambaganctg,2008,2,17,0,8.9,76,20.1
Ambaganctg,2008,2,18,0,9,80,21.8
Ambaganctg,2008,2,19,0,7.9,81,21.6
Ambaganctg,2008,2,20,0,5.3,70,20.8
Ambaganctg,2008,2,21,0,10,63,21.9
Ambaganctg,2008,2,22,0,10.3,67,22.1
Ambaganctg,2008,2,23,0,10.5,67,22.4
