Date,Time,Generation(MW),Demand(MW),Loadshed,Gas,Liquid Fuel,Coal,Hydro,Solar,Wind,India_Bheramara,India_Tripura,India_Adani,Nepal,Remarks
13-09-2025,09:00:00,12905.0,12905,0,6238,648,3723,218,329.0,17.0,893,32,769.0,38.0,
13-09-2025,08:00:00,12581.0,12581,0,6179,556,3721,218,165.0,4.0,893,38,769.0,38.0,
13-09-2025,07:00:00,12489.0,12530,39,6190,537,3753,217,52.0,10.0,894,40,758.0,38.0,
13-09-2025,06:00:00,12638.0,12670,31,6161,644,3845,217,12.0,15.0,894,42,770.0,38.0,
13-09-2025,05:00:00,12993.0,13030,35,6208,658,4163,218,0.0,11.0,893,44,760.0,38.0,
13-09-2025,04:00:00,13109.0,13150,39,6233,707,4207,218,0.0,4.0,893,44,765.0,38.0,
13-09-2025,03:00:00,13513.0,13560,45,6157,1017,4369,219,0.0,7.0,894,44,768.0,38.0,
13-09-2025,02:00:00,13893.0,13950,54,6073,1426,4426,219,0.0,5.0,894,46,766.0,38.0,
13-09-2025,01:00:00,14629.0,14720,87,6086,1935,4634,221,0.0,6.0,893,48,768.0,38.0,
12-09-2025,24:00:00,14792.0,14910,113,6051,2038,4809,220,0.0,7.0,823,50,756.0,38.0,
12-09-2025,23:00:00,14741.0,14840,95,6208,2031,4599,220,0.0,1.0,823,50,771.0,38.0,
12-09-2025,22:00:00,14686.0,14790,99,6375,2024,4437,220,0.0,0.0,779,50,763.0,38.0,
12-09-2025,21:00:00,14646.0,14750,99,6212,2141,4443,220,0.0,0.0,779,48,765.0,38.0,Evening Peak
12-09-2025,20:00:00,14338.0,14430,88,5938,2131,4418,220,0.0,0.0,779,48,766.0,38.0,
12-09-2025,19:30:00,14269.0,14380,106,5625,2220,4459,219,0.0,0.0,893,46,769.0,38.0,
12-09-2025,19:00:00,13900.0,14050,143,5644,1981,4326,219,0.0,0.0,893,46,753.0,38.0,
12-09-2025,18:00:00,11798.0,11850,50,5364,606,3852,219,1.0,0.0,893,58,767.0,38.0,
12-09-2025,17:00:00,11989.0,11989,0,5693,559,3698,218,68.0,5.0,894,54,762.0,38.0,
12-09-2025,16:00:00,12363.0,12363,0,5751,582,3931,218,148.0,4.0,893,40,758.0,38.0,
12-09-2025,15:00:00,12684.0,12684,0,5808,653,3973,218,300.0,1.0,894,42,757.0,38.0,
12-09-2025,14:00:00,12625.0,12625,0,5439,689,4102,218,443.0,12.0,894,42,748.0,38.0,
12-09-2025,13:00:00,13232.0,13270,36,5644,845,4291,218,503.0,7.0,894,44,748.0,38.0,
12-09-2025,12:00:00,12582.0,12582,0,5631,624,3972,218,388.0,26.0,893,40,752.0,38.0,Day Peak
12-09-2025,11:00:00,12220.0,12220,0,5678,442,3767,174,418.0,26.0,893,38,746.0,38.0,
12-09-2025,10:00:00,11908.0,11940,31,5478,458,3762,176,305.0,6.0,902,34,749.0,38.0,
12-09-2025,09:00:00,11978.0,12080,97,5412,486,3870,215,249.0,0.0,933,34,741.0,38.0,
12-09-2025,08:00:00,12244.0,12400,149,5512,577,3988,210,198.0,3.0,933,37,748.0,38.0,
12-09-2025,07:00:00,12366.0,12530,157,5538,730,4065,199,66.0,10.0,932,40,748.0,38.0,
12-09-2025,06:00:00,12777.0,12950,165,5586,1086,4166,174,3.0,7.0,933,38,746.0,38.0,
12-09-2025,05:00:00,13540.0,13770,220,5777,1346,4439,217,0.0,0.0,932,44,747.0,38.0,
12-09-2025,04:00:00,13775.0,14030,244,5788,1513,4490,220,0.0,0.0,933,46,747.0,38.0,
12-09-2025,03:00:00,14162.0,14440,265,5803,1884,4496,220,0.0,0.0,932,46,743.0,38.0,
12-09-2025,02:00:00,14757.0,15050,280,5684,2627,4458,220,0.0,1.0,931,48,750.0,38.0,
12-09-2025,01:00:00,15095.0,15420,310,5761,2640,4712,222,0.0,9.0,931,48,734.0,38.0,
11-09-2025,24:00:00,15545.0,15900,339,5891,2923,4818,222,0.0,2.0,860,52,739.0,38.0,
11-09-2025,23:00:00,15608.0,15780,164,5925,2975,4811,221,0.0,0.0,845,50,743.0,38.0,
11-09-2025,22:00:00,15639.0,15810,163,5890,3057,4817,222,0.0,0.0,818,50,747.0,38.0,
11-09-2025,21:00:00,15655.0,15860,196,5866,3099,4815,220,0.0,1.0,818,50,748.0,38.0,
11-09-2025,20:00:00,15712.0,15930,208,5838,3188,4812,220,0.0,1.0,819,50,746.0,38.0,Evening Peak
11-09-2025,19:30:00,15704.0,15920,206,5825,3137,4805,220,0.0,4.0,885,48,742.0,38.0,
11-09-2025,19:00:00,15368.0,15650,269,5877,2858,4641,219,0.0,10.0,932,48,745.0,38.0,
11-09-2025,18:00:00,13840.0,13950,105,5757,2024,4070,219,3.0,9.0,932,42,746.0,38.0,
11-09-2025,17:00:00,13998.0,14100,97,5734,1956,4233,219,93.0,5.0,932,42,746.0,38.0,
11-09-2025,16:00:00,14230.0,14310,76,5737,1977,4247,219,270.0,7.0,931,38,741.0,38.0,
11-09-2025,15:00:00,14458.0,14500,40,5814,1959,4308,220,384.0,12.0,932,44,747.0,38.0,
11-09-2025,14:00:00,14415.0,14415,0,5738,1986,4308,221,440.0,17.0,932,44,691.0,38.0,
11-09-2025,13:00:00,14578.0,14578,0,5758,2010,4282,221,541.0,12.0,931,46,739.0,38.0,
11-09-2025,12:00:00,14298.0,14298,0,5687,1993,4168,220,466.0,8.0,932,40,746.0,38.0,Day Peak
11-09-2025,11:00:00,14166.0,14166,0,5813,1920,4046,220,405.0,3.0,932,38,751.0,38.0,
11-09-2025,10:00:00,13862.0,13862,0,5837,1723,3972,219,345.0,2.0,932,36,758.0,38.0,
11-09-2025,09:00:00,13684.0,13750,63,5738,1675,3982,219,315.0,0.0,932,36,749.0,38.0,
11-09-2025,08:00:00,13499.0,13620,116,5711,1626,3979,219,199.0,7.0,932,42,746.0,38.0,
11-09-2025,07:00:00,13416.0,13550,128,5758,1647,3965,219,59.0,7.0,932,44,747.0,38.0,
11-09-2025,06:00:00,13632.0,13800,160,5694,1997,3954,219,4.0,3.0,931,44,748.0,38.0,
11-09-2025,05:00:00,13836.0,14020,176,5814,1981,4055,217,0.0,4.0,932,46,749.0,38.0,
11-09-2025,04:00:00,14092.0,14300,199,5588,2349,4180,217,0.0,0.0,931,42,747.0,38.0,
