Date,Time,Generation(MW),Demand(MW),Loadshed,Gas,Liquid Fuel,Coal,Hydro,Solar,Wind,Bheramara HVDC,Tripura,Adani,Nepal,Remarks
05-01-2024,06:00:00,6751.0,6751,0,3738,12,2399,86,0.0,9.0,435,72,,,
05-01-2024,05:00:00,6576.0,6576,0,3575,0,2403,86,0.0,7.0,435,70,,,
05-01-2024,04:00:00,6686.0,6686,0,3667,0,2409,86,0.0,10.0,444,70,,,
05-01-2024,03:00:00,6871.0,6871,0,3880,0,2393,86,0.0,9.0,435,68,,,
05-01-2024,02:00:00,7215.0,7215,0,4124,0,2491,86,0.0,8.0,430,76,,,
05-01-2024,01:00:00,7619.0,7619,0,4189,0,2541,86,0.0,11.0,714,78,,,
04-01-2024,24:00:00,8171.0,8171,0,4265,68,2853,86,0.0,15.0,798,86,,,
04-01-2024,23:00:00,8547.0,8547,0,4256,249,2951,86,0.0,11.0,902,86,,,
04-01-2024,22:00:00,9138.0,9138,0,4415,628,3006,86,0.0,4.0,903,96,,,
04-01-2024,21:00:00,9680.0,9680,0,4408,983,3200,86,0.0,3.0,902,98,,,
04-01-2024,20:00:00,9857.0,9857,0,4335,1278,3256,86,0.0,4.0,798,100,,,
04-01-2024,19:30:00,9895.0,9895,0,4300,1325,3283,86,0.0,4.0,797,100,,,
04-01-2024,19:00:00,10090.0,10090,0,4258,1506,3340,86,0.0,3.0,797,100,,,
04-01-2024,18:00:00,10107.0,10107,0,4087,1850,3238,86,0.0,4.0,740,102,,,Evening Peak
04-01-2024,17:00:00,8894.0,8894,0,3865,1020,3042,86,12.0,0.0,775,94,,,
04-01-2024,16:00:00,8574.0,8574,0,3959,541,2973,86,95.0,0.0,824,96,,,
04-01-2024,15:00:00,8936.0,8936,0,3960,697,3139,86,188.0,1.0,765,100,,,
04-01-2024,14:00:00,9291.0,9291,0,4002,886,3064,86,295.0,0.0,854,104,,,
04-01-2024,13:00:00,9766.0,9766,0,4284,986,3106,86,347.0,0.0,855,102,,,
04-01-2024,12:00:00,9508.0,9508,0,4158,950,3019,86,339.0,0.0,854,102,,,Day Peak
04-01-2024,11:00:00,9107.0,9107,0,3951,872,3017,86,317.0,0.0,761,103,,,
04-01-2024,10:00:00,8967.0,8967,0,3987,710,3072,86,253.0,0.0,761,98,,,
04-01-2024,09:00:00,8848.0,8848,0,4136,444,3180,86,151.0,0.0,763,88,,,
04-01-2024,08:00:00,8416.0,8416,0,4332,6,2582,86,3.0,0.0,855,74,,,
04-01-2024,07:00:00,7371.0,7371,0,4045,6,2582,86,3.0,0.0,575,74,,,
04-01-2024,06:00:00,6844.0,6844,0,3621,0,2491,86,0.0,1.0,571,74,,,
04-01-2024,05:00:00,6481.0,6481,0,3267,0,2482,86,0.0,3.0,571,72,,,
04-01-2024,04:00:00,6820.0,6820,0,3393,0,2482,86,0.0,9.0,571,72,,,
04-01-2024,03:00:00,6820.0,6820,0,3602,0,2477,86,0.0,10.0,571,74,,,
04-01-2024,02:00:00,7090.0,7090,0,3669,0,2682,86,0.0,7.0,570,76,,,
04-01-2024,01:00:00,7495.0,7495,0,3831,0,2916,86,0.0,3.0,579,80,,,
03-01-2024,24:00:00,7966.0,7966,0,3935,25,2979,86,0.0,4.0,851,86,,,
03-01-2024,23:00:00,8563.0,8563,0,3956,222,3295,86,0.0,3.0,909,92,,,
03-01-2024,22:00:00,9156.0,9156,0,3874,789,3401,86,0.0,3.0,907,96,,,
03-01-2024,21:00:00,9669.0,9669,0,3916,1230,3429,86,0.0,0.0,908,100,,,
03-01-2024,20:00:00,9988.0,9988,0,3920,1665,3414,86,0.0,0.0,801,102,,,
03-01-2024,19:30:00,10048.0,10048,0,3909,1714,3430,86,0.0,1.0,804,104,,,
03-01-2024,19:00:00,10109.0,10109,0,3838,1786,3491,86,0.0,0.0,804,104,,,
03-01-2024,18:00:00,10131.0,10131,0,3878,1798,3356,86,0.0,0.0,910,103,,,Evening Peak
03-01-2024,17:00:00,8658.0,8658,0,3521,971,3103,86,13.0,0.0,872,92,,,
03-01-2024,16:00:00,8472.0,8472,0,3574,703,3046,86,99.0,0.0,872,92,,,
03-01-2024,15:00:00,8840.0,8840,0,3610,674,3274,116,198.0,1.0,871,96,,,
03-01-2024,14:00:00,9079.0,9079,0,3681,680,3387,86,273.0,0.0,872,100,,,
03-01-2024,13:00:00,9548.0,9548,0,4002,682,3506,86,298.0,0.0,872,102,,,
03-01-2024,12:00:00,9287.0,9287,0,3969,593,3376,86,298.0,0.0,863,102,,,Day Peak
03-01-2024,11:00:00,8985.0,8985,0,3983,447,3425,86,178.0,0.0,772,94,,,
03-01-2024,10:00:00,8922.0,8922,0,4006,406,3435,86,123.0,0.0,772,94,,,
03-01-2024,09:00:00,8959.0,8959,0,4160,320,3456,86,75.0,0.0,772,90,,,
03-01-2024,08:00:00,8391.0,8391,0,4094,90,3138,86,32.0,0.0,867,84,,,
03-01-2024,07:00:00,7468.0,7468,0,3864,0,2860,86,2.0,3.0,579,74,,,
03-01-2024,06:00:00,6923.0,6923,0,3440,0,2727,86,0.0,8.0,588,74,,,
03-01-2024,05:00:00,6464.0,6464,0,3098,0,2619,86,0.0,12.0,579,70,,,
03-01-2024,04:00:00,6479.0,6479,0,3087,0,2643,86,0.0,8.0,583,72,,,
03-01-2024,03:00:00,6771.0,6771,0,3328,0,2694,86,0.0,8.0,583,72,,,
03-01-2024,02:00:00,7051.0,7051,0,3630,0,2668,86,0.0,8.0,583,76,,,
03-01-2024,01:00:00,7318.0,7818,0,3755,0,2807,86,0.0,10.0,582,78,,,
02-01-2024,24:00:00,7875.0,7875,0,3771,0,3081,86,0.0,2.0,851,84,,,
02-01-2024,23:00:00,8250.0,8250,0,3859,0,3438,86,0.0,0.0,777,90,,,
02-01-2024,22:00:00,9015.0,9015,0,3868,659,3531,86,0.0,0.0,777,94,,,
02-01-2024,21:00:00,9621.0,9621,0,3923,1031,3706,86,0.0,1.0,776,98,,,
02-01-2024,20:00:00,9773.0,9773,0,3901,1249,3753,86,0.0,2.0,682,100,,,
02-01-2024,19:30:00,9883.0,9883,0,3885,1330,3796,86,0.0,2.0,682,102,,,
02-01-2024,19:00:00,9900.0,9900,0,3885,1330,3796,86,0.0,2.0,683,102,,,
02-01-2024,18:00:00,10056.0,10056,0,3835,1832,3513,86,0.0,2.0,682,106,,,Evening Peak
02-01-2024,17:00:00,8628.0,8628,0,3243,1240,3177,86,8.0,2.0,776,96,,,
02-01-2024,16:00:00,8482.0,8482,0,3540,799,3101,86,80.0,4.0,776,96,,,
02-01-2024,15:00:00,8607.0,8607,0,3540,799,3101,86,80.0,4.0,777,96,,,
02-01-2024,14:00:00,9110.0,9110,0,3694,937,3331,86,180.0,0.0,776,106,,,
02-01-2024,13:00:00,9599.0,9599,0,3821,1193,3414,86,201.0,0.0,776,108,,,
02-01-2024,12:00:00,9294.0,9294,0,3709,1153,3265,86,192.0,0.0,785,104,,,Day Peak
02-01-2024,11:00:00,8896.0,8896,0,3547,1035,3277,86,172.0,0.0,683,96,,,
02-01-2024,10:00:00,8819.0,8819,0,3447,965,3407,86,136.0,0.0,682,96,,,
02-01-2024,09:00:00,8615.0,8615,0,3625,607,3450,86,71.0,2.0,682,92,,,
02-01-2024,08:00:00,8143.0,8143,0,3727,219,3199,86,38.0,6.0,776,92,,,
02-01-2024,07:00:00,7323.0,7323,0,3738,20,2823,86,2.0,10.0,582,80,,,
02-01-2024,06:00:00,6900.0,6900,0,3610,0,2534,86,0.0,7.0,583,80,,,
02-01-2024,05:00:00,6514.0,6514,0,3299,0,2458,86,0.0,10.0,583,78,,,
02-01-2024,04:00:00,6550.0,6550,0,3337,0,2460,86,0.0,8.0,583,76,,,
02-01-2024,03:00:00,6667.0,6667,0,3408,0,2500,86,0.0,7.0,582,84,,,
02-01-2024,02:00:00,7023.0,7023,0,3538,0,2720,86,0.0,4.0,583,92,,,
02-01-2024,01:00:00,7474.0,7474,0,3732,0,2983,86,0.0,0.0,583,90,,,
01-01-2024,24:00:00,7923.0,7923,0,3805,81,3104,86,0.0,0.0,757,90,,,
01-01-2024,23:00:00,8312.0,8312,0,3696,275,3390,86,0.0,0.0,775,90,,,
01-01-2024,22:00:00,8860.0,8860,0,3708,748,3456,86,0.0,0.0,766,96,,,
01-01-2024,21:00:00,9423.0,9423,0,3579,1589,3444,86,0.0,0.0,625,90,,,
01-01-2024,20:00:00,9763.0,9763,0,3511,2087,3449,86,0.0,0.0,530,100,,,
01-01-2024,19:30:00,9771.0,9771,0,3449,2142,3450,86,0.0,0.0,544,100,,,
01-01-2024,19:00:00,9944.0,9944,0,3588,2170,3455,86,0.0,0.0,543,102,,,Evening Peak
01-01-2024,18:00:00,9482.0,9482,0,3609,1749,3397,86,0.0,0.0,530,108,,,
01-01-2024,17:00:00,8610.0,8610,0,4068,558,3167,86,12.0,1.0,624,94,,,
01-01-2024,16:00:00,8399.0,8399,0,3984,408,3093,86,98.0,2.0,624,104,,,
01-01-2024,15:00:00,8558.0,8558,0,3868,421,3111,86,198.0,0.0,776,98,,,
01-01-2024,14:00:00,9049.0,9049,0,3888,691,3224,86,265.0,0.0,775,120,,,
01-01-2024,13:00:00,9331.0,9331,0,4039,845,3328,86,266.0,0.0,659,108,,,
01-01-2024,12:00:00,9084.0,9084,0,3971,679,3450,86,168.0,0.0,624,106,,,Day Peak
01-01-2024,11:00:00,8591.0,8591,0,4025,442,3290,86,132.0,0.0,520,96,,,
01-01-2024,10:00:00,8513.0,8513,0,3960,417,3337,86,100.0,0.0,521,92,,,
01-01-2024,09:00:00,8690.0,8690,0,4141,359,3428,86,64.0,0.0,520,92,,,
01-01-2024,08:00:00,8073.0,8073,0,4156,124,2954,86,36.0,3.0,624,90,,,
01-01-2024,07:00:00,7232.0,7232,0,3828,9,2633,86,3.0,2.0,591,80,,,
01-01-2024,06:00:00,6936.0,6936,0,3658,0,2518,86,0.0,1.0,591,82,,,
01-01-2024,05:00:00,6598.0,6598,0,3304,0,2535,86,0.0,1.0,591,82,,,
01-01-2024,04:00:00,6733.0,6733,0,3421,0,2566,86,0.0,5.0,581,74,,,
01-01-2024,03:00:00,7010.0,7010,0,3659,0,2595,86,0.0,10.0,582,78,,,
01-01-2024,02:00:00,7259.0,7259,0,3781,0,2720,86,0.0,10.0,582,86,,,
01-01-2024,01:00:00,7580.0,7580,0,3936,0,2887,86,0.0,0.0,583,88,,,
31-12-2023,24:00:00,8039.0,8039,0,3857,75,3205,86,0.0,0.0,724,92,,,
31-12-2023,23:00:00,8690.0,8690,0,3879,555,3162,86,0.0,0.0,912,96,,,
31-12-2023,22:00:00,9250.0,9250,0,3954,845,3355,86,0.0,0.0,912,98,,,
31-12-2023,21:00:00,9669.0,9669,0,4050,1048,3471,86,0.0,0.0,912,102,,,
31-12-2023,20:00:00,9894.0,9894,0,4127,1197,3467,86,0.0,0.0,911,106,,,
31-12-2023,19:30:00,9845.0,9845,0,4069,1214,3460,86,0.0,0.0,912,86,,,
31-12-2023,19:00:00,10180.0,10180,0,3983,1630,3463,86,0.0,0.0,912,106,,,
31-12-2023,18:00:00,10204.0,10204,0,3936,1687,3475,86,0.0,0.0,912,108,,,Evening Peak
