Date,Time,Generation,Demand,Loadshed,Gas,Liquid Fuel,Coal,Hydro,Solar,Wind,India_Bheramara,India_Tripura,India_Adani,Nepal,Remarks,date_time,Year,Month
30-12-2019,00:00:00,6226.0,6226.0,0.0,5659,17,222,47,0.0,,211,78,,,,2019-12-30 00:00:00,2019,12
30-12-2019,19:30:00,8589.0,8589.0,0.0,6451,1359,280,45,0.0,,436,106,,,,2019-12-30 19:30:00,2019,12
30-12-2019,20:00:00,8419.0,8419.0,0.0,6337,1306,280,46,0.0,,436,102,,,,2019-12-30 20:00:00,2019,12
30-12-2019,21:00:00,8080.0,8080.0,0.0,6460,847,280,45,0.0,,436,100,,,,2019-12-30 21:00:00,2019,12
30-12-2019,22:00:00,7497.0,7497.0,0.0,6257,569,280,46,0.0,,436,94,,,,2019-12-30 22:00:00,2019,12
30-12-2019,23:00:00,6920.0,6920.0,0.0,6170,48,270,47,0.0,,310,86,,,,2019-12-30 23:00:00,2019,12
31-12-2019,00:00:00,6445.0,6445.0,0.0,5947,10,160,47,0.0,,129,76,,,,2019-12-31 00:00:00,2019,12
31-12-2019,01:00:00,5755.0,5755.0,0.0,5341,0,160,47,0.0,,135,70,,,,2019-12-31 01:00:00,2019,12
31-12-2019,02:00:00,5433.0,5433.0,0.0,5021,0,160,47,0.0,,135,68,,,,2019-12-31 02:00:00,2019,12
31-12-2019,03:00:00,5279.0,5279.0,0.0,4768,0,160,46,0.0,,135,68,,,,2019-12-31 03:00:00,2019,12
31-12-2019,04:00:00,5100.0,5100.0,0.0,4690,0,160,46,0.0,,135,68,,,,2019-12-31 04:00:00,2019,12
31-12-2019,05:00:00,5073.0,5073.0,0.0,4662,0,160,45,0.0,,137,68,,,,2019-12-31 05:00:00,2019,12
31-12-2019,06:00:00,5342.0,5342.0,0.0,4933,0,160,44,0.0,,137,68,,,,2019-12-31 06:00:00,2019,12
31-12-2019,07:00:00,5651.7,5652.0,0.0,5244,0,160,43,0.7,,137,68,,,,2019-12-31 07:00:00,2019,12
31-12-2019,08:00:00,6235.7,6236.0,0.0,5819,0,160,43,7.7,,137,70,,,,2019-12-31 08:00:00,2019,12
31-12-2019,09:00:00,6599.2,6599.0,0.0,5978,18,160,44,18.2,,303,80,,,,2019-12-31 09:00:00,2019,12
